trade_date,open
2021-06-15,15.93
2021-06-11,16.23
2021-06-10,16.31
2021-06-09,16.64
2021-06-08,16.6
2021-06-07,16.59
2021-06-04,16.46
2021-06-03,16.6
2021-06-02,16.93
2021-06-01,17.05
2021-05-31,17.25
2021-05-28,16.77
2021-05-27,16.82
2021-05-26,16.91
2021-05-25,16.33
2021-05-24,16.18
2021-05-21,16.28
2021-05-20,16.2
2021-05-19,16.31
2021-05-18,16.28
2021-05-17,16.39
2021-05-14,15.86
2021-05-13,15.85
2021-05-12,15.87
2021-05-11,15.68
2021-05-10,15.84
2021-05-07,15.86
2021-05-06,15.98
2021-04-30,15.99
2021-04-29,15.57
2021-04-28,15.96
2021-04-27,16.4
2021-04-26,16.7
2021-04-23,16.78
2021-04-22,16.88
2021-04-21,16.87
2021-04-20,16.99
2021-04-19,16.72
2021-04-16,16.75
2021-04-15,16.76
2021-04-14,16.58
2021-04-13,16.64
2021-04-12,16.73
2021-04-09,16.86
2021-04-08,16.85
2021-04-07,16.95
2021-04-06,17.0
2021-04-02,17.1
2021-04-01,16.98
2021-03-31,17.19
2021-03-30,17.17
2021-03-29,17.19
2021-03-26,17.21
2021-03-25,17.06
2021-03-24,17.01
2021-03-23,16.99
2021-03-22,16.7
2021-03-19,16.78
2021-03-18,16.84
2021-03-17,16.76
2021-03-16,16.8
2021-03-15,16.9
2021-03-12,17.07
2021-03-11,16.9
2021-03-10,17.1
2021-03-09,17.12
2021-03-08,17.41
2021-03-05,16.83
2021-03-04,17.11
2021-03-03,16.95
2021-03-02,17.14
2021-03-01,17.19
2021-02-26,17.2
2021-02-25,17.44
2021-02-24,17.38
2021-02-23,17.48
2021-02-22,17.92
2021-02-19,17.38
2021-02-18,17.51
2021-02-10,17.3
2021-02-09,16.9
2021-02-08,16.83
2021-02-05,16.89
2021-02-04,17.37
2021-02-03,17.5
2021-02-02,17.41
2021-02-01,17.32
2021-01-29,17.74
2021-01-28,17.7
2021-01-27,17.99
2021-01-26,18.62
2021-01-25,18.74
2021-01-22,19.3
2021-01-21,19.21
2021-01-20,19.15
2021-01-19,19.03
2021-01-18,18.78
2021-01-15,18.88
2021-01-14,19.07
2021-01-13,19.59
2021-01-12,18.05
2021-01-11,18.64
2021-01-08,18.36
2021-01-07,18.33
2021-01-06,18.16
2021-01-05,18.0
2021-01-04,18.18
2020-12-31,17.61
2020-12-30,17.39
2020-12-29,17.48
2020-12-28,17.6
2020-12-25,17.66
2020-12-24,17.71
2020-12-23,17.63
2020-12-22,18.21
2020-12-21,18.2
2020-12-18,18.5
2020-12-17,18.18
2020-12-16,18.39
2020-12-15,18.26
2020-12-14,18.33
2020-12-11,18.67
2020-12-10,18.6
2020-12-09,19.18
2020-12-08,19.11
2020-12-07,19.45
2020-12-04,19.65
2020-12-03,19.68
2020-12-02,19.73
2020-12-01,19.24
2020-11-30,19.45
2020-11-27,18.95
2020-11-26,18.91
2020-11-25,19.21
2020-11-24,19.06
2020-11-23,18.69
2020-11-20,18.82
2020-11-19,18.64
2020-11-18,18.67
2020-11-17,18.63
2020-11-16,18.73
2020-11-13,19.04
2020-11-12,19.27
2020-11-11,19.58
2020-11-10,20.04
2020-11-09,19.33
2020-11-06,19.41
2020-11-05,19.45
2020-11-04,19.54
2020-11-03,19.39
2020-11-02,20.21
2020-10-30,20.68
2020-10-29,20.26
2020-10-28,20.4
2020-10-27,20.45
2020-10-26,21.08
2020-10-23,21.24
2020-10-22,21.08
2020-10-21,21.19
2020-10-20,21.14
2020-10-19,21.44
2020-10-16,21.43
2020-10-15,21.29
2020-10-14,21.44
2020-10-13,21.48
2020-10-12,21.15
2020-10-09,20.79
2020-09-30,20.72
2020-09-29,20.92
2020-09-28,20.87
2020-09-25,20.65
2020-09-24,20.73
2020-09-23,20.82
2020-09-22,20.81
2020-09-21,21.6
2020-09-18,20.36
2020-09-17,20.35
2020-09-16,20.43
2020-09-15,20.31
2020-09-14,20.3
2020-09-11,20.22
2020-09-10,20.84
2020-09-09,20.83
2020-09-08,20.75
2020-09-07,21.25
2020-09-04,21.06
2020-09-03,21.62
2020-09-02,21.93
2020-09-01,21.36
2020-08-31,22.0
2020-08-28,20.98
2020-08-27,20.89
2020-08-26,21.09
2020-08-25,21.24
2020-08-24,21.19
2020-08-21,20.93
2020-08-20,20.92
2020-08-19,21.41
2020-08-18,21.68
2020-08-17,21.46
2020-08-14,20.53
2020-08-13,20.71
2020-08-12,20.66
2020-08-11,21.03
2020-08-10,20.8
2020-08-07,21.2
2020-08-06,21.19
2020-08-05,21.38
2020-08-04,21.45
2020-08-03,21.3
2020-07-31,20.53
2020-07-30,21.15
2020-07-29,20.3
2020-07-28,20.62
2020-07-27,20.65
2020-07-24,21.71
2020-07-23,21.55
2020-07-22,21.81
2020-07-21,22.18
2020-07-20,21.58
2020-07-17,21.64
2020-07-16,22.7
2020-07-15,23.8
2020-07-14,23.35
2020-07-13,22.77
2020-07-10,23.39
2020-07-09,24.0
2020-07-08,23.15
2020-07-07,24.74
2020-07-06,22.75
2020-07-03,20.88
2020-07-02,19.18
2020-07-01,18.79
2020-06-30,18.61
2020-06-29,19.23
2020-06-24,19.43
2020-06-23,19.3
2020-06-22,18.95
2020-06-19,18.27
2020-06-18,18.15
