Date,Open,High,Low,Close,Adj Close,Volume
1995-02-01,16.0625,16.5,16.0,16.5,10.265754699707031,1900
1995-02-02,16.5,16.5,16.5,16.5,10.265754699707031,0
1995-02-03,16.5,16.75,16.375,16.625,10.343524932861328,35600
1995-02-06,16.25,16.75,16.25,16.75,10.421296119689941,300
1995-02-07,16.75,16.75,16.25,16.75,10.421296119689941,7000
1995-02-08,16.75,16.75,16.25,16.375,10.187980651855469,8100
1995-02-09,16.25,16.75,16.25,16.25,10.110212326049805,2100
1995-02-10,16.75,16.75,16.75,16.75,10.421296119689941,500
1995-02-13,16.5,16.5,16.5,16.5,10.265754699707031,200
1995-02-14,16.5,16.75,16.25,16.75,10.421296119689941,2800
1995-02-15,16.25,16.5,16.25,16.25,10.110212326049805,17900
1995-02-16,16.25,16.75,16.25,16.25,10.110212326049805,2000
1995-02-17,16.25,16.75,16.25,16.25,10.110212326049805,700
1995-02-21,16.75,16.75,16.75,16.75,10.421296119689941,200
1995-02-22,16.25,16.75,16.25,16.75,10.421296119689941,1300
1995-02-23,16.25,16.5,16.25,16.25,10.110212326049805,400
1995-02-24,16.25,16.75,16.25,16.75,10.421296119689941,2300
1995-02-27,16.25,16.75,16.25,16.25,10.110212326049805,9000
1995-02-28,16.25,16.75,16.25,16.75,10.421296119689941,2700
1995-03-01,16.25,16.25,16.25,16.25,10.110212326049805,1000
1995-03-02,16.75,16.75,16.25,16.375,10.187980651855469,1100
1995-03-03,16.25,16.25,16.25,16.25,10.110212326049805,2800
1995-03-06,16.25,16.25,16.0,16.0,9.954668045043945,9300
1995-03-07,16.0,16.0,16.0,16.0,9.954668045043945,800
1995-03-08,16.03125,16.25,16.0,16.25,10.110212326049805,10000
1995-03-09,15.75,16.0,15.5,15.5,9.643584251403809,4900
1995-03-10,15.625,15.625,15.5,15.5,9.643584251403809,8100
1995-03-13,15.75,15.75,15.375,15.5,9.643584251403809,3000
1995-03-14,15.75,15.75,15.25,15.25,9.488040924072266,500
1995-03-15,15.25,15.75,15.25,15.5,9.643584251403809,1000
1995-03-16,15.75,15.75,15.25,15.25,9.488040924072266,6100
1995-03-17,15.25,15.75,15.25,15.75,9.799127578735352,1300
1995-03-20,15.75,15.75,15.5,15.5,9.643584251403809,600
1995-03-21,15.25,15.75,15.25,15.25,9.488040924072266,9900
1995-03-22,15.0,15.5,15.0,15.25,9.488040924072266,22000
1995-03-23,15.5,15.5,15.0,15.0,9.332504272460938,6300
1995-03-24,15.5,15.75,15.25,15.75,9.799127578735352,4100
1995-03-27,15.25,15.75,15.25,15.25,9.488040924072266,600
1995-03-28,15.75,15.75,15.75,15.75,9.799127578735352,400
1995-03-29,15.75,16.5,15.75,16.5,10.265754699707031,5100
1995-03-30,16.0,16.5,15.5,16.5,10.265754699707031,5900
1995-03-31,15.75,16.5,15.75,15.75,9.799127578735352,5000
1995-04-03,15.75,16.5,15.75,16.125,10.032440185546875,1500
1995-04-04,15.75,15.75,15.75,15.75,9.799127578735352,100
1995-04-05,16.0,16.75,16.0,16.75,10.421296119689941,6500
1995-04-06,17.0,17.0,16.25,16.25,10.110212326049805,1100
1995-04-07,16.0,16.0,15.75,15.75,9.799127578735352,2900
1995-04-10,16.25,16.75,16.0,16.0,9.954668045043945,9000
1995-04-11,16.0,16.0,16.0,16.0,9.954668045043945,300
1995-04-12,16.75,17.0,16.375,16.75,10.421296119689941,3700
1995-04-13,16.75,17.5,16.75,16.75,10.421296119689941,6600
1995-04-17,17.0,17.5,17.0,17.5,10.887921333312988,800
1995-04-18,17.5,17.5,16.75,16.75,10.421296119689941,900
1995-04-19,17.0,17.5,17.0,17.5,10.887921333312988,1200
1995-04-20,17.5,17.5,16.75,16.75,10.421296119689941,400
1995-04-21,16.75,16.75,16.75,16.75,10.421296119689941,0
1995-04-24,17.5,17.5,16.875,16.875,10.499067306518555,11100
1995-04-25,16.75,17.0,16.75,16.75,10.421296119689941,20100
1995-04-26,17.0,17.0,16.25,16.875,10.499067306518555,3800
1995-04-27,17.0,17.0,16.5,16.5,10.265754699707031,7600
1995-04-28,17.0,17.0,16.0,16.25,10.110212326049805,3300
1995-05-01,17.0,17.0,16.0,16.0,9.954668045043945,700
1995-05-02,16.0,17.0,16.0,16.5,10.265754699707031,1600
1995-05-03,15.75,16.25,15.75,16.25,10.110212326049805,700
1995-05-04,15.75,16.5,15.75,16.0,9.954668045043945,2400
1995-05-05,16.5,16.5,16.5,16.5,10.265754699707031,500
1995-05-08,15.75,16.5,15.75,16.5,10.265754699707031,5700
1995-05-09,15.75,15.75,15.75,15.75,9.799127578735352,500
1995-05-10,16.125,16.125,15.75,15.75,9.799127578735352,400
1995-05-11,15.75,15.75,15.75,15.75,9.799127578735352,0
1995-05-12,16.5,16.5,16.5,16.5,10.265754699707031,900
1995-05-15,15.8125,15.9375,15.8125,15.9375,9.915785789489746,5900
1995-05-16,16.5,16.5,15.75,15.9375,9.915785789489746,9000
1995-05-17,16.125,16.5,15.875,16.5,10.265754699707031,3100
1995-05-18,16.5,16.5,16.5,16.5,10.265754699707031,0
1995-05-19,15.75,15.75,15.75,15.75,9.799127578735352,200
1995-05-22,15.75,15.75,15.75,15.75,9.799127578735352,200
1995-05-23,16.25,16.25,15.75,15.75,9.799127578735352,7900
1995-05-24,15.5,16.0,15.5,16.0,9.954668045043945,500
1995-05-25,15.5,15.5,15.5,15.5,9.643584251403809,100
