Date,Open,High,Low,Close,Adj Close,Volume
1996-02-02,207.5,217.5,200.0,207.5,207.5,207120
1996-02-05,197.5,210.0,195.0,197.5,197.5,35360
1996-02-06,200.0,207.5,197.5,200.0,200.0,13640
1996-02-07,195.0,202.5,185.0,195.0,195.0,17440
1996-02-08,191.25,195.0,190.0,191.25,191.25,8450
1996-02-09,185.0,190.0,180.0,185.0,185.0,3870
1996-02-12,180.0,187.5,180.0,180.0,180.0,4170
1996-02-13,176.25,185.0,175.0,176.25,176.25,7590
1996-02-14,180.0,182.5,177.5,180.0,180.0,2370
1996-02-15,182.5,182.5,177.5,182.5,182.5,5360
1996-02-16,187.5,190.0,177.5,187.5,187.5,8750
1996-02-20,180.0,187.5,180.0,180.0,180.0,2860
1996-02-21,200.0,212.5,180.0,200.0,200.0,13120
1996-02-22,200.0,205.0,200.0,200.0,200.0,2380
1996-02-23,190.0,205.0,187.5,190.0,190.0,4360
1996-02-26,200.0,200.0,190.0,200.0,200.0,4030
1996-02-27,215.0,222.5,200.0,215.0,215.0,10230
1996-02-28,225.0,225.0,217.5,225.0,225.0,5670
1996-02-29,235.0,245.0,220.0,235.0,235.0,10080
1996-03-01,240.0,252.5,235.0,240.0,240.0,15100
1996-03-05,257.5,257.5,245.0,257.5,257.5,8590
1996-03-06,252.5,257.5,247.5,252.5,252.5,4130
1996-03-07,250.0,250.0,245.0,250.0,250.0,1140
1996-03-08,232.5,242.5,232.5,232.5,232.5,3200
1996-03-11,227.5,240.0,222.5,227.5,227.5,2550
1996-03-12,216.25,237.5,210.0,216.25,216.25,8350
1996-03-13,217.5,225.0,215.0,217.5,217.5,2970
1996-03-14,233.75,237.5,223.75,233.75,233.75,8140
1996-03-15,237.5,237.5,227.5,237.5,237.5,840
1996-03-18,247.5,247.5,230.0,247.5,247.5,2600
1996-03-19,260.0,267.5,242.5,260.0,260.0,10450
1996-03-20,265.0,270.0,255.0,265.0,265.0,6010
1996-03-21,265.0,265.0,255.0,265.0,265.0,640
1996-03-22,260.0,265.0,255.0,260.0,260.0,1460
1996-03-25,265.0,265.0,255.0,265.0,265.0,10190
1996-03-26,242.5,265.0,242.5,242.5,242.5,1220
1996-03-27,230.0,250.0,230.0,230.0,230.0,2050
1996-03-28,232.5,232.5,222.5,232.5,232.5,4030
1996-03-29,252.5,252.5,232.5,252.5,252.5,3000
1996-04-01,255.0,260.0,245.0,255.0,255.0,2770
1996-04-02,245.0,252.5,245.0,245.0,245.0,50
1996-04-03,247.5,247.5,240.0,247.5,247.5,970
1996-04-04,247.5,247.5,237.5,247.5,247.5,30
1996-04-08,237.5,237.5,232.5,237.5,237.5,2320
1996-04-09,237.5,237.5,236.25,237.5,237.5,2250
1996-04-10,230.0,237.5,230.0,230.0,230.0,360
1996-04-11,225.0,230.0,225.0,225.0,225.0,960
1996-04-12,220.0,232.5,220.0,220.0,220.0,470
1996-04-15,230.0,230.0,230.0,230.0,230.0,3020
1996-04-16,225.0,227.5,217.5,225.0,225.0,2100
1996-04-17,215.0,222.5,215.0,215.0,215.0,790
1996-04-18,217.5,217.5,210.0,217.5,217.5,210
1996-04-19,210.0,215.0,207.5,210.0,210.0,21080
1996-04-22,217.5,217.5,207.5,217.5,217.5,5380
1996-04-23,230.0,230.0,220.0,230.0,230.0,770
1996-04-24,240.0,240.0,222.5,240.0,240.0,660
1996-04-25,230.0,245.0,230.0,230.0,230.0,2380
1996-04-26,230.0,230.0,230.0,230.0,230.0,0
1996-04-29,245.0,245.0,230.6300048828125,245.0,245.0,1110
1996-04-30,225.0,245.0,225.0,225.0,225.0,420
1996-05-01,240.0,240.0,227.5,240.0,240.0,370
1996-05-02,250.0,252.5,228.75,250.0,250.0,5890
1996-05-03,290.0,315.0,270.0,290.0,290.0,34510
1996-05-06,330.0,330.0,285.0,330.0,330.0,9790
1996-05-07,340.0,350.0,327.5,340.0,340.0,13330
1996-05-08,318.75,337.5,305.0,318.75,318.75,2450
1996-05-09,312.5,325.0,305.0,312.5,312.5,500
1996-05-10,340.0,355.0,310.0,340.0,340.0,1560
1996-05-13,340.0,350.0,327.5,340.0,340.0,690
1996-05-14,330.0,340.0,315.0,330.0,330.0,2910
1996-05-15,347.5,352.5,315.0,347.5,347.5,4150
1996-05-16,340.0,352.5,340.0,340.0,340.0,110
1996-05-17,335.0,357.5,335.0,335.0,335.0,8890
1996-05-20,340.0,340.0,340.0,340.0,340.0,360
1996-05-21,350.0,350.0,340.0,350.0,350.0,220
1996-05-22,350.0,350.0,335.0,350.0,350.0,340
1996-05-23,335.0,335.0,335.0,335.0,335.0,30
1996-05-24,335.0,350.0,335.0,335.0,335.0,130
1996-05-28,330.0,330.0,317.5,330.0,330.0,930
1996-05-29,330.0,330.0,317.5,330.0,330.0,1450
1996-05-30,317.5,317.5,317.5,317.5,317.5,80
1996-05-31,330.0,330.0,317.5,330.0,330.0,210
1996-06-03,335.0,335.0,317.5,335.0,335.0,2340
1996-06-04,340.0,342.5,330.0,340.0,340.0,880
1996-06-05,335.0,335.0,325.6300048828125,335.0,335.0,5690
1996-06-06,330.0,337.5,325.0,330.0,330.0,800
1996-06-07,320.0,331.25,317.5,320.0,320.0,110
1996-06-10,331.25,331.25,320.0,331.25,331.25,1150
1996-06-11,320.0,320.0,320.0,320.0,320.0,140
1996-06-12,320.0,321.25,320.0,320.0,320.0,650
1996-06-13,317.5,330.0,317.5,317.5,317.5,2380
1996-06-14,315.0,327.5,315.0,315.0,315.0,3150
1996-06-17,314.3800048828125,327.5,312.5,314.3800048828125,314.3800048828125,1780
1996-06-18,310.0,315.0,305.0,310.0,310.0,2500
1996-06-19,315.0,315.0,305.0,315.0,315.0,7150
1996-06-20,305.0,310.0,305.0,305.0,305.0,560
1996-06-21,305.0,307.5,293.75,305.0,305.0,4210
1996-06-24,265.6300048828125,293.75,265.0,265.6300048828125,265.6300048828125,900
1996-06-25,253.75,262.5,248.75,253.75,253.75,10950
1996-06-26,257.5,271.25,257.5,257.5,257.5,1490
1996-06-27,271.25,271.25,257.5,271.25,271.25,2170
1996-06-28,285.0,295.0,257.5,285.0,285.0,950
1996-07-01,280.0,295.0,280.0,280.0,280.0,380
1996-07-02,290.0,295.0,275.0,290.0,290.0,10190
1996-07-03,275.0,275.0,275.0,275.0,275.0,450
1996-07-05,285.0,285.0,285.0,285.0,285.0,70
1996-07-08,285.0,285.0,285.0,285.0,285.0,0
1996-07-09,270.0,270.0,270.0,270.0,270.0,110
1996-07-10,267.5,270.0,267.5,267.5,267.5,190
1996-07-11,270.0,270.0,257.5,270.0,270.0,330
1996-07-12,257.5,257.5,257.5,257.5,257.5,300
1996-07-15,270.0,270.0,257.5,270.0,270.0,510
1996-07-16,257.5,257.5,247.5,257.5,257.5,420
1996-07-17,242.5,257.5,242.5,242.5,242.5,390
1996-07-18,247.5,257.5,247.5,247.5,247.5,620
1996-07-19,242.5,257.5,242.5,242.5,242.5,280
1996-07-22,242.5,242.5,242.5,242.5,242.5,0
1996-07-24,242.5,242.5,242.5,242.5,242.5,200
1996-07-25,255.0,255.0,242.5,255.0,255.0,50
1996-07-26,255.0,255.0,255.0,255.0,255.0,0
1996-07-29,232.5,255.0,232.5,232.5,232.5,280
1996-07-30,200.0,232.5,180.0,200.0,200.0,2780
1996-07-31,208.75,208.75,196.25,208.75,208.75,570
1996-08-01,205.0,215.0,205.0,205.0,205.0,480
1996-08-02,205.0,210.0,205.0,205.0,205.0,50
1996-08-05,205.0,205.0,205.0,205.0,205.0,0
1996-08-06,205.0,205.0,205.0,205.0,205.0,140
1996-08-07,205.0,205.0,205.0,205.0,205.0,0
1996-08-08,205.0,205.0,205.0,205.0,205.0,50
1996-08-09,215.0,220.0,205.0,215.0,215.0,520
1996-08-12,215.0,215.0,215.0,215.0,215.0,110
1996-08-13,192.5,222.5,192.5,192.5,192.5,960
1996-08-14,207.5,207.5,195.0,207.5,207.5,960
1996-08-15,200.0,200.0,200.0,200.0,200.0,710
1996-08-16,208.75,220.0,200.0,208.75,208.75,22540
1996-08-19,212.5,212.5,212.5,212.5,212.5,10
1996-08-20,235.0,235.0,217.5,235.0,235.0,1350
1996-08-21,222.5,222.5,222.5,222.5,222.5,600
1996-08-22,225.0,227.5,220.0,225.0,225.0,600
1996-08-23,220.0,220.0,220.0,220.0,220.0,100
1996-08-26,232.5,232.5,232.5,232.5,232.5,20
1996-08-27,227.5,232.5,227.5,227.5,227.5,320
1996-08-28,222.5,232.5,222.5,222.5,222.5,540
1996-08-29,215.6300048828125,220.0,215.0,215.6300048828125,215.6300048828125,500
1996-08-30,215.6300048828125,215.6300048828125,215.6300048828125,215.6300048828125,215.6300048828125,0
1996-09-03,215.6300048828125,215.6300048828125,215.6300048828125,215.6300048828125,215.6300048828125,0
1996-09-04,215.0,215.0,212.5,215.0,215.0,250
1996-09-05,212.5,215.0,207.5,212.5,212.5,750
1996-09-06,215.0,215.0,205.0,215.0,215.0,100
1996-09-09,215.0,215.0,215.0,215.0,215.0,0
1996-09-10,215.0,215.0,215.0,215.0,215.0,0
1996-09-11,200.0,202.5,185.0,200.0,200.0,3410
1996-09-12,210.0,210.0,197.5,210.0,210.0,2070
1996-09-13,205.0,205.0,202.5,205.0,205.0,1710
1996-09-16,200.0,200.0,200.0,200.0,200.0,110
1996-09-17,205.0,210.0,200.0,205.0,205.0,1850
1996-09-18,203.75,207.5,200.0,203.75,203.75,2770
1996-09-19,202.5,205.0,201.25,202.5,202.5,2730
1996-09-20,205.0,205.0,200.0,205.0,205.0,480
1996-09-23,202.5,202.5,200.0,202.5,202.5,240
1996-09-24,200.0,205.0,200.0,200.0,200.0,540
1996-09-25,230.0,230.0,200.0,230.0,230.0,1280
1996-09-26,222.5,222.5,220.0,222.5,222.5,1200
1996-09-27,240.0,250.0,222.5,240.0,240.0,1990
1996-09-30,247.5,247.5,240.0,247.5,247.5,800
1996-10-01,232.5,240.0,232.5,232.5,232.5,890
1996-10-02,232.5,232.5,232.5,232.5,232.5,0
1996-10-03,245.0,245.0,245.0,245.0,245.0,400
1996-10-04,240.0,255.0,240.0,240.0,240.0,470
1996-10-07,240.0,240.0,240.0,240.0,240.0,400
1996-10-08,250.0,265.0,240.0,250.0,250.0,1470
1996-10-09,282.5,290.0,250.0,282.5,282.5,2620
1996-10-10,276.25,282.5,265.0,276.25,276.25,660
1996-10-11,262.5,262.5,262.5,262.5,262.5,110
1996-10-14,262.5,267.5,262.5,262.5,262.5,650
1996-10-15,270.0,272.5,270.0,270.0,270.0,150
1996-10-16,270.0,270.0,270.0,270.0,270.0,20
1996-10-17,262.5,270.0,262.5,262.5,262.5,200
1996-10-18,266.25,267.5,262.5,266.25,266.25,600
1996-10-21,263.75,270.0,261.25,263.75,263.75,410
1996-10-22,255.0,266.25,255.0,255.0,255.0,680
1996-10-23,242.5,255.0,230.0,242.5,242.5,1710
1996-10-24,235.0,235.0,235.0,235.0,235.0,10
1996-10-25,235.0,235.0,235.0,235.0,235.0,0
1996-10-28,237.5,245.0,237.5,237.5,237.5,40
1996-10-29,235.0,245.0,235.0,235.0,235.0,120
1996-10-30,217.5,235.0,217.5,217.5,217.5,570
1996-10-31,230.0,230.0,230.0,230.0,230.0,10
1996-11-01,217.5,230.0,217.5,217.5,217.5,370
1996-11-04,225.0,225.0,220.0,225.0,225.0,60
1996-11-05,220.0,225.0,215.0,220.0,220.0,100
1996-11-06,215.0,215.0,215.0,215.0,215.0,200
1996-11-07,225.0,225.0,212.5,225.0,225.0,120
1996-11-08,225.0,225.0,210.0,225.0,225.0,700
1996-11-11,217.5,225.0,212.5,217.5,217.5,920
1996-11-12,225.0,225.0,225.0,225.0,225.0,20
1996-11-13,225.0,225.0,225.0,225.0,225.0,0
1996-11-14,212.5,212.5,212.5,212.5,212.5,10
1996-11-15,220.0,220.0,207.5,220.0,220.0,280
1996-11-18,220.0,220.0,220.0,220.0,220.0,0
1996-11-19,212.5,212.5,207.5,212.5,212.5,320
1996-11-20,185.0,215.0,180.0,185.0,185.0,6920
1996-11-21,173.75,182.5,170.0,173.75,173.75,1320
1996-11-22,172.5,178.75,172.5,172.5,172.5,2610
1996-11-25,175.0,177.5,172.5,175.0,175.0,920
1996-11-26,175.6300048828125,178.75,175.6300048828125,175.6300048828125,175.6300048828125,310
1996-11-27,178.75,178.75,175.6300048828125,178.75,178.75,190
1996-11-29,178.75,178.75,178.75,178.75,178.75,260
1996-12-02,172.5,181.25,172.5,172.5,172.5,10530
1996-12-03,175.0,185.0,175.0,175.0,175.0,770
1996-12-04,181.25,185.0,175.0,181.25,181.25,240
1996-12-05,182.5,182.5,182.5,182.5,182.5,30
1996-12-06,180.0,182.5,170.0,180.0,180.0,1330
1996-12-09,176.25,182.5,172.5,176.25,176.25,1090
1996-12-10,182.5,182.5,175.0,182.5,182.5,7030
1996-12-11,182.5,182.5,175.0,182.5,182.5,310
1996-12-12,181.25,182.5,175.0,181.25,181.25,1250
1996-12-13,185.0,195.0,175.0,185.0,185.0,6390
1996-12-16,192.5,195.0,187.5,192.5,192.5,680
1996-12-17,202.5,202.5,190.0,202.5,202.5,20
1996-12-18,190.0,196.25,190.0,190.0,190.0,2850
1996-12-19,196.25,222.5,196.25,196.25,196.25,3280
1996-12-20,195.0,195.0,195.0,195.0,195.0,50
1996-12-23,200.0,200.0,200.0,200.0,200.0,50
1996-12-24,200.0,200.0,200.0,200.0,200.0,250
1996-12-26,200.0,207.5,195.0,200.0,200.0,510
1996-12-27,195.0,201.25,195.0,195.0,195.0,90
1996-12-30,210.0,210.0,195.0,210.0,210.0,360
1996-12-31,215.0,215.0,195.0,215.0,215.0,1840
1997-01-02,210.0,210.0,210.0,210.0,210.0,520
1997-01-03,212.5,212.5,208.75,212.5,212.5,400
1997-01-06,205.0,213.75,205.0,205.0,205.0,800
1997-01-07,215.0,215.0,205.0,215.0,215.0,190
1997-01-08,205.0,215.0,200.0,205.0,205.0,1330
1997-01-09,192.5,193.75,192.5,192.5,192.5,130
1997-01-10,190.0,192.5,181.25,190.0,190.0,6710
1997-01-13,190.0,190.0,185.0,190.0,190.0,2090
1997-01-14,182.5,190.0,182.5,182.5,182.5,4810
1997-01-15,182.5,190.0,182.5,182.5,182.5,390
1997-01-16,182.5,182.5,182.5,182.5,182.5,0
1997-01-17,192.5,192.5,185.0,192.5,192.5,410
1997-01-20,185.0,190.0,185.0,185.0,185.0,70
1997-01-21,185.0,185.0,180.0,185.0,185.0,250
1997-01-22,182.5,182.5,180.0,182.5,182.5,40
1997-01-23,180.0,188.75,180.0,180.0,180.0,310
1997-01-24,185.0,190.0,185.0,185.0,185.0,50
1997-01-27,185.0,185.0,185.0,185.0,185.0,50
1997-01-28,185.0,185.0,185.0,185.0,185.0,100
1997-01-29,177.5,177.5,172.5,177.5,177.5,950
1997-01-30,178.75,178.75,172.5,178.75,178.75,60
1997-01-31,165.0,182.5,160.0,165.0,165.0,1920
1997-02-03,172.5,175.0,162.5,172.5,172.5,48150
1997-02-04,180.0,180.0,172.5,180.0,180.0,910
1997-02-05,172.5,180.0,172.5,172.5,172.5,120
1997-02-06,170.0,180.0,170.0,170.0,170.0,60
1997-02-07,175.0,175.0,175.0,175.0,175.0,100
1997-02-10,180.0,180.0,175.0,180.0,180.0,240
1997-02-11,180.0,180.0,180.0,180.0,180.0,0
1997-02-12,180.0,180.0,180.0,180.0,180.0,0
1997-02-13,180.0,180.0,170.0,180.0,180.0,1460
1997-02-14,187.5,190.0,175.0,187.5,187.5,1750
1997-02-18,190.0,190.0,182.5,190.0,190.0,1740
1997-02-19,188.75,188.75,187.5,188.75,188.75,1550
1997-02-20,190.0,190.0,187.5,190.0,190.0,330
1997-02-21,197.5,197.5,187.5,197.5,197.5,660
1997-02-24,197.5,197.5,197.5,197.5,197.5,0
