Date,Open,High,Low,Close,Adj Close,Volume
2006-05-02,13130.0,13850.0,13050.0,13410.0,13410.0,280
2006-05-03,13500.0,13500.0,13250.0,13500.0,13500.0,61
2006-05-04,13350.0,13450.0,13310.0,13380.0,13380.0,106
2006-05-05,13360.0,13440.0,13350.0,13400.0,13400.0,46
2006-05-08,13250.0,13500.0,13010.0,13450.0,13450.0,109
2006-05-09,13380.0,13500.0,13360.0,13400.0,13400.0,54
2006-05-10,13360.0,13470.0,13310.0,13400.0,13400.0,41
2006-05-11,13350.0,13490.0,13350.0,13390.0,13390.0,32
2006-05-12,13290.0,13480.0,13250.0,13360.0,13360.0,174
2006-05-15,13250.0,13600.0,13160.0,13300.0,13300.0,108
2006-05-16,13210.0,13400.0,13210.0,13380.0,13380.0,81
2006-05-17,13350.0,13500.0,13170.0,13390.0,13390.0,767
2006-05-18,13280.0,13350.0,13050.0,13170.0,13170.0,313
2006-05-19,13140.0,13270.0,13080.0,13210.0,13210.0,35
2006-05-22,13090.0,13240.0,13040.0,13050.0,13050.0,72
2006-05-23,13080.0,13290.0,13050.0,13150.0,13150.0,27
2006-05-24,13050.0,13100.0,12250.0,12890.0,12890.0,254
2006-05-25,12830.0,13000.0,12690.0,12950.0,12950.0,58
2006-05-26,12900.0,13010.0,12670.0,12930.0,12930.0,18
2006-05-30,12900.0,13000.0,12760.0,12900.0,12900.0,43
2006-05-31,12720.0,13200.0,12720.0,12900.0,12900.0,186
2006-06-01,12990.0,12990.0,12750.0,12880.0,12880.0,37
2006-06-02,13000.0,13000.0,12820.0,12870.0,12870.0,31
2006-06-05,12870.0,13000.0,12850.0,12920.0,12920.0,29
2006-06-06,12950.0,13000.0,12800.0,12900.0,12900.0,346
2006-06-07,13040.0,13180.0,12910.0,13000.0,13000.0,65
2006-06-08,13110.0,13250.0,12900.0,13250.0,13250.0,256
2006-06-09,13300.0,13340.0,13000.0,13250.0,13250.0,50
2006-06-12,12850.0,13150.0,12850.0,13000.0,13000.0,344
2006-06-13,13000.0,13000.0,12610.0,12800.0,12800.0,39
2006-06-14,12980.0,13180.0,12850.0,13000.0,13000.0,15
2006-06-15,12850.0,13180.0,12740.0,12830.0,12830.0,100
2006-06-16,13000.0,13000.0,12740.0,12960.0,12960.0,20
2006-06-19,13000.0,13000.0,12350.0,12370.0,12370.0,39
2006-06-20,12270.0,13240.0,12270.0,12950.0,12950.0,17
2006-06-21,13000.0,13000.0,12690.0,12760.0,12760.0,13
2006-06-22,12890.0,13000.0,12680.0,12770.0,12770.0,4
2006-06-23,12890.0,13000.0,12500.0,12690.0,12690.0,71
2006-06-26,12600.0,12940.0,12600.0,12750.0,12750.0,7
2006-06-27,12620.0,13000.0,12620.0,12750.0,12750.0,134
2006-06-28,12760.0,12780.0,12330.0,12540.0,12540.0,54
2006-06-29,12820.0,12820.0,12520.0,12660.0,12660.0,20
2006-06-30,12610.0,12890.0,12570.0,12570.0,12570.0,49
2006-07-03,12710.0,13040.0,12570.0,12990.0,12990.0,15
2006-07-05,12640.0,12770.0,12510.0,12550.0,12550.0,28
2006-07-06,12700.0,12700.0,12500.0,12600.0,12600.0,25
2006-07-07,12500.0,12980.0,12500.0,12810.0,12810.0,19
2006-07-10,12820.0,13070.0,12500.0,12940.0,12940.0,19
2006-07-11,12800.0,13020.0,12800.0,12860.0,12860.0,19
2006-07-12,12950.0,13200.0,12630.0,13200.0,13200.0,39
2006-07-13,13180.0,13190.0,12850.0,13000.0,13000.0,103
2006-07-14,12670.0,13000.0,12670.0,12900.0,12900.0,216
2006-07-17,12900.0,13180.0,12550.0,13000.0,13000.0,12
2006-07-18,12900.0,13000.0,12900.0,12900.0,12900.0,3
2006-07-19,12850.0,12900.0,12500.0,12550.0,12550.0,17
2006-07-20,12780.0,12780.0,12500.0,12520.0,12520.0,3
2006-07-21,12500.0,12550.0,12200.0,12300.0,12300.0,67
2006-07-24,12450.0,12450.0,12200.0,12300.0,12300.0,8
2006-07-25,12260.0,12600.0,12250.0,12600.0,12600.0,22
2006-07-26,12470.0,12720.0,12410.0,12500.0,12500.0,3
2006-07-27,12420.0,12900.0,12420.0,12500.0,12500.0,5
2006-07-28,12500.0,12750.0,12440.0,12500.0,12500.0,62
2006-07-31,12750.0,13000.0,12380.0,12790.0,12790.0,3
2006-08-01,12840.0,12850.0,12500.0,12550.0,12550.0,36
2006-08-02,12500.0,12740.0,12410.0,12640.0,12640.0,19
2006-08-03,12700.0,12700.0,12430.0,12430.0,12430.0,34
2006-08-04,12340.0,12700.0,12340.0,12450.0,12450.0,48
2006-08-07,12320.0,12700.0,12320.0,12460.0,12460.0,18
2006-08-08,12500.0,12500.0,12250.0,12480.0,12480.0,6
2006-08-09,12560.0,12560.0,12480.0,12480.0,12480.0,11
2006-08-10,12310.0,12500.0,12190.0,12190.0,12190.0,149
2006-08-11,12560.0,12560.0,12180.0,12180.0,12180.0,3
2006-08-14,12180.0,12400.0,12170.0,12270.0,12270.0,21
2006-08-15,12170.0,12170.0,12000.0,12100.0,12100.0,41
2006-08-16,12000.0,12300.0,11960.0,12100.0,12100.0,43
2006-08-17,12060.0,12200.0,12040.0,12110.0,12110.0,164
2006-08-18,12300.0,12300.0,12100.0,12100.0,12100.0,68
2006-08-21,12100.0,12170.0,12100.0,12100.0,12100.0,8
2006-08-22,12100.0,12190.0,12100.0,12110.0,12110.0,28
2006-08-23,12110.0,12110.0,12060.0,12100.0,12100.0,6
2006-08-24,12100.0,12310.0,12100.0,12310.0,12310.0,5
2006-08-25,12250.0,12540.0,12250.0,12470.0,12470.0,13
2006-08-28,12420.0,12420.0,12340.0,12380.0,12380.0,15
2006-08-29,12380.0,12500.0,12250.0,12430.0,12430.0,9
2006-08-30,12480.0,13200.0,12290.0,13040.0,13040.0,29
2006-08-31,13080.0,13340.0,12530.0,13190.0,13190.0,26
2006-09-01,13390.0,13400.0,12710.0,13170.0,13170.0,19
2006-09-05,13200.0,13200.0,13060.0,13200.0,13200.0,3
2006-09-06,13440.0,13440.0,12800.0,13120.0,13120.0,13
2006-09-07,13130.0,13200.0,12500.0,13000.0,13000.0,19
2006-09-08,13000.0,13000.0,12860.0,13000.0,13000.0,4
2006-09-11,12810.0,13000.0,12510.0,12900.0,12900.0,11
2006-09-12,12860.0,12950.0,12640.0,12700.0,12700.0,13
2006-09-13,12860.0,12980.0,12840.0,12850.0,12850.0,5
2006-09-14,12850.0,13000.0,12500.0,12860.0,12860.0,11
2006-09-15,13000.0,13000.0,12550.0,12900.0,12900.0,12
2006-09-18,12980.0,13000.0,12710.0,13000.0,13000.0,1
2006-09-19,13000.0,13000.0,12800.0,12850.0,12850.0,5
2006-09-20,13000.0,13050.0,12970.0,13000.0,13000.0,38
2006-09-21,12980.0,13060.0,12930.0,12980.0,12980.0,22
2006-09-22,13070.0,13490.0,13070.0,13200.0,13200.0,12
2006-09-25,12900.0,13500.0,12900.0,13000.0,13000.0,24
2006-09-26,13400.0,13430.0,13200.0,13250.0,13250.0,5
2006-09-27,13020.0,13300.0,13020.0,13240.0,13240.0,3
2006-09-28,13240.0,13450.0,13000.0,13220.0,13220.0,6
2006-09-29,13240.0,13350.0,13000.0,13000.0,13000.0,50
2006-10-02,12950.0,13100.0,12950.0,13100.0,13100.0,2
2006-10-03,13000.0,13240.0,12990.0,13000.0,13000.0,39
2006-10-04,13000.0,13070.0,12980.0,12980.0,12980.0,7
2006-10-05,13100.0,13100.0,12900.0,13000.0,13000.0,4
2006-10-06,13000.0,13010.0,13000.0,13000.0,13000.0,22
2006-10-09,13000.0,13000.0,12770.0,13000.0,13000.0,5
2006-10-10,12990.0,13000.0,12550.0,12550.0,12550.0,24
2006-10-11,12500.0,12950.0,12500.0,12500.0,12500.0,392
2006-10-12,12660.0,12790.0,12660.0,12790.0,12790.0,4
2006-10-13,12880.0,13000.0,12650.0,12990.0,12990.0,6
2006-10-16,12610.0,12930.0,12600.0,12750.0,12750.0,17
2006-10-17,12500.0,12970.0,12500.0,12650.0,12650.0,6
2006-10-18,12990.0,13000.0,12800.0,12910.0,12910.0,7
2006-10-19,12900.0,12980.0,12720.0,12900.0,12900.0,35
2006-10-20,12750.0,13000.0,12750.0,12980.0,12980.0,4
2006-10-23,12750.0,13000.0,12750.0,12950.0,12950.0,23
2006-10-24,12750.0,13000.0,12750.0,12990.0,12990.0,2
2006-10-25,13000.0,13000.0,12990.0,12990.0,12990.0,1
2006-10-26,12990.0,13000.0,12790.0,12840.0,12840.0,6
2006-10-27,12760.0,12900.0,12750.0,12900.0,12900.0,11
2006-10-30,12900.0,12940.0,12500.0,12940.0,12940.0,5
2006-10-31,12510.0,13290.0,12510.0,13000.0,13000.0,12
2006-11-01,13000.0,13010.0,12910.0,13000.0,13000.0,14
2006-11-02,13350.0,13380.0,13110.0,13170.0,13170.0,67
2006-11-03,13200.0,13500.0,13200.0,13500.0,13500.0,14
2006-11-06,13630.0,14460.0,13630.0,14250.0,14250.0,25
2006-11-07,13970.0,14250.0,13730.0,14250.0,14250.0,26
2006-11-08,13820.0,14000.0,13470.0,13900.0,13900.0,7
2006-11-09,13910.0,14650.0,13910.0,14200.0,14200.0,11
2006-11-10,14090.0,14090.0,13530.0,13910.0,13910.0,15
2006-11-13,13910.0,14170.0,13900.0,13900.0,13900.0,4
2006-11-14,14240.0,14400.0,13790.0,13910.0,13910.0,4
2006-11-15,13920.0,14060.0,13900.0,14050.0,14050.0,2
2006-11-16,14000.0,14040.0,13900.0,13900.0,13900.0,3
2006-11-17,14190.0,14190.0,13900.0,13900.0,13900.0,1
2006-11-20,13900.0,14200.0,13900.0,13910.0,13910.0,10
2006-11-21,13900.0,13990.0,13900.0,13990.0,13990.0,4
2006-11-22,13910.0,14180.0,13850.0,14180.0,14180.0,6
2006-11-24,14190.0,14200.0,13950.0,13950.0,13950.0,4
2006-11-27,13950.0,14230.0,13510.0,14230.0,14230.0,33
2006-11-28,13830.0,14000.0,13730.0,13800.0,13800.0,19
2006-11-29,13810.0,14160.0,13650.0,13990.0,13990.0,27
2006-11-30,13650.0,14230.0,13640.0,13960.0,13960.0,11
2006-12-01,13820.0,14030.0,13250.0,13700.0,13700.0,18
2006-12-04,14500.0,14500.0,13010.0,13400.0,13400.0,57
2006-12-05,13410.0,13630.0,13310.0,13500.0,13500.0,45
2006-12-06,13470.0,13710.0,13350.0,13500.0,13500.0,14
2006-12-07,13410.0,13720.0,13350.0,13400.0,13400.0,8
2006-12-08,13300.0,13500.0,13020.0,13350.0,13350.0,19
2006-12-11,13300.0,13500.0,13250.0,13300.0,13300.0,116
2006-12-12,13300.0,13400.0,13250.0,13370.0,13370.0,48
2006-12-13,13400.0,14090.0,13380.0,13900.0,13900.0,57
2006-12-14,13890.0,13920.0,13590.0,13850.0,13850.0,3
2006-12-15,13710.0,13840.0,13700.0,13800.0,13800.0,20
2006-12-18,13990.0,14000.0,13720.0,13820.0,13820.0,27
2006-12-19,13730.0,13800.0,13730.0,13800.0,13800.0,4
2006-12-20,13800.0,14250.0,13800.0,14250.0,14250.0,18
2006-12-21,14250.0,14260.0,14050.0,14260.0,14260.0,17
2006-12-22,14270.0,14440.0,14260.0,14440.0,14440.0,1
2006-12-26,14260.0,14260.0,13400.0,14090.0,14090.0,35
2006-12-27,14240.0,14550.0,14240.0,14490.0,14490.0,25
2006-12-28,14260.0,14500.0,14240.0,14460.0,14460.0,10
2006-12-29,14440.0,14450.0,14290.0,14290.0,14290.0,16
