Date,Open,High,Low,Close,Adj Close,Volume
1995-02-01,13.062999725341797,13.5,13.062999725341797,13.062999725341797,13.062999725341797,3400
1995-02-02,13.5,13.5,13.0,13.062999725341797,13.062999725341797,7200
1995-02-03,13.5,13.5,13.0,13.0,13.0,114200
1995-02-06,13.5,13.5,13.25,13.5,13.5,6300
1995-02-07,13.380000114440918,13.5,13.375,13.5,13.5,95000
1995-02-08,13.5,13.5,13.5,13.5,13.5,1500
1995-02-09,13.0,13.5,13.0,13.5,13.5,3100
1995-02-10,13.5,13.5,13.0,13.5,13.5,700
1995-02-13,13.0,13.5,13.0,13.5,13.5,93600
1995-02-14,13.0,13.5,13.0,13.0,13.0,18800
1995-02-15,13.0600004196167,13.5,13.0,13.125,13.125,34800
1995-02-16,12.75,13.375,12.75,13.25,13.25,46200
1995-02-17,12.75,13.5,12.75,13.437999725341797,13.437999725341797,65700
1995-02-21,13.5,13.5,12.875,12.875,12.875,2200
1995-02-22,13.5,13.5,13.125,13.5,13.5,31200
1995-02-23,13.5,13.5,13.25,13.5,13.5,12900
1995-02-24,12.75,12.75,12.75,12.75,12.75,500
1995-02-27,12.75,13.0,12.656000137329102,12.75,12.75,11700
1995-02-28,13.25,13.5,13.0,13.5,13.5,49800
1995-03-01,13.5,13.5,13.0,13.25,13.25,133200
1995-03-02,13.0,13.5,13.0,13.5,13.5,10400
1995-03-03,13.0,13.5,13.0,13.5,13.5,6200
1995-03-06,13.5,13.5,13.5,13.5,13.5,5000
1995-03-07,13.0,14.0,13.0,14.0,14.0,47300
1995-03-08,13.880000114440918,14.0,13.625,14.0,14.0,53300
1995-03-09,14.0,14.0,14.0,14.0,14.0,100
1995-03-10,13.8100004196167,13.875,13.625,13.625,13.625,43300
1995-03-13,13.630000114440918,13.875,13.625,13.875,13.875,110600
1995-03-14,13.630000114440918,13.75,13.625,13.75,13.75,19900
1995-03-15,13.875,13.875,13.875,13.875,13.875,400
1995-03-16,13.630000114440918,13.75,13.625,13.75,13.75,6000
1995-03-17,13.630000114440918,13.875,13.625,13.625,13.625,1800
1995-03-20,13.630000114440918,13.875,13.625,13.875,13.875,17800
1995-03-21,13.875,13.875,13.625,13.625,13.625,29400
1995-03-22,13.875,13.875,13.75,13.875,13.875,2300
1995-03-23,13.875,13.875,13.625,13.75,13.75,26000
1995-03-24,13.880000114440918,14.25,13.625,14.0,14.0,55300
1995-03-27,14.25,14.25,13.625,13.625,13.625,900
1995-03-28,13.625,13.625,13.625,13.625,13.625,100
1995-03-29,13.75,13.875,13.75,13.875,13.875,20000
1995-03-30,13.75,14.25,13.75,14.125,14.125,6700
1995-03-31,14.5,14.75,14.0,14.75,14.75,29900
1995-04-03,14.75,14.75,14.25,14.25,14.25,2200
1995-04-04,14.5,14.5,14.5,14.5,14.5,2000
1995-04-05,14.75,15.375,14.625,14.875,14.875,118500
