Date,Open,High,Low,Close,Adj Close,Volume
1995-02-01,52.5,52.5,52.5,52.5,6.964612007141113,0
1995-02-02,52.5,52.5,52.5,52.5,6.964612007141113,0
1995-02-03,48.75,48.75,48.75,48.75,6.46713924407959,27
1995-02-06,48.75,48.75,48.75,48.75,6.46713924407959,33
1995-02-07,48.75,48.75,48.75,48.75,6.46713924407959,143
1995-02-08,48.75,48.75,48.75,48.75,6.46713924407959,0
1995-02-09,52.5,52.5,48.75,48.75,6.46713924407959,67
1995-02-10,48.75,48.75,48.75,48.75,6.46713924407959,7
1995-02-13,52.5,52.5,48.75,48.75,6.46713924407959,37
1995-02-14,52.5,56.25,48.75,56.25,7.462085247039795,37
1995-02-15,52.5,52.5,52.5,52.5,6.964612007141113,3
1995-02-16,52.5,52.5,52.5,52.5,6.964612007141113,50
1995-02-17,52.5,52.5,52.5,52.5,6.964612007141113,3
1995-02-21,52.5,52.5,52.5,52.5,6.964612007141113,0
1995-02-22,52.5,52.5,48.75,48.75,6.46713924407959,40
1995-02-23,52.5,52.5,52.5,52.5,6.964612007141113,13
1995-02-24,52.5,52.5,52.5,52.5,6.964612007141113,0
1995-02-27,48.75,48.75,48.75,48.75,6.46713924407959,167
1995-02-28,48.75,48.75,48.75,48.75,6.46713924407959,207
1995-03-01,48.75,48.75,48.75,48.75,6.46713924407959,37
1995-03-02,48.75,48.75,48.75,48.75,6.46713924407959,40
1995-03-03,48.75,52.5,48.75,48.75,6.46713924407959,110
1995-03-06,52.5,52.5,48.75,48.75,6.46713924407959,107
1995-03-07,48.75,48.75,48.75,48.75,6.46713924407959,40
1995-03-08,48.75,52.5,48.75,52.5,6.964612007141113,43
1995-03-09,48.75,48.75,48.75,48.75,6.46713924407959,303
1995-03-10,48.75,48.75,48.75,48.75,6.46713924407959,0
1995-03-13,48.75,48.75,48.75,48.75,6.46713924407959,90
1995-03-14,52.5,52.5,52.5,52.5,6.964612007141113,20
1995-03-15,52.5,52.5,48.75,48.75,6.46713924407959,27
1995-03-16,48.75,48.75,48.75,48.75,6.46713924407959,0
1995-03-17,48.75,48.75,48.75,48.75,6.46713924407959,0
1995-03-20,48.75,48.75,48.75,48.75,6.46713924407959,33
1995-03-21,48.75,48.75,48.75,48.75,6.46713924407959,43
1995-03-22,48.75,48.75,48.75,48.75,6.46713924407959,7
1995-03-23,52.5,52.5,48.75,48.75,6.46713924407959,57
1995-03-24,48.75,48.75,48.75,48.75,6.46713924407959,0
1995-03-27,48.75,48.75,48.75,48.75,6.46713924407959,37
1995-03-28,48.75,48.75,48.75,48.75,6.46713924407959,0
1995-03-29,48.75,48.75,48.75,48.75,6.46713924407959,3
1995-03-30,52.5,52.5,52.5,52.5,6.964612007141113,17
1995-03-31,48.75,48.75,48.75,48.75,6.46713924407959,17
1995-04-03,48.75,48.75,48.75,48.75,6.46713924407959,0
1995-04-04,48.75,48.75,48.75,48.75,6.46713924407959,13
1995-04-05,52.5,52.5,52.5,52.5,6.964612007141113,27
1995-04-06,48.75,48.75,48.75,48.75,6.46713924407959,17
1995-04-07,52.5,52.5,48.75,48.75,6.46713924407959,67
1995-04-10,48.75,48.75,48.75,48.75,6.46713924407959,83
1995-04-11,48.75,48.75,48.75,48.75,6.46713924407959,340
1995-04-12,48.75,48.75,45.0,48.75,6.46713924407959,293
1995-04-13,48.75,48.75,48.75,48.75,6.46713924407959,10
1995-04-17,45.0,48.75,45.0,48.75,6.46713924407959,70
1995-04-18,48.75,48.75,48.75,48.75,6.46713924407959,0
