Date,Open,High,Low,Close,Adj Close,Volume
2000-08-01,97.5,102.5,95.0,100.625,100.625,551340
2000-08-02,96.25,100.62999725341797,86.25,96.25,96.25,76230
2000-08-03,90.62999725341797,95.0,87.5,90.62999725341797,90.62999725341797,16880
2000-08-04,92.5,97.5,90.0,92.5,92.5,13250
2000-08-07,101.25,105.0,92.5,101.25,101.25,31290
2000-08-08,102.5,111.25,96.25,102.5,102.5,36580
2000-08-09,100.0,107.5,94.37999725341797,100.0,100.0,10920
2000-08-10,100.0,103.75,95.0,100.0,100.0,21310
2000-08-11,98.75,100.0,97.5,98.75,98.75,13560
2000-08-14,94.37999725341797,97.5,93.75,94.37999725341797,94.37999725341797,8210
2000-08-15,97.5,103.75,93.75,97.5,97.5,13980
2000-08-16,97.5,97.5,95.0,97.5,97.5,6010
2000-08-17,98.75,100.62999725341797,95.0,98.75,98.75,4900
2000-08-18,97.19000244140625,101.25,95.0,97.19000244140625,97.19000244140625,9050
2000-08-21,96.25,98.75,93.75,96.25,96.25,3100
2000-08-22,100.0,101.25,96.25,100.0,100.0,10860
2000-08-23,110.0,110.0,98.75,110.0,110.0,17060
2000-08-24,100.0,110.0,100.0,100.0,100.0,9230
2000-08-25,127.5,135.0,101.25,127.5,127.5,25070
2000-08-28,116.87999725341797,133.1300048828125,111.25,116.87999725341797,116.87999725341797,43770
2000-08-29,110.0,120.0,106.25,110.0,110.0,35610
2000-08-30,112.5,115.62999725341797,110.0,112.5,112.5,30110
2000-08-31,120.0,126.25,116.25,120.0,120.0,30080
2000-09-01,115.0,123.75,106.25,115.0,115.0,16770
2000-09-05,110.0,116.25,108.75,110.0,110.0,18580
2000-09-06,107.5,112.5,107.5,107.5,107.5,12530
2000-09-07,102.5,113.75,102.5,102.5,102.5,10860
2000-09-08,100.62999725341797,108.75,98.75,100.62999725341797,100.62999725341797,10710
2000-09-11,116.87999725341797,118.12999725341797,100.0,116.87999725341797,116.87999725341797,18160
2000-09-12,115.0,117.5,108.75,115.0,115.0,7940
2000-09-13,140.0,140.0,105.0,140.0,140.0,52010
2000-09-14,164.3800048828125,179.3800048828125,138.75,164.3800048828125,164.3800048828125,91170
2000-09-15,170.0,175.6300048828125,156.25,170.0,170.0,40640
2000-09-18,168.75,175.0,161.25,168.75,168.75,21970
2000-09-19,165.0,168.75,158.75,165.0,165.0,14110
2000-09-20,165.0,165.0,157.5,165.0,165.0,10880
2000-09-21,183.75,186.25,159.3800048828125,183.75,183.75,18200
2000-09-22,196.25,196.25,165.0,196.25,196.25,18040
2000-09-25,198.1300048828125,203.75,183.75,198.1300048828125,198.1300048828125,19750
2000-09-26,195.0,200.0,186.25,195.0,195.0,31570
2000-09-27,206.8800048828125,210.0,200.0,206.8800048828125,206.8800048828125,29990
2000-09-28,201.25,209.3800048828125,187.5,201.25,201.25,20370
2000-09-29,254.3800048828125,260.0,195.0,254.3800048828125,254.3800048828125,20850
2000-10-02,260.94000244140625,280.0,232.5,260.94000244140625,260.94000244140625,29640
2000-10-03,272.5,283.75,262.5,272.5,272.5,48860
2000-10-04,265.0,275.6300048828125,255.0,265.0,265.0,19440
2000-10-05,237.5,264.69000244140625,227.5,237.5,237.5,24300
2000-10-06,218.75,228.75,216.8800048828125,218.75,218.75,30650
2000-10-09,211.8800048828125,216.8800048828125,204.3800048828125,211.8800048828125,211.8800048828125,16880
2000-10-10,217.5,217.5,208.75,217.5,217.5,7060
