Date,Open,High,Low,Close,Adj Close,Volume
1999-07-01,25.5,32.75,23.0,25.5,25.5,5458800
1999-07-02,38.6875,39.375,29.5,38.6875,38.6875,2917600
1999-07-06,40.0625,46.625,38.75,40.0625,40.0625,1560500
1999-07-07,40.0,40.125,34.5,40.0,40.0,754900
1999-07-08,37.5625,40.125,37.25,37.5625,37.5625,470900
1999-07-09,37.625,38.625,36.0,37.625,37.625,292000
1999-07-12,38.75,40.1875,38.25,38.75,38.75,419900
1999-07-13,38.0,38.875,37.0,38.0,38.0,246900
1999-07-14,42.1875,43.3125,37.9375,42.1875,42.1875,528900
1999-07-15,49.875,52.0,41.75,49.875,49.875,939700
1999-07-16,48.0,51.0,46.4375,48.0,48.0,368000
1999-07-19,46.6875,48.5,44.5,46.6875,46.6875,221700
1999-07-20,41.375,46.625,39.75,41.375,41.375,449300
1999-07-21,40.6875,44.875,40.25,40.6875,40.6875,212200
1999-07-22,42.25,44.375,38.375,42.25,42.25,189500
1999-07-23,44.9375,45.25,41.25,44.9375,44.9375,184700
1999-07-26,43.75,44.5625,41.75,43.75,43.75,153600
1999-07-27,39.75,44.5,39.75,39.75,39.75,187100
1999-07-28,34.25,41.625,33.5,34.25,34.25,472700
1999-07-29,33.75,35.125,30.25,33.75,33.75,432600
1999-07-30,38.3125,38.5,29.625,38.3125,38.3125,691900
1999-08-02,36.0,36.5,34.0,36.0,36.0,410600
1999-08-03,31.0,36.0,30.875,31.0,31.0,345200
1999-08-04,23.75,31.5,23.75,23.75,23.75,515800
1999-08-05,23.9375,25.875,21.25,23.9375,23.9375,485800
1999-08-06,25.125,26.75,23.5,25.125,25.125,627100
1999-08-09,22.0,26.125,21.75,22.0,22.0,247700
1999-08-10,21.0625,22.875,19.875,21.0625,21.0625,325400
1999-08-11,22.8125,22.875,21.0,22.8125,22.8125,198200
1999-08-12,25.1875,26.875,23.5,25.1875,25.1875,429400
1999-08-13,28.625,29.5625,27.0,28.625,28.625,453600
1999-08-16,28.0625,30.0,27.0,28.0625,28.0625,226400
1999-08-17,31.0,31.0,28.125,31.0,31.0,166800
1999-08-18,29.125,32.0,28.5,29.125,29.125,106600
1999-08-19,29.125,29.75,27.75,29.125,29.125,198900
1999-08-20,30.1875,30.875,29.375,30.1875,30.1875,227900
1999-08-23,31.875,33.875,30.5,31.875,31.875,206500
1999-08-24,36.3125,36.5,32.0,36.3125,36.3125,298700
1999-08-25,38.75,39.375,36.75,38.75,38.75,419700
1999-08-26,41.125,42.5,39.25,41.125,41.125,492300
1999-08-27,39.0,42.25,38.75,39.0,39.0,224300
1999-08-30,35.125,39.9375,35.0,35.125,35.125,212600
1999-08-31,33.25,35.25,32.5,33.25,33.25,232100
1999-09-01,37.5,38.0,33.625,37.5,37.5,176800
1999-09-02,35.875,38.25,35.125,35.875,35.875,98300
1999-09-03,39.0,39.125,37.0,39.0,39.0,97000
1999-09-07,36.25,38.9375,36.0,36.25,36.25,73200
1999-09-08,41.0625,41.125,34.125,41.0625,41.0625,267400
1999-09-09,49.0625,49.9375,41.3125,49.0625,49.0625,1129800
1999-09-10,47.4375,50.4375,47.0,47.4375,47.4375,415200
1999-09-13,45.875,47.25,44.5,45.875,45.875,194600
1999-09-14,40.375,45.5,39.375,40.375,40.375,238900
1999-09-15,42.875,43.75,40.5,42.875,42.875,494600
1999-09-16,40.125,43.0,40.0,40.125,40.125,50200
1999-09-17,45.0,48.0,42.125,45.0,45.0,437400
1999-09-20,49.75,51.5,43.6875,49.75,49.75,666800
1999-09-21,50.625,54.0,48.0,50.625,50.625,526600
1999-09-22,52.3125,52.3125,48.0,52.3125,52.3125,199700
1999-09-23,50.5,53.375,50.5,50.5,50.5,280300
1999-09-24,48.0,49.375,46.625,48.0,48.0,247300
1999-09-27,48.5,52.75,46.5625,48.5,48.5,171500
1999-09-28,45.625,49.0,45.625,45.625,45.625,111700
1999-09-29,48.0,51.125,46.375,48.0,48.0,277600
1999-09-30,50.9375,52.0,49.75,50.9375,50.9375,222700
1999-10-01,50.75,52.0,49.75,50.75,50.75,93800
1999-10-04,52.375,55.75,51.9375,52.375,52.375,153800
1999-10-05,54.75,56.875,51.5625,54.75,54.75,179800
1999-10-06,53.5,56.0,51.5,53.5,53.5,157300
1999-10-07,52.0,53.75,51.5625,52.0,52.0,53500
1999-10-08,50.1875,53.0,49.5,50.1875,50.1875,46800
1999-10-11,54.5,55.9375,50.5,54.5,54.5,357500
1999-10-12,59.5,63.375,54.875,59.5,59.5,464200
1999-10-13,66.0625,70.5,57.5,66.0625,66.0625,604100
1999-10-14,76.0,76.6875,67.0,76.0,76.0,667300
1999-10-15,73.25,80.0,69.0625,73.25,73.25,436200
1999-10-18,66.625,74.5,61.0,66.625,66.625,542300
1999-10-19,70.5,71.75,65.75,70.5,70.5,357400
1999-10-20,75.1875,80.0,70.5625,75.1875,75.1875,363600
1999-10-21,69.0,81.875,68.25,69.0,69.0,405800
1999-10-22,71.875,77.25,70.375,71.875,71.875,298400
1999-10-25,76.0,78.5,71.5,76.0,76.0,347700
1999-10-26,78.0,85.0,77.75,78.0,78.0,448700
1999-10-27,82.375,84.375,77.3125,82.375,82.375,190300
1999-10-28,90.5,92.0,83.9375,90.5,90.5,282800
1999-10-29,94.875,100.375,93.25,94.875,94.875,446100
1999-11-01,92.5,98.75,91.0,92.5,92.5,288000
1999-11-02,85.0625,90.0,82.9375,85.0625,85.0625,487500
1999-11-03,84.0,88.1875,83.5,84.0,84.0,148900
1999-11-04,92.1875,92.5625,85.75,92.1875,92.1875,198000
1999-11-05,92.875,100.0,91.0,92.875,92.875,184000
1999-11-08,97.9375,99.0,93.0,97.9375,97.9375,83000
1999-11-09,95.25,103.9375,95.0,95.25,95.25,136100
1999-11-10,96.75,103.0,95.25,96.75,96.75,99800
1999-11-11,101.25,104.75,97.375,101.25,101.25,145300
1999-11-12,96.25,102.625,95.5,96.25,96.25,169100
1999-11-15,96.125,98.5,95.6875,96.125,96.125,54600
1999-11-16,99.5,102.5,95.25,99.5,99.5,120800
1999-11-17,95.0,100.875,95.0,95.0,95.0,165100
1999-11-18,102.75,103.0,94.1875,102.75,102.75,154200
1999-11-19,99.875,110.25,97.5,99.875,99.875,290900
1999-11-22,91.5,101.0,91.25,91.5,91.5,415100
1999-11-23,83.5,86.0,82.5,83.5,83.5,2694900
1999-11-24,80.625,84.0,77.0,80.625,80.625,645800
1999-11-26,83.5625,83.875,80.5,83.5625,83.5625,276500
1999-11-29,85.4375,86.9375,84.0,85.4375,85.4375,1001200
1999-11-30,82.0,85.5,79.125,82.0,82.0,311800
1999-12-01,81.8125,82.0625,78.875,81.8125,81.8125,445800
1999-12-02,83.75,85.0,82.0,83.75,83.75,437600
1999-12-03,86.0,88.875,84.0,86.0,86.0,428700
1999-12-06,83.875,87.5625,83.0,83.875,83.875,197400
1999-12-07,84.1875,85.75,83.625,84.1875,84.1875,223000
1999-12-08,92.0,93.0,84.0,92.0,92.0,436700
1999-12-09,85.375,95.25,83.25,85.375,85.375,258400
1999-12-10,84.75,87.0,82.25,84.75,84.75,243400
1999-12-13,90.25,94.625,84.875,90.25,90.25,510900
1999-12-14,85.0,93.0,85.0,85.0,85.0,208900
1999-12-15,84.125,85.0,83.0,84.125,84.125,241700
1999-12-16,83.25,86.875,81.875,83.25,83.25,225800
1999-12-17,83.625,85.125,83.125,83.625,83.625,107900
1999-12-20,78.375,83.96880340576172,78.375,78.375,78.375,286400
1999-12-21,75.0,77.9375,71.3125,75.0,75.0,422400
1999-12-22,72.5,81.375,72.0,72.5,72.5,249200
1999-12-23,71.0,72.25,70.5,71.0,71.0,352400
1999-12-27,63.75,71.0625,63.5,63.75,63.75,361900
1999-12-28,65.3125,67.75,57.9375,65.3125,65.3125,773600
