Date,Open,High,Low,Close,Adj Close,Volume
1995-02-01,400.0,412.5,393.75,406.25,249.2058868408203,5522
1995-02-02,406.25,421.875,396.875,397.65625,243.93423461914062,2760
1995-02-03,406.25,406.25,393.75,400.0,245.37196350097656,2164
1995-02-06,400.0,406.25,393.75,406.25,249.2058868408203,1668
1995-02-07,406.25,406.25,393.75,403.125,247.28892517089844,1204
1995-02-08,403.125,403.125,387.5,400.0,245.37196350097656,1448
1995-02-09,400.0,406.25,393.75,406.25,249.2058868408203,698
1995-02-10,400.0,406.25,396.875,406.25,249.2058868408203,1136
1995-02-13,406.25,406.25,393.75,400.0,245.37196350097656,770
1995-02-14,393.75,406.25,393.75,400.0,245.37196350097656,1008
1995-02-15,400.0,406.25,393.75,406.25,249.2058868408203,1116
1995-02-16,406.25,406.25,396.875,396.875,243.45501708984375,536
1995-02-17,403.125,403.125,393.75,400.0,245.37196350097656,784
1995-02-21,396.875,406.25,387.5,396.875,243.45501708984375,1616
1995-02-22,406.25,406.25,393.75,399.21875,244.89268493652344,1196
1995-02-23,400.0,406.25,400.0,400.0,245.37196350097656,882
1995-02-24,406.25,406.25,393.75,400.0,245.37196350097656,1316
1995-02-27,400.0,400.0,387.5,389.0625,238.66259765625,1366
1995-02-28,400.0,400.0,387.5,400.0,245.37196350097656,1046
1995-03-01,400.0,400.0,387.5,387.5,237.70416259765625,1584
1995-03-02,396.875,396.875,387.5,387.5,237.70416259765625,1016
1995-03-03,393.75,393.75,381.25,393.75,241.5380096435547,1108
1995-03-06,393.75,393.75,381.25,393.75,241.5380096435547,1136
1995-03-07,381.25,393.75,375.0,381.25,233.87017822265625,1088
1995-03-08,375.0,375.0,343.75,350.0,214.70045471191406,2416
1995-03-09,356.25,356.25,343.75,350.0,214.70045471191406,2156
1995-03-10,356.25,356.25,337.5,350.0,214.70045471191406,1292
1995-03-13,350.0,350.0,337.5,343.75,210.8665771484375,1422
1995-03-14,343.75,343.75,312.5,325.0,199.36468505859375,2928
1995-03-15,318.75,331.25,318.75,331.25,203.1986846923828,1378
1995-03-16,337.5,337.5,325.0,337.5,207.03256225585938,764
1995-03-17,331.25,343.75,331.25,331.25,203.1986846923828,1302
1995-03-20,343.75,343.75,331.25,340.625,208.94955444335938,1084
1995-03-21,343.75,353.125,334.375,350.0,214.70045471191406,1362
1995-03-22,356.25,356.25,343.75,356.25,218.53440856933594,1460
1995-03-23,356.25,356.25,347.65625,356.25,218.53440856933594,1000
1995-03-24,356.25,356.25,343.75,356.25,218.53440856933594,1018
1995-03-27,350.0,362.5,350.0,358.59375,219.9720916748047,1026
1995-03-28,362.5,362.5,350.0,362.5,222.36831665039062,452
1995-03-29,356.25,356.25,340.625,343.75,210.8665771484375,1518
1995-03-30,346.875,350.0,340.625,340.625,208.94955444335938,1088
1995-03-31,340.625,350.0,340.625,343.75,210.8665771484375,1358
1995-04-03,350.0,350.0,334.375,343.75,210.8665771484375,1072
1995-04-04,334.375,353.125,334.375,350.0,214.70045471191406,1360
1995-04-05,343.75,350.0,337.5,350.0,214.70045471191406,954
1995-04-06,350.0,350.0,337.5,350.0,214.70045471191406,1180
1995-04-07,350.0,350.0,337.5,343.75,210.8665771484375,786
1995-04-10,334.375,350.0,334.375,340.625,208.94955444335938,928
1995-04-11,340.625,362.5,340.625,350.0,214.70045471191406,1112
1995-04-12,350.0,381.25,350.0,368.75,226.20225524902344,1034
1995-04-13,381.25,393.75,368.75,393.75,241.5380096435547,1042
1995-04-17,400.0,400.0,387.5,387.5,237.70416259765625,874
1995-04-18,396.875,396.875,381.25,390.625,239.62107849121094,776
1995-04-19,390.625,390.625,381.25,384.375,235.78713989257812,762
1995-04-20,390.625,390.625,368.75,381.25,233.87017822265625,842
1995-04-21,368.75,381.25,368.75,381.25,233.87017822265625,346
1995-04-24,368.75,381.25,362.5,375.0,230.03619384765625,716
1995-04-25,375.0,375.0,356.25,368.75,226.20225524902344,494
1995-04-26,368.75,375.0,356.25,368.75,226.20225524902344,398
1995-04-27,375.0,375.0,362.5,375.0,230.03619384765625,840
1995-04-28,362.5,381.25,362.5,381.25,233.87017822265625,486
1995-05-01,381.25,381.25,356.25,368.75,226.20225524902344,770
1995-05-02,356.25,362.5,343.75,350.0,214.70045471191406,900
1995-05-03,356.25,356.25,340.625,356.25,218.53440856933594,418
1995-05-04,356.25,365.625,346.875,356.25,218.53440856933594,660
1995-05-05,353.125,365.625,346.875,350.0,214.70045471191406,530
1995-05-08,350.0,356.25,343.75,350.0,214.70045471191406,340
1995-05-09,350.0,353.125,337.5,342.1875,209.90798950195312,938
1995-05-10,340.625,350.0,331.25,343.75,210.8665771484375,924
1995-05-11,334.375,353.125,334.375,343.75,210.8665771484375,642
1995-05-12,340.625,353.125,337.5,346.875,212.783447265625,544
1995-05-15,346.875,347.65625,331.25,336.71875,206.55337524414062,1148
1995-05-16,331.25,343.75,325.0,334.375,205.1156463623047,1056
1995-05-17,318.75,334.375,312.5,315.625,193.61386108398438,1524
1995-05-18,321.875,331.25,312.5,315.625,193.61386108398438,1052
1995-05-19,325.0,331.25,312.5,331.25,203.1986846923828,850
1995-05-22,334.375,350.0,331.25,350.0,214.70045471191406,1454
1995-05-23,346.875,346.875,331.25,343.75,210.8665771484375,1138
1995-05-24,343.75,343.75,331.25,340.625,208.94955444335938,1092
1995-05-25,331.25,343.75,331.25,340.625,208.94955444335938,290
1995-05-26,331.25,350.0,331.25,340.625,208.94955444335938,746
1995-05-30,337.5,350.0,337.5,350.0,214.70045471191406,548
