Date,Open,High,Low,Close,Adj Close,Volume
1995-02-01,4.25,4.25,4.125,4.125,2.857839584350586,8000
1995-02-02,4.125,4.125,4.125,4.125,2.857839584350586,8200
1995-02-03,4.125,4.25,4.125,4.1875,2.901139736175537,23000
1995-02-06,4.125,4.25,4.0625,4.25,2.944441080093384,22400
1995-02-07,4.25,4.375,4.25,4.375,3.0310418605804443,15400
1995-02-08,4.3125,4.3125,4.1875,4.1875,2.901139736175537,15000
1995-02-09,4.125,4.375,4.125,4.375,3.0310418605804443,251800
1995-02-10,4.25,4.375,4.25,4.3125,2.9877405166625977,255000
1995-02-13,4.3125,4.3125,4.25,4.25,2.944441080093384,12200
1995-02-14,4.25,4.25,4.25,4.25,2.944441080093384,8600
1995-02-15,4.25,4.25,4.25,4.25,2.944441080093384,57400
1995-02-16,4.25,4.3125,4.1875,4.3125,2.9877405166625977,20200
1995-02-17,4.4375,4.4375,4.1875,4.25,2.944441080093384,21600
1995-02-21,4.1875,4.3125,4.125,4.125,2.857839584350586,10000
1995-02-22,4.125,4.125,4.0625,4.125,2.857839584350586,3000
1995-02-23,4.125,4.125,4.0625,4.125,2.857839584350586,14200
1995-02-24,4.0625,4.25,4.0625,4.25,2.944441080093384,20000
1995-02-27,4.1875,4.1875,4.0625,4.0625,2.8145394325256348,68600
1995-02-28,4.0625,4.0625,4.0625,4.0625,2.8145394325256348,2000
1995-03-01,4.0625,4.125,4.0,4.0,2.7712390422821045,32000
1995-03-02,4.0,4.0,4.0,4.0,2.7712390422821045,9200
1995-03-03,4.0,4.0,4.0,4.0,2.7712390422821045,15600
1995-03-06,3.9375,4.125,3.9375,4.0625,2.8145394325256348,67400
1995-03-07,4.0625,4.0625,4.0625,4.0625,2.8145394325256348,23400
1995-03-08,4.0,4.0,3.9375,3.9375,2.7279374599456787,8600
1995-03-09,4.0,4.0,3.875,3.875,2.6846377849578857,38800
1995-03-10,3.875,3.875,3.3125,3.5625,2.4681344032287598,121400
1995-03-13,3.625,3.8125,3.625,3.8125,2.64133620262146,25600
1995-03-14,3.875,3.875,3.875,3.875,2.6846377849578857,20400
1995-03-15,3.8125,4.0,3.8125,4.0,2.7712390422821045,33000
1995-03-16,3.9375,4.0,3.9375,3.9375,2.7279374599456787,6400
1995-03-17,3.9375,4.0,3.9375,4.0,2.7712390422821045,82600
1995-03-20,3.9375,4.0,3.875,3.9375,2.7279374599456787,35200
1995-03-21,4.0,4.0,3.9375,3.9375,2.7279374599456787,15400
1995-03-22,4.0,4.0,3.8125,3.8125,2.64133620262146,18600
1995-03-23,3.9375,3.9375,3.8125,3.8125,2.64133620262146,34800
1995-03-24,3.8125,3.9375,3.8125,3.875,2.6846377849578857,136600
1995-03-27,3.875,3.875,3.8125,3.8125,2.64133620262146,29800
1995-03-28,3.875,3.9375,3.8125,3.9375,2.7279374599456787,35800
1995-03-29,4.0,4.0625,3.875,3.875,2.6846377849578857,53800
1995-03-30,3.875,3.9375,3.8125,3.8125,2.64133620262146,45200
1995-03-31,3.9375,4.0625,3.9375,4.0,2.7712390422821045,103400
1995-04-03,4.0625,4.0625,4.0,4.0,2.7712390422821045,37000
1995-04-04,4.0,4.125,3.9375,4.0625,2.8145394325256348,36000
1995-04-05,4.125,4.125,4.0625,4.125,2.857839584350586,41600
1995-04-06,4.125,4.1875,4.125,4.125,2.857839584350586,58800
