Date,Open,High,Low,Close,Adj Close,Volume
1998-05-20,216.25,216.8800048828125,183.75,216.25,216.25,297600
1998-05-21,210.0,215.6300048828125,203.75,211.8800048828125,211.8800048828125,55990
1998-05-22,208.75,208.75,198.75,203.1300048828125,203.1300048828125,35930
1998-05-26,198.8000030517578,205.0,198.75,202.5,202.5,29580
1998-05-27,200.0,202.5,198.75,202.5,202.5,33760
1998-05-28,200.0,205.0,200.0,205.0,205.0,16230
1998-05-29,206.3000030517578,216.25,206.25,210.0,210.0,8210
1998-06-01,208.8000030517578,212.5,207.5,207.5,207.5,3730
1998-06-02,207.5,212.5,207.5,207.5,207.5,4080
1998-06-03,207.5,211.25,203.75,205.0,205.0,7810
1998-06-04,207.5,213.75,203.75,213.75,213.75,13820
1998-06-05,207.5,241.25,207.5,236.25,236.25,7190
1998-06-08,240.0,268.75,235.0,268.75,268.75,5830
1998-06-09,268.79998779296875,300.0,260.0,278.75,278.75,18760
1998-06-10,277.5,283.75,247.5,265.0,265.0,7130
1998-06-11,267.5,270.0,265.0,265.0,265.0,1840
1998-06-12,265.0,265.0,255.0,255.0,255.0,8170
1998-06-15,247.5,253.75,225.0,252.5,252.5,3940
1998-06-16,252.5,280.0,252.5,267.5,267.5,5540
1998-06-17,270.0,272.5,257.5,257.5,257.5,3530
1998-06-18,257.5,257.5,240.0,240.0,240.0,6600
1998-06-19,238.8000030517578,239.3800048828125,210.0,218.75,218.75,36000
1998-06-22,218.8000030517578,222.5,185.0,192.5,192.5,185550
1998-06-23,197.5,212.5,185.0,201.25,201.25,44180
1998-06-24,210.0,226.25,208.75,213.75,213.75,13270
1998-06-25,208.8000030517578,211.25,190.0,202.5,202.5,10020
1998-06-26,202.5,211.25,202.5,210.0,210.0,13400
1998-06-29,210.0,222.5,208.75,216.25,216.25,9060
1998-06-30,215.0,250.0,215.0,248.75,248.75,11080
1998-07-01,240.0,246.25,235.0,243.75,243.75,6770
1998-07-02,240.0,246.25,230.0,237.5,237.5,6380
1998-07-06,240.60000610351562,241.25,230.0,240.0,240.0,2090
1998-07-07,230.60000610351562,245.0,227.5,236.25,236.25,1430
1998-07-08,240.0,253.75,240.0,252.5,252.5,2500
1998-07-09,252.5,252.5,235.0,240.0,240.0,2290
1998-07-10,237.5,237.5,235.0,235.0,235.0,270
1998-07-13,235.0,235.0,225.0,230.0,230.0,1040
1998-07-14,225.0,235.0,225.0,227.5,227.5,910
1998-07-15,225.0,231.25,220.0,230.0,230.0,1000
1998-07-16,220.0,225.0,218.75,219.3800048828125,219.3800048828125,3510
1998-07-17,210.0,256.25,210.0,237.5,237.5,7410
1998-07-20,227.5,237.5,226.25,231.25,231.25,1850
1998-07-21,227.5,240.0,227.5,235.0,235.0,7260
1998-07-22,231.3000030517578,232.5,228.75,228.75,228.75,880
1998-07-23,233.8000030517578,237.5,230.0,231.25,231.25,9440
1998-07-24,232.5,237.5,227.5,227.5,227.5,1770
1998-07-27,225.0,235.0,225.0,235.0,235.0,2980
1998-07-28,231.3000030517578,238.75,231.25,233.75,233.75,1840
1998-07-29,236.3000030517578,240.0,231.25,240.0,240.0,610
1998-07-30,257.5,265.0,230.0,233.75,233.75,4390
1998-07-31,231.25,231.25,228.75,230.0,230.0,4640
1998-08-03,228.8000030517578,230.0,227.5,228.1300048828125,228.1300048828125,5960
1998-08-04,226.3000030517578,228.75,203.75,216.25,216.25,9890
1998-08-05,215.0,220.0,215.0,217.5,217.5,1720
1998-08-06,220.0,222.5,217.5,222.5,222.5,530
1998-08-07,226.3000030517578,230.0,221.55999755859375,221.55999755859375,221.55999755859375,2250
1998-08-10,230.0,256.25,230.0,252.5,252.5,1500
1998-08-11,230.0,250.0,218.75,250.0,250.0,3660
1998-08-12,242.5,252.5,230.0,238.75,238.75,6020
1998-08-13,236.3000030517578,240.0,235.0,238.75,238.75,3900
1998-08-14,235.0,245.0,232.5,232.5,232.5,290
1998-08-17,231.3000030517578,240.0,231.25,235.0,235.0,3130
1998-08-18,237.5,240.0,236.25,238.75,238.75,410
1998-08-19,236.3000030517578,240.0,227.5,227.5,227.5,380
1998-08-20,226.3000030517578,228.75,218.75,220.0,220.0,2310
1998-08-21,221.3000030517578,228.75,221.25,228.75,228.75,650
1998-08-24,225.0,230.0,225.0,225.0,225.0,240
1998-08-25,225.0,230.0,205.0,217.5,217.5,2970
1998-08-26,208.8000030517578,217.5,188.75,210.0,210.0,4480
1998-08-27,202.5,202.5,191.25,192.5,192.5,1130
1998-08-28,202.5,202.5,190.0,191.25,191.25,830
1998-08-31,191.25,191.25,170.0,170.0,170.0,10740
1998-09-01,182.5,186.25,170.0,185.0,185.0,1740
1998-09-02,185.0,200.0,175.0,192.5,192.5,440
1998-09-03,201.3000030517578,260.0,200.0,226.25,226.25,18730
1998-09-04,230.0,230.0,220.0,222.5,222.5,3840
1998-09-08,220.0,230.0,220.0,226.25,226.25,80
1998-09-09,220.0,220.0,217.5,217.5,217.5,480
1998-09-10,207.5,212.5,202.5,205.0,205.0,680
1998-09-11,202.5,222.5,197.5,222.5,222.5,850
1998-09-14,215.0,218.75,213.75,218.75,218.75,470
1998-09-15,221.3000030517578,236.25,215.0,236.25,236.25,690
1998-09-16,221.3000030517578,230.0,220.0,230.0,230.0,240
1998-09-17,226.25,226.25,220.0,220.0,220.0,410
1998-09-18,215.0,230.0,212.5,217.5,217.5,430
1998-09-21,211.3000030517578,235.0,211.25,235.0,235.0,190
1998-09-22,230.0,240.0,230.0,240.0,240.0,1170
1998-09-23,235.0,248.75,235.0,248.75,248.75,1100
1998-09-24,235.0,248.75,235.0,235.0,235.0,190
1998-09-25,235.0,250.0,235.0,246.25,246.25,3600
1998-09-28,250.0,262.5,249.3800048828125,256.25,256.25,1230
1998-09-29,252.5,260.0,252.5,257.5,257.5,420
1998-09-30,255.0,286.25,252.5,280.0,280.0,10130
1998-10-01,270.0,273.75,263.75,266.25,266.25,8820
1998-10-02,261.29998779296875,277.5,260.0,275.0,275.0,2770
