Date,Open,High,Low,Close,Adj Close,Volume
1995-02-01,4.375,4.46875,4.375,4.40625,3.4338691234588623,326800
1995-02-02,4.4375,4.5,4.40625,4.46875,3.4825782775878906,305200
1995-02-03,4.4375,4.65625,4.4375,4.5625,3.5556371212005615,693200
1995-02-06,4.625,4.625,4.53125,4.5625,3.5556371212005615,281600
1995-02-07,4.59375,4.75,4.53125,4.6875,3.6530542373657227,720800
1995-02-08,4.65625,4.75,4.65625,4.65625,3.628697156906128,552800
1995-02-09,4.65625,4.71875,4.65625,4.671875,3.640875816345215,448400
1995-02-10,4.6875,4.71875,4.65625,4.671875,3.640875816345215,416000
1995-02-13,4.65625,4.71875,4.65625,4.65625,3.628697156906128,222000
1995-02-14,4.65625,4.71875,4.65625,4.71875,3.677405834197998,1010000
1995-02-15,4.71875,4.71875,4.65625,4.71875,3.677405834197998,235200
1995-02-16,4.71875,4.71875,4.5625,4.71875,3.677405834197998,554800
1995-02-17,4.6875,4.71875,4.625,4.65625,3.628697156906128,304800
1995-02-21,4.65625,4.71875,4.65625,4.71875,3.677405834197998,230400
1995-02-22,4.65625,4.71875,4.65625,4.71875,3.677405834197998,202400
1995-02-23,4.75,4.875,4.6875,4.8125,3.750467538833618,713600
1995-02-24,4.8125,4.875,4.8125,4.8125,3.750467538833618,260800
1995-02-27,4.8125,4.875,4.8125,4.875,3.7991747856140137,450400
1995-02-28,4.875,4.875,4.8125,4.875,3.7991747856140137,538000
1995-03-01,4.84375,4.9375,4.84375,4.90625,3.823529005050659,503600
1995-03-02,4.9375,4.9375,4.875,4.9375,3.8478827476501465,277200
1995-03-03,4.875,5.0,4.875,5.0,3.8965892791748047,843600
1995-03-06,4.96875,5.03125,4.96875,5.03125,3.9209415912628174,388400
1995-03-07,4.96875,5.03125,4.9375,4.9375,3.8478827476501465,783600
1995-03-08,4.9375,5.0,4.9375,5.0,3.8965892791748047,658400
1995-03-09,4.96875,5.03125,4.8125,4.90625,3.823529005050659,881600
1995-03-10,4.875,4.90625,4.8125,4.84375,3.77482271194458,627200
1995-03-13,4.84375,4.90625,4.84375,4.90625,3.823529005050659,536000
1995-03-14,4.875,4.9375,4.875,4.9375,3.8478827476501465,306000
1995-03-15,4.875,4.90625,4.875,4.90625,3.823529005050659,397200
