Date,Open,High,Low,Close,Adj Close,Volume
1995-02-01,5.375,5.6875,5.375,5.6875,4.6551713943481445,69400
1995-02-02,5.6875,5.75,5.5,5.75,4.706325531005859,11200
1995-02-03,5.75,5.75,5.5,5.75,4.706325531005859,8600
1995-02-06,5.75,5.75,5.75,5.75,4.706325531005859,8000
1995-02-07,5.5625,5.75,5.5625,5.65625,4.62959098815918,16800
1995-02-08,5.5625,5.8125,5.5625,5.75,4.706325531005859,25200
1995-02-09,5.8125,5.8125,5.625,5.8125,4.757482051849365,33600
1995-02-10,5.6875,5.8125,5.6875,5.8125,4.757482051849365,17200
1995-02-13,5.6875,5.8125,5.6875,5.6875,4.6551713943481445,33800
1995-02-14,5.6875,5.8125,5.6875,5.8125,4.757482051849365,4000
1995-02-15,5.6875,5.8125,5.6875,5.8125,4.757482051849365,4400
1995-02-16,5.6875,5.875,5.6875,5.75,4.706325531005859,18000
1995-02-17,5.75,5.75,5.75,5.75,4.706325531005859,1400
1995-02-21,5.75,5.875,5.75,5.875,4.80863618850708,62600
1995-02-22,5.75,5.875,5.75,5.875,4.80863618850708,17600
1995-02-23,5.875,5.875,5.75,5.75,4.706325531005859,222400
1995-02-24,5.75,5.875,5.75,5.875,4.80863618850708,16400
1995-02-27,5.875,5.875,5.6875,5.6875,4.6551713943481445,9600
1995-02-28,5.875,5.875,5.6875,5.78125,4.731903076171875,5200
1995-03-01,5.6875,5.6875,5.6875,5.6875,4.6551713943481445,800
1995-03-02,5.875,5.875,5.6875,5.6875,4.6551713943481445,8400
1995-03-03,5.875,5.875,5.6875,5.6875,4.6551713943481445,3800
1995-03-06,5.8125,5.8125,5.6875,5.6875,4.6551713943481445,6000
1995-03-07,5.6875,5.8125,5.625,5.6875,4.6551713943481445,29000
1995-03-08,5.625,5.8125,5.625,5.6875,4.6551713943481445,128200
1995-03-09,5.625,5.8125,5.625,5.8125,4.757482051849365,8800
1995-03-10,5.75,5.75,5.625,5.625,4.604013442993164,51000
1995-03-13,5.625,5.625,5.5625,5.625,4.604013442993164,48400
1995-03-14,5.5625,5.5625,5.4375,5.5625,4.552860736846924,61000
1995-03-15,5.4375,5.4375,5.0625,5.3125,4.348236560821533,44200
1995-03-16,5.3125,5.3125,5.125,5.3125,4.348236560821533,39200
1995-03-17,5.25,5.3125,5.25,5.25,4.29708194732666,11600
1995-03-20,5.25,5.3125,5.1875,5.3125,4.348236560821533,17600
1995-03-21,5.1875,5.3125,5.1875,5.3125,4.348236560821533,24600
1995-03-22,5.1875,5.3125,5.1875,5.1875,4.2459235191345215,7600
1995-03-23,5.1875,5.3125,5.1875,5.3125,4.348236560821533,6000
1995-03-24,5.125,5.25,5.0625,5.0625,4.143613338470459,623000
1995-03-27,5.0625,5.125,5.0625,5.0625,4.143613338470459,434200
1995-03-28,5.0625,5.125,5.0625,5.125,4.194769859313965,46000
1995-03-29,5.0625,5.125,5.0625,5.125,4.194769859313965,14400
1995-03-30,5.125,5.1875,5.125,5.125,4.194769859313965,214400
1995-03-31,5.1875,5.1875,5.0625,5.1875,4.2459235191345215,212000
1995-04-03,5.0625,5.1875,5.0625,5.15625,4.2203474044799805,13200
1995-04-04,5.1875,5.1875,5.0625,5.1875,4.2459235191345215,23600
1995-04-05,5.0625,5.1875,5.0625,5.1875,4.2459235191345215,13600
1995-04-06,5.125,5.1875,5.125,5.125,4.194769859313965,12600
1995-04-07,5.1875,5.3125,5.1875,5.25,4.29708194732666,15200
1995-04-10,5.25,5.4375,5.1875,5.1875,4.2459235191345215,15800
1995-04-11,5.1875,5.5625,5.1875,5.5625,4.552860736846924,42400
1995-04-12,5.4375,5.5625,5.375,5.375,4.399392127990723,152400
1995-04-13,5.5625,5.6875,5.375,5.6875,4.6551713943481445,166600
1995-04-17,5.6875,5.75,5.5625,5.75,4.706325531005859,27000
1995-04-18,5.75,5.75,5.625,5.625,4.604013442993164,38800
1995-04-19,5.75,5.75,5.5,5.5,4.501702785491943,111200
1995-04-20,5.5,5.6875,5.5,5.6875,4.6551713943481445,6600
1995-04-21,5.6875,5.6875,5.5625,5.6875,4.6551713943481445,91400
1995-04-24,5.75,5.8125,5.6875,5.6875,4.6551713943481445,6200
1995-04-25,5.6875,5.8125,5.6875,5.8125,4.757482051849365,4400
1995-04-26,5.6875,6.0,5.6875,5.9375,4.859792232513428,37800
1995-04-27,5.8125,6.0,5.8125,5.9375,4.859792232513428,9000
1995-04-28,5.8125,6.0,5.8125,5.9375,4.859792232513428,58800
1995-05-01,5.9375,6.1875,5.9375,6.0,4.910948753356934,42800
1995-05-02,5.9375,6.0,5.9375,5.9375,4.859792232513428,96400
1995-05-03,5.9375,6.0625,5.9375,6.0625,4.96210241317749,63200
1995-05-04,5.9375,6.0625,5.9375,6.0625,4.96210241317749,4600
1995-05-05,5.9375,6.0,5.9375,6.0,4.910948753356934,8200
1995-05-08,6.0625,6.0625,5.9375,5.96875,4.885371208190918,6200
1995-05-09,5.9375,6.0625,5.9375,6.0625,4.96210241317749,15800
1995-05-10,6.0625,6.0625,5.875,6.0625,4.96210241317749,3200
1995-05-11,5.875,6.0625,5.875,6.0625,4.96210241317749,20800
1995-05-12,5.875,6.0,5.875,5.9375,4.859792232513428,17800
1995-05-15,6.0,6.0,5.875,5.875,4.80863618850708,10400
1995-05-16,6.0,6.0,5.875,6.0,4.910948753356934,9200
1995-05-17,5.875,5.9375,5.875,5.9375,4.859792232513428,30400
1995-05-18,6.0,6.0,5.875,5.9375,4.859792232513428,8800
1995-05-19,5.875,6.0,5.875,6.0,4.910948753356934,3600
1995-05-22,5.875,6.0,5.875,5.875,4.80863618850708,151200
1995-05-23,5.875,6.0,5.875,6.0,4.910948753356934,48800
1995-05-24,6.0,6.125,6.0,6.125,5.013260364532471,44000
1995-05-25,6.0,6.125,5.9375,5.9375,4.859792232513428,28000
1995-05-26,6.0625,6.0625,6.0625,6.0625,4.96210241317749,400
1995-05-30,6.0625,6.0625,5.9375,5.9375,4.859792232513428,28800
1995-05-31,5.9375,6.0625,5.9375,6.0625,4.96210241317749,7600
1995-06-01,5.9375,6.25,5.9375,6.0625,4.96210241317749,91200
1995-06-02,6.0625,6.125,6.0625,6.125,5.013260364532471,14400
1995-06-05,6.0625,6.25,6.0625,6.1875,5.06441593170166,27000
1995-06-06,6.0625,6.25,6.0625,6.25,5.11557149887085,5600
1995-06-07,6.0625,6.0625,6.0625,6.0625,4.96210241317749,2600
1995-06-08,6.0625,6.25,6.0625,6.25,5.11557149887085,18800
1995-06-09,6.0625,6.25,6.0625,6.0625,4.96210241317749,5400
1995-06-12,6.0625,6.15625,6.0625,6.125,5.013260364532471,15400
1995-06-13,6.125,6.3125,6.125,6.125,5.013260364532471,49400
1995-06-14,6.125,6.125,6.125,6.125,5.013260364532471,3000
1995-06-15,6.125,6.125,6.125,6.125,5.013260364532471,400
1995-06-16,6.3125,6.375,6.125,6.28125,5.141149520874023,81200
1995-06-19,6.375,6.375,6.1875,6.1875,5.06441593170166,34000
1995-06-20,6.125,6.15625,6.125,6.125,5.013260364532471,26200
1995-06-21,6.125,6.1875,6.125,6.1875,5.06441593170166,20600
1995-06-22,6.1875,6.5,6.1875,6.375,5.217883110046387,63400
1995-06-23,6.5,6.5,6.375,6.375,5.217883110046387,45600
1995-06-26,6.375,6.4375,6.3125,6.3125,5.166728496551514,55400
1995-06-27,6.3125,6.5,6.3125,6.3125,5.166728496551514,6200
1995-06-28,6.3125,6.3125,6.3125,6.3125,5.166728496551514,19800
1995-06-29,6.3125,6.375,6.3125,6.375,5.217883110046387,47200
1995-06-30,6.3125,6.3125,6.3125,6.3125,5.166728496551514,7200
1995-07-03,6.3125,6.375,6.3125,6.375,5.217883110046387,8200
1995-07-05,6.3125,6.625,6.3125,6.546875,5.358560562133789,81000
1995-07-06,6.5,6.6875,6.5,6.625,5.4225053787231445,88600
1995-07-07,6.5,6.5,6.375,6.375,5.217883110046387,20800
1995-07-10,6.375,6.5,6.375,6.5,5.320193767547607,33000
1995-07-11,6.375,6.4375,6.3125,6.3125,5.166728496551514,101600
1995-07-12,6.375,6.375,6.3125,6.3125,5.166728496551514,58200
1995-07-13,6.3125,6.375,6.3125,6.3125,5.166728496551514,17600
1995-07-14,6.3125,6.375,6.3125,6.375,5.217883110046387,41000
1995-07-17,6.3125,6.3125,6.3125,6.3125,5.166728496551514,15200
1995-07-18,6.3125,6.375,6.25,6.3125,5.166728496551514,82800
1995-07-19,6.0,6.125,5.875,6.0,4.910948753356934,59800
1995-07-20,5.875,6.0,5.875,5.9375,4.859792232513428,74000
1995-07-21,5.875,6.0,5.875,6.0,4.910948753356934,20200
1995-07-24,5.875,5.9375,5.875,5.875,4.80863618850708,140600
1995-07-25,5.875,6.0,5.875,5.875,4.80863618850708,22400
1995-07-26,5.875,6.0,5.875,6.0,4.910948753356934,238800
1995-07-27,5.9375,6.0625,5.875,6.0,4.910948753356934,187800
1995-07-28,6.0,6.0625,5.875,5.875,4.80863618850708,16600
1995-07-31,5.875,5.9375,5.875,5.875,4.80863618850708,228000
1995-08-01,5.875,6.125,5.875,6.0,4.910948753356934,455200
1995-08-02,5.9375,5.96875,5.9375,5.9375,4.859792232513428,37600
1995-08-03,6.0625,6.0625,5.875,5.875,4.80863618850708,1800
1995-08-04,6.0,6.125,6.0,6.125,5.013260364532471,9600
1995-08-07,6.0,6.125,6.0,6.0625,4.96210241317749,10400
1995-08-08,6.0625,6.25,6.0625,6.25,5.11557149887085,68000
1995-08-09,6.1875,6.1875,6.1875,6.1875,5.06441593170166,2400
1995-08-10,6.3125,6.375,6.25,6.28125,5.141149520874023,66800
1995-08-11,6.25,6.375,6.25,6.3125,5.166728496551514,3600
1995-08-14,6.375,6.5,6.25,6.4375,5.269038200378418,112200
1995-08-15,6.4375,6.5625,6.3125,6.3125,5.166728496551514,13200
1995-08-16,6.3125,6.375,6.3125,6.375,5.217883110046387,17600
1995-08-17,6.34375,6.34375,6.34375,6.34375,5.192305088043213,600
1995-08-18,6.3125,6.375,6.3125,6.3125,5.166728496551514,65600
1995-08-21,6.3125,6.4375,6.3125,6.4375,5.269038200378418,26200
1995-08-22,6.3125,6.34375,6.3125,6.3125,5.166728496551514,13200
1995-08-23,6.3125,6.3125,6.3125,6.3125,5.166728496551514,3000
1995-08-24,6.3125,6.3125,6.3125,6.3125,5.166728496551514,17200
1995-08-25,6.3125,6.3125,6.3125,6.3125,5.166728496551514,9800
1995-08-28,6.25,6.25,6.125,6.125,5.013260364532471,21400
1995-08-29,6.125,6.25,6.0,6.0,4.910948753356934,88800
1995-08-30,6.0,6.0,6.0,6.0,4.910948753356934,14800
1995-08-31,6.125,6.125,6.0,6.125,5.013260364532471,1000
1995-09-01,6.0,6.0625,6.0,6.0,4.910948753356934,26000
1995-09-05,6.0,6.0,6.0,6.0,4.910948753356934,1600
1995-09-06,6.125,6.125,6.0,6.0,4.910948753356934,11000
1995-09-07,6.0,6.125,6.0,6.0625,4.96210241317749,16200
1995-09-08,6.0,6.125,6.0,6.125,5.013260364532471,25600
1995-09-11,6.125,6.125,6.0,6.0,4.910948753356934,9200
1995-09-12,6.0,6.125,6.0,6.125,5.013260364532471,12800
1995-09-13,6.0,6.1875,5.875,6.0625,4.96210241317749,105200
1995-09-14,6.0625,6.1875,6.0,6.125,5.013260364532471,378000
1995-09-15,6.0,6.125,6.0,6.0625,4.96210241317749,65000
1995-09-18,6.1875,6.1875,6.0,6.0,4.910948753356934,14000
1995-09-19,6.03125,6.125,6.0,6.0,4.910948753356934,91200
1995-09-20,6.0,6.0,6.0,6.0,4.910948753356934,21800
1995-09-21,6.0,6.0,6.0,6.0,4.910948753356934,11400
1995-09-22,6.0,6.0,6.0,6.0,4.910948753356934,1600
1995-09-25,6.0,6.0,6.0,6.0,4.910948753356934,2600
1995-09-26,6.0,6.0,5.9375,5.9375,4.859792232513428,8600
1995-09-27,5.9375,5.9375,5.9375,5.9375,4.859792232513428,7600
1995-09-28,5.9375,6.0625,5.84375,5.875,4.80863618850708,74600
1995-09-29,5.8125,5.875,5.6875,5.875,4.80863618850708,104800
1995-10-02,5.6875,5.75,5.65625,5.65625,4.62959098815918,56000
1995-10-03,5.625,5.75,5.625,5.625,4.604013442993164,10800
1995-10-04,5.625,5.75,5.625,5.75,4.706325531005859,30200
1995-10-05,5.75,5.75,5.5625,5.6875,4.6551713943481445,9800
1995-10-06,5.65625,5.65625,5.65625,5.65625,4.62959098815918,4000
1995-10-09,5.5625,5.75,5.5625,5.75,4.706325531005859,15000
