Date,Open,High,Low,Close,Adj Close,Volume
1995-02-01,20.25,20.25,20.0,20.0,18.102886199951172,17000
1995-02-02,20.0,20.0,20.0,20.0,18.102886199951172,100
1995-02-03,20.0,20.0,20.0,20.0,18.102886199951172,0
1995-02-06,20.5,20.5,20.0,20.0,18.102886199951172,400
1995-02-07,20.5,20.5,20.0,20.375,18.442323684692383,600
1995-02-08,20.0,20.0,19.5,19.765625,17.8907470703125,39800
1995-02-09,19.5,20.25,19.5,20.0,18.102886199951172,2900
1995-02-10,19.5,19.625,19.5,19.5,17.650318145751953,600
1995-02-13,20.25,20.25,19.5,19.625,17.76346206665039,49800
1995-02-14,19.5,19.5,19.5,19.5,17.650318145751953,900
1995-02-15,19.875,19.875,19.5,19.5,17.650318145751953,2300
1995-02-16,19.5,19.625,19.5,19.625,17.76346206665039,1700
1995-02-17,19.5,19.625,19.5,19.625,17.76346206665039,6800
1995-02-21,19.75,19.75,19.5,19.5,17.650318145751953,500
1995-02-22,19.5,20.0,19.5,19.6875,17.820032119750977,8800
1995-02-23,19.5,20.0,19.5,19.75,17.876602172851562,134700
1995-02-24,19.75,20.0,19.6875,20.0,18.102886199951172,27900
1995-02-27,19.5,19.5,19.5,19.5,17.650318145751953,700
1995-02-28,20.0,20.0,19.5,20.0,18.102886199951172,26700
1995-03-01,20.0,20.0,19.5,20.0,18.102886199951172,1200
1995-03-02,20.25,20.25,20.25,20.25,18.32917594909668,100
1995-03-03,20.25,20.25,19.5,19.5,17.650318145751953,200
1995-03-06,19.5,19.5,19.5,19.5,17.650318145751953,0
1995-03-07,19.5,20.25,19.5,20.25,18.32917594909668,400
1995-03-08,19.5,19.5,19.5,19.5,17.650318145751953,3600
1995-03-09,19.5,20.0,19.5,20.0,18.102886199951172,2200
1995-03-10,19.5,19.5,19.5,19.5,17.650318145751953,1000
1995-03-13,20.0,20.0,19.5,19.5,17.650318145751953,400
1995-03-14,19.75,19.75,19.75,19.75,17.876602172851562,10900
1995-03-15,20.0,20.0,19.25,19.40625,17.565465927124023,17000
1995-03-16,19.75,19.75,19.25,19.25,17.42403221130371,1500
