Date,Open,High,Low,Close,Adj Close,Volume
1995-02-01,24.5,24.5,24.25,24.25,3.536109685897827,49400
1995-02-02,24.25,24.375,24.125,24.375,3.554335594177246,320400
1995-02-03,24.375,24.5,24.375,24.5,3.572563409805298,27900
1995-02-06,24.375,24.625,24.375,24.5,3.572563409805298,117200
1995-02-07,24.5,24.5,24.25,24.25,3.536109685897827,17200
1995-02-08,24.375,24.5,24.25,24.5,3.572563409805298,14000
1995-02-09,24.5,24.5,24.375,24.375,3.554335594177246,20400
1995-02-10,24.375,24.375,24.25,24.25,3.536109685897827,27000
1995-02-13,24.25,24.25,24.125,24.125,3.5178821086883545,15200
1995-02-14,24.25,24.25,23.875,24.0,3.4996535778045654,31100
1995-02-15,23.875,24.125,23.875,24.0,3.4996535778045654,37500
1995-02-16,24.125,24.125,23.625,24.0,3.4996535778045654,107800
1995-02-17,23.875,24.25,23.875,24.25,3.536109685897827,22400
1995-02-21,24.25,24.25,24.0,24.125,3.5178821086883545,34100
1995-02-22,24.125,24.125,23.875,24.0,3.4996535778045654,17600
1995-02-23,24.0,24.0,23.875,24.0,3.4996535778045654,28500
1995-02-24,24.0,24.0,23.875,24.0,3.4996535778045654,21600
1995-02-27,23.625,24.125,23.625,24.0,3.4996535778045654,17800
1995-02-28,24.0,24.25,23.75,24.125,3.5178821086883545,32300
1995-03-01,24.25,24.25,24.125,24.25,3.536109685897827,12000
1995-03-02,24.125,24.25,24.0,24.25,3.536109685897827,13800
1995-03-03,24.25,24.25,24.125,24.125,3.5178821086883545,8200
1995-03-06,24.125,24.125,23.875,23.875,3.48142671585083,19200
1995-03-07,23.875,24.0,23.5,23.5,3.4267451763153076,23900
1995-03-08,23.625,23.875,23.625,23.75,3.463198661804199,8200
1995-03-09,23.875,24.0,23.75,24.0,3.4996535778045654,14700
1995-03-10,24.0,24.0,23.875,24.0,3.4996535778045654,13400
1995-03-13,23.875,24.0,23.875,24.0,3.4996535778045654,12900
1995-03-14,23.75,24.0,23.75,23.75,3.463198661804199,21900
1995-03-15,23.625,24.0,23.625,24.0,3.4996535778045654,25500
1995-03-16,23.875,24.0,23.75,23.875,3.48142671585083,45300
1995-03-17,24.0,24.0,23.875,23.875,3.48142671585083,27700
1995-03-20,23.875,24.0,23.875,24.0,3.4996535778045654,9000
1995-03-21,24.0,24.0,23.75,24.0,3.4996535778045654,44300
1995-03-22,24.0,24.0,23.875,24.0,3.4996535778045654,7500
1995-03-23,24.0,24.0,23.875,24.0,3.4996535778045654,16500
1995-03-24,23.875,24.0,23.875,24.0,3.4996535778045654,15600
1995-03-27,23.875,24.0,23.875,23.875,3.48142671585083,19600
1995-03-28,24.0,24.125,23.75,23.875,3.48142671585083,33400
1995-03-29,24.0,24.0,23.75,24.0,3.4996535778045654,23800
1995-03-30,23.875,23.875,23.75,23.875,3.48142671585083,28000
1995-03-31,24.0,24.0,23.5,23.75,3.463198661804199,56900
1995-04-03,23.75,24.125,23.75,24.125,3.5178821086883545,28900
1995-04-04,24.0,24.25,24.0,24.125,3.5178821086883545,19000
1995-04-05,24.125,24.25,24.125,24.125,3.5178821086883545,14300
1995-04-06,24.25,24.375,24.25,24.375,3.554335594177246,19500
1995-04-07,24.375,24.375,24.125,24.25,3.536109685897827,11200
1995-04-10,24.375,24.5,24.25,24.5,3.572563409805298,16600
1995-04-11,24.375,24.5,24.375,24.375,3.554335594177246,12500
1995-04-12,24.375,24.5,24.375,24.375,3.554335594177246,13900
1995-04-13,24.375,24.5,24.25,24.25,3.536109685897827,20400
1995-04-17,24.125,24.25,24.0,24.125,3.5178821086883545,37300
1995-04-18,24.0,24.25,24.0,24.0,3.4996535778045654,18500
1995-04-19,24.0,24.125,23.875,23.875,3.48142671585083,31900
1995-04-20,24.0,24.0,23.875,24.0,3.4996535778045654,12600
1995-04-21,24.0,24.125,23.875,24.125,3.5178821086883545,22400
1995-04-24,24.0,24.125,24.0,24.125,3.5178821086883545,18700
1995-04-25,24.0,24.125,24.0,24.125,3.5178821086883545,32500
1995-04-26,23.625,24.0,23.625,23.875,3.5687036514282227,31300
1995-04-27,23.875,24.0,23.875,24.0,3.5873873233795166,20300
1995-04-28,24.0,24.0,23.75,23.875,3.5687036514282227,23800
1995-05-01,23.875,24.0,23.75,23.875,3.5687036514282227,357100
1995-05-02,24.0,24.0,23.875,23.875,3.5687036514282227,27900
1995-05-03,24.0,24.125,23.875,24.0,3.5873873233795166,44500
1995-05-04,24.125,24.125,24.0,24.125,3.6060705184936523,12100
1995-05-05,24.25,24.375,24.125,24.25,3.624756097793579,29900
1995-05-08,24.25,24.875,24.125,24.75,3.6994922161102295,33100
1995-05-09,24.75,25.375,24.75,25.25,3.7742300033569336,43200
1995-05-10,25.375,26.0,25.0,25.125,3.7555482387542725,44800
1995-05-11,25.0,25.25,25.0,25.125,3.7555482387542725,41900
1995-05-12,25.0,25.0,24.25,24.25,3.624756097793579,30700
1995-05-15,24.375,24.5,24.0,24.0,3.5873873233795166,69100
1995-05-16,24.0,24.125,23.625,23.75,3.550015926361084,46400
1995-05-17,23.75,24.5,23.5,24.25,3.624756097793579,32400
1995-05-18,24.25,24.625,24.25,24.5,3.662123441696167,20000
1995-05-19,24.5,25.0,24.5,24.75,3.6994922161102295,25800
1995-05-22,24.75,24.875,24.625,24.875,3.7181761264801025,14000
1995-05-23,24.875,25.0,24.625,24.75,3.6994922161102295,24000
1995-05-24,24.625,25.0,24.375,24.75,3.6994922161102295,59900
1995-05-25,24.75,25.375,24.75,25.25,3.7742300033569336,19300
1995-05-26,25.125,25.375,25.125,25.375,3.7929139137268066,17800
1995-05-30,25.125,25.375,25.125,25.125,3.7555482387542725,17500
1995-05-31,25.375,25.5,25.125,25.5,3.8115994930267334,21100
1995-06-01,25.375,26.0,25.0,25.125,3.7555482387542725,63900
1995-06-02,25.375,26.125,25.375,26.125,3.9050183296203613,41100
1995-06-05,26.0,26.625,26.0,26.5,3.961073160171509,22000
1995-06-06,26.5,26.625,26.375,26.5,3.961073160171509,41200
1995-06-07,26.625,26.625,25.75,25.75,3.848968029022217,61500
1995-06-08,26.0,26.375,25.875,26.25,3.9237053394317627,20700
1995-06-09,26.125,26.375,26.125,26.25,3.9237053394317627,15200
1995-06-12,26.25,26.375,26.125,26.25,3.9237053394317627,102300
1995-06-13,26.125,26.25,25.875,26.0,3.886333703994751,66700
1995-06-14,25.875,25.875,25.625,25.625,3.8302805423736572,31200
1995-06-15,25.5,25.75,25.5,25.5,3.8115994930267334,24600
1995-06-16,25.625,26.0,25.5,26.0,3.886333703994751,114000
1995-06-19,25.875,26.125,25.875,26.0,3.886333703994751,24800
1995-06-20,25.875,26.0,25.625,25.875,3.867652416229248,17300
1995-06-21,25.875,25.875,25.125,25.25,3.7742300033569336,38600
1995-06-22,25.375,25.375,25.0,25.125,3.7555482387542725,26600
1995-06-23,25.125,25.25,25.0,25.125,3.7555482387542725,12300
1995-06-26,25.25,25.25,25.0,25.0,3.7368624210357666,27600
1995-06-27,25.0,25.125,24.875,25.0,3.7368624210357666,25400
1995-06-28,25.0,25.875,25.0,25.125,3.7555482387542725,21500
1995-06-29,25.0,25.25,25.0,25.25,3.7742300033569336,26500
1995-06-30,25.25,25.375,25.125,25.375,3.7929139137268066,20200
1995-07-03,25.25,25.5,25.25,25.375,3.7929139137268066,6400
1995-07-05,25.5,25.625,25.375,25.5,3.8115994930267334,24300
1995-07-06,25.5,25.625,25.375,25.5,3.8115994930267334,44900
1995-07-07,25.375,25.75,25.375,25.75,3.848968029022217,21700
1995-07-10,25.625,25.875,25.5,25.875,3.867652416229248,27500
1995-07-11,26.0,26.25,25.875,26.125,3.9050183296203613,23400
1995-07-12,26.125,26.125,26.0,26.125,3.9050183296203613,15900
1995-07-13,26.0,26.125,26.0,26.0,3.886333703994751,29400
1995-07-14,25.875,26.0,25.625,25.625,3.8302805423736572,30400
1995-07-17,25.625,26.0,25.625,25.875,3.867652416229248,57100
1995-07-18,26.0,26.0,25.75,25.875,3.867652416229248,35000
1995-07-19,25.625,26.0,25.625,25.75,3.848968029022217,56100
1995-07-20,25.625,25.75,25.5,25.75,3.848968029022217,50200
1995-07-21,25.875,26.0,25.75,26.0,3.886333703994751,31800
1995-07-24,25.75,26.25,25.625,26.125,3.9050183296203613,20800
1995-07-25,26.25,26.25,25.75,26.25,3.9237053394317627,19500
1995-07-26,26.125,26.5,26.0,26.375,3.942387580871582,58600
1995-07-27,26.5,26.75,26.375,26.625,3.97975754737854,29300
1995-07-28,26.5,26.625,26.5,26.625,3.97975754737854,71900
1995-07-31,26.125,26.25,25.875,26.0,3.9744064807891846,12500
1995-08-01,26.0,26.0,25.875,25.875,3.955298900604248,18100
1995-08-02,25.875,25.875,25.625,25.625,3.917083978652954,16300
1995-08-03,25.75,25.875,25.5,25.625,3.917083978652954,20200
1995-08-04,25.625,25.75,25.625,25.75,3.9361913204193115,47200
1995-08-07,25.625,25.875,25.625,25.75,3.9361913204193115,7600
1995-08-08,25.875,25.875,25.625,25.75,3.9361913204193115,13800
1995-08-09,25.75,25.875,25.5,25.5,3.897977352142334,49600
1995-08-10,25.5,25.625,25.5,25.5,3.897977352142334,31500
1995-08-11,25.5,25.625,25.125,25.125,3.8406543731689453,12300
1995-08-14,25.125,25.25,25.0,25.0,3.8215444087982178,25400
1995-08-15,25.125,25.25,25.0,25.25,3.8597605228424072,16300
1995-08-16,25.25,25.5,25.125,25.5,3.897977352142334,104300
1995-08-17,25.75,25.75,25.625,25.75,3.9361913204193115,25600
1995-08-18,25.75,25.75,25.125,25.125,3.8406543731689453,68600
1995-08-21,25.25,25.25,25.0,25.0,3.8215444087982178,23300
1995-08-22,25.125,25.375,25.125,25.25,3.8597605228424072,34500
1995-08-23,25.5,25.75,25.5,25.625,3.917083978652954,19300
1995-08-24,25.5,25.625,25.375,25.5,3.897977352142334,11700
1995-08-25,25.375,25.5,25.25,25.25,3.8597605228424072,13200
1995-08-28,25.25,25.5,25.0,25.125,3.8406543731689453,24500
1995-08-29,25.375,25.5,25.125,25.375,3.878868341445923,13800
1995-08-30,25.375,25.75,25.25,25.625,3.917083978652954,9100
1995-08-31,25.75,25.75,25.5,25.75,3.9361913204193115,9900
1995-09-01,25.875,25.875,25.625,25.625,3.917083978652954,13100
1995-09-05,25.75,25.875,25.5,25.75,3.9361913204193115,20800
