Date,Open,High,Low,Close,Adj Close,Volume
1995-02-01,6.328125,6.328125,6.328125,6.328125,3.8122472763061523,100
1995-02-02,6.25,6.421875,6.25,6.421875,3.868725299835205,2100
1995-02-03,6.5,6.625,6.5,6.625,3.9910945892333984,3600
1995-02-06,6.625,6.625,6.625,6.625,3.9910945892333984,0
1995-02-07,6.75,6.75,6.5,6.5,3.938382148742676,2600
1995-02-08,6.25,6.515625,6.25,6.25,3.7869057655334473,400
1995-02-09,6.75,6.75,6.703125,6.75,4.089857578277588,1000
1995-02-10,6.25,6.46875,6.25,6.25,3.7869057655334473,2200
1995-02-13,6.25,6.4375,6.25,6.25,3.7869057655334473,600
1995-02-14,6.25,6.25,6.25,6.25,3.7869057655334473,0
1995-02-15,6.25,6.4375,6.25,6.375,3.862643003463745,6200
1995-02-16,6.375,6.375,6.375,6.375,3.862643003463745,0
1995-02-17,6.25,6.25,6.25,6.25,3.7869057655334473,2800
1995-02-21,6.25,6.25,6.25,6.25,3.7869057655334473,0
1995-02-22,6.375,6.375,6.375,6.375,3.862643003463745,2000
1995-02-23,6.375,6.796875,6.375,6.796875,4.118260860443115,800
1995-02-24,6.375,6.375,6.375,6.375,3.862643003463745,400
1995-02-27,6.5,6.71875,6.5,6.625,4.014120578765869,11700
1995-02-28,6.5,6.875,6.5,6.875,4.165593147277832,1400
1995-03-01,6.5,6.703125,6.5,6.609375,4.004651069641113,11800
1995-03-02,6.609375,6.609375,6.609375,6.609375,4.004651069641113,0
1995-03-03,6.609375,6.609375,6.609375,6.609375,4.004651069641113,0
1995-03-06,6.609375,6.609375,6.609375,6.609375,4.004651069641113,0
1995-03-07,6.875,6.875,6.5,6.5,3.938382148742676,2400
1995-03-08,6.578125,6.578125,6.40625,6.40625,3.8815786838531494,7900
1995-03-09,6.75,6.75,6.546875,6.75,4.089857578277588,3800
1995-03-10,6.375,6.375,6.375,6.375,3.862643003463745,800
1995-03-13,6.375,6.375,6.375,6.375,3.862643003463745,0
1995-03-14,6.25,6.25,6.25,6.25,3.7869057655334473,400
1995-03-15,6.75,6.75,6.5625,6.75,4.089857578277588,400
1995-03-16,6.75,6.75,6.75,6.75,4.089857578277588,0
1995-03-17,6.75,6.75,6.75,6.75,4.089857578277588,0
1995-03-20,6.25,6.546875,6.25,6.546875,3.966783046722412,5500
1995-03-21,6.5,6.75,6.5,6.75,4.089857578277588,4400
1995-03-22,6.5,6.5,6.5,6.5,3.938382148742676,200
1995-03-23,6.5,6.75,6.5,6.5,3.938382148742676,600
1995-03-24,6.625,6.875,6.625,6.625,4.014120578765869,1500
1995-03-27,6.625,6.75,6.625,6.625,4.014120578765869,400
1995-03-28,6.875,6.875,6.6875,6.6875,4.0519866943359375,1100
1995-03-29,6.6875,6.6875,6.6875,6.6875,4.0519866943359375,0
1995-03-30,6.6875,6.6875,6.6875,6.6875,4.0519866943359375,0
1995-03-31,6.625,6.625,6.625,6.625,4.014120578765869,300
1995-04-03,6.625,6.625,6.625,6.625,4.014120578765869,100
1995-04-04,6.75,7.0,6.75,6.75,4.089857578277588,1400
1995-04-05,7.1875,7.1875,6.953125,6.953125,4.212933540344238,4000
1995-04-06,7.0,7.09375,7.0,7.09375,4.298137664794922,3800
1995-04-07,7.1875,7.1875,7.03125,7.1875,4.354939937591553,17000
1995-04-10,7.1875,7.1875,7.1875,7.1875,4.354939937591553,0
1995-04-11,7.1875,7.1875,7.1875,7.1875,4.354939937591553,15000
1995-04-12,7.015625,7.1875,7.015625,7.1875,4.354939937591553,3000
1995-04-13,7.25,7.25,7.25,7.25,4.392811298370361,2000
1995-04-17,7.0,7.0,7.0,7.0,4.241334915161133,200
1995-04-18,7.0,7.0,7.0,7.0,4.241334915161133,0
1995-04-19,7.0,7.0,7.0,7.0,4.241334915161133,0
1995-04-20,7.0,7.0,7.0,7.0,4.241334915161133,0
1995-04-21,7.0,7.0,7.0,7.0,4.241334915161133,0
1995-04-24,7.0,7.0,7.0,7.0,4.241334915161133,0
1995-04-25,7.0,7.0,7.0,7.0,4.241334915161133,0
1995-04-26,7.0,7.0,7.0,7.0,4.241334915161133,0
1995-04-27,7.4375,7.4375,7.4375,7.4375,4.506417274475098,300
1995-04-28,7.09375,7.1875,7.09375,7.09375,4.298137664794922,2000
1995-05-01,7.0,7.1875,7.0,7.0,4.241334915161133,1600
1995-05-02,7.0,7.0,7.0,7.0,4.241334915161133,0
1995-05-03,7.0,7.0,7.0,7.0,4.241334915161133,0
1995-05-04,7.0,7.0,7.0,7.0,4.241334915161133,0
1995-05-05,7.0,7.0,7.0,7.0,4.241334915161133,300
1995-05-08,7.0,7.5,7.0,7.5,4.544284343719482,700
1995-05-09,7.4375,7.5,7.4375,7.5,4.544284343719482,4900
1995-05-10,7.5,7.5,7.5,7.5,4.544284343719482,0
1995-05-11,7.328125,7.328125,7.328125,7.328125,4.440145969390869,300
1995-05-12,7.328125,7.328125,7.328125,7.328125,4.440145969390869,0
1995-05-15,7.5,7.5,7.0,7.0,4.241334915161133,3000
1995-05-16,7.125,7.125,7.125,7.125,4.317071437835693,600
1995-05-17,7.453125,7.5,7.453125,7.5,4.544284343719482,2500
1995-05-18,7.75,7.75,7.75,7.75,4.695760726928711,500
