Date,Open,High,Low,Close,Adj Close,Volume
1995-02-01,13.5,13.5,13.5,13.5,13.5,325
1995-02-02,13.5,13.5,13.5,13.5,13.5,2750
1995-02-03,13.5,13.5,13.5,13.5,13.5,0
1995-02-06,14.0,14.0,14.0,14.0,14.0,5950
1995-02-07,14.0,14.0,14.0,14.0,14.0,0
1995-02-08,14.0,14.0,14.0,14.0,14.0,0
1995-02-09,14.0,14.0,14.0,14.0,14.0,0
1995-02-10,14.0,14.0,14.0,14.0,14.0,0
1995-02-13,14.0,14.0,14.0,14.0,14.0,0
1995-02-14,14.0,14.0,14.0,14.0,14.0,0
1995-02-15,14.0,14.0,14.0,14.0,14.0,0
1995-02-16,14.0,14.0,14.0,14.0,14.0,0
1995-02-17,14.0,14.0,14.0,14.0,14.0,0
1995-02-21,14.0,14.0,14.0,14.0,14.0,0
1995-02-22,14.0,14.0,14.0,14.0,14.0,0
1995-02-23,14.0,14.0,14.0,14.0,14.0,0
1995-02-24,14.0,14.0,14.0,14.0,14.0,0
1995-02-27,14.0,14.0,14.0,14.0,14.0,0
1995-02-28,14.0,14.0,14.0,14.0,14.0,0
1995-03-01,14.0,14.0,14.0,14.0,14.0,0
1995-03-02,14.0,14.0,14.0,14.0,14.0,0
1995-03-03,14.0,14.0,14.0,14.0,14.0,0
1995-03-06,14.0,14.0,14.0,14.0,14.0,0
1995-03-07,14.0,14.0,14.0,14.0,14.0,0
1995-03-08,14.0,14.0,14.0,14.0,14.0,0
1995-03-09,14.0,14.0,14.0,14.0,14.0,0
1995-03-10,14.0,14.0,14.0,14.0,14.0,0
1995-03-13,9.751999855041504,9.751999855041504,9.751999855041504,9.751999855041504,9.751999855041504,2175
1995-03-14,9.751999855041504,9.751999855041504,9.751999855041504,9.751999855041504,9.751999855041504,0
1995-03-15,9.751999855041504,9.751999855041504,9.751999855041504,9.751999855041504,9.751999855041504,0
1995-03-16,8.5,8.5,8.5,8.5,8.5,150
1995-03-17,8.5,8.5,8.5,8.5,8.5,0
1995-03-20,8.5,8.5,8.5,8.5,8.5,0
1995-03-21,8.5,8.5,8.5,8.5,8.5,0
1995-03-22,8.5,8.5,8.5,8.5,8.5,0
1995-03-23,8.5,8.5,8.5,8.5,8.5,0
1995-03-24,8.5,8.5,8.5,8.5,8.5,0
1995-03-27,8.5,8.5,8.5,8.5,8.5,0
1995-03-28,8.5,8.5,8.5,8.5,8.5,0
1995-03-29,8.5,8.5,8.5,8.5,8.5,0
1995-03-30,8.5,8.5,8.5,8.5,8.5,0
1995-03-31,8.5,8.5,8.5,8.5,8.5,0
1995-04-03,9.0,9.0,9.0,9.0,9.0,500
1995-04-04,9.0,9.0,9.0,9.0,9.0,0
1995-04-05,9.0,9.0,9.0,9.0,9.0,0
1995-04-06,9.0,9.0,9.0,9.0,9.0,0
1995-04-07,9.0,9.0,9.0,9.0,9.0,0
1995-04-10,9.0,9.0,9.0,9.0,9.0,0
1995-04-11,9.0,9.0,9.0,9.0,9.0,0
1995-04-12,9.0,9.0,9.0,9.0,9.0,0
1995-04-13,9.0,9.0,9.0,9.0,9.0,0
1995-04-17,9.0,9.0,9.0,9.0,9.0,0
1995-04-18,9.0,9.0,9.0,9.0,9.0,0
1995-04-19,9.0,9.0,9.0,9.0,9.0,0
1995-04-20,9.0,9.0,9.0,9.0,9.0,0
1995-04-21,9.0,9.0,9.0,9.0,9.0,0
1995-04-24,9.0,9.0,9.0,9.0,9.0,0
1995-04-25,9.0,9.0,9.0,9.0,9.0,0
1995-04-26,9.0,9.0,9.0,9.0,9.0,0
1995-04-27,12.5,12.5,12.5,12.5,12.5,250
1995-04-28,12.5,12.5,12.5,12.5,12.5,0
1995-05-01,12.5,12.5,12.5,12.5,12.5,0
1995-05-02,12.5,12.5,12.5,12.5,12.5,0
1995-05-03,12.5,12.5,12.5,12.5,12.5,0
1995-05-04,12.5,12.5,12.5,12.5,12.5,0
1995-05-05,12.5,12.5,12.5,12.5,12.5,0
1995-05-08,12.5,12.5,12.5,12.5,12.5,0
1995-05-09,12.5,12.5,12.5,12.5,12.5,0
1995-05-10,12.5,12.5,12.5,12.5,12.5,0
1995-05-11,12.5,12.5,12.5,12.5,12.5,0
1995-05-12,12.5,12.5,12.5,12.5,12.5,0
1995-05-15,12.5,12.5,12.5,12.5,12.5,0
1995-05-16,12.5,12.5,12.5,12.5,12.5,0
1995-05-17,12.5,12.5,12.5,12.5,12.5,0
1995-05-18,12.5,12.5,12.5,12.5,12.5,0
1995-05-19,12.5,12.5,12.5,12.5,12.5,0
1995-05-22,12.5,12.5,12.5,12.5,12.5,0
1995-05-23,12.5,12.5,12.5,12.5,12.5,0
1995-05-24,12.5,12.5,12.5,12.5,12.5,0
1995-05-25,12.5,12.5,12.5,12.5,12.5,0
1995-05-26,12.5,12.5,12.5,12.5,12.5,0
1995-05-30,11.5,11.5,11.5,11.5,11.5,250
1995-05-31,11.5,11.5,11.5,11.5,11.5,0
1995-06-01,11.5,11.5,11.5,11.5,11.5,0
1995-06-02,11.5,11.5,11.5,11.5,11.5,0
1995-06-05,11.5,11.5,11.5,11.5,11.5,0
1995-06-06,11.5,11.5,11.5,11.5,11.5,0
1995-06-07,11.5,11.5,11.5,11.5,11.5,0
1995-06-08,11.5,11.5,11.5,11.5,11.5,0
1995-06-09,11.5,11.5,11.5,11.5,11.5,0
1995-06-12,11.5,11.5,11.5,11.5,11.5,0
1995-06-13,11.37600040435791,11.37600040435791,11.37600040435791,11.37600040435791,11.37600040435791,750
1995-06-14,11.37600040435791,11.37600040435791,11.37600040435791,11.37600040435791,11.37600040435791,0
1995-06-15,11.37600040435791,11.37600040435791,11.37600040435791,11.37600040435791,11.37600040435791,0
1995-06-16,11.37600040435791,11.37600040435791,11.37600040435791,11.37600040435791,11.37600040435791,0
1995-06-19,11.37600040435791,11.37600040435791,11.37600040435791,11.37600040435791,11.37600040435791,0
1995-06-20,11.37600040435791,11.37600040435791,11.37600040435791,11.37600040435791,11.37600040435791,0
1995-06-21,11.37600040435791,11.37600040435791,11.37600040435791,11.37600040435791,11.37600040435791,0
1995-06-22,11.37600040435791,11.37600040435791,11.37600040435791,11.37600040435791,11.37600040435791,0
1995-06-23,10.0,10.0,10.0,10.0,10.0,1250
1995-06-26,10.0,10.0,10.0,10.0,10.0,0
1995-06-27,10.0,10.0,10.0,10.0,10.0,0
1995-06-28,10.0,10.0,10.0,10.0,10.0,0
1995-06-29,10.0,10.0,10.0,10.0,10.0,0
1995-06-30,10.0,10.0,10.0,10.0,10.0,0
1995-07-03,10.0,10.0,10.0,10.0,10.0,0
1995-07-05,10.0,10.0,10.0,10.0,10.0,0
1995-07-06,10.0,10.0,10.0,10.0,10.0,0
1995-07-07,10.0,10.0,10.0,10.0,10.0,0
1995-07-10,10.0,10.0,10.0,10.0,10.0,0
1995-07-11,10.0,10.0,10.0,10.0,10.0,0
1995-07-12,10.0,10.0,10.0,10.0,10.0,0
1995-07-13,10.0,10.0,10.0,10.0,10.0,0
1995-07-14,10.0,10.0,10.0,10.0,10.0,0
1995-07-17,10.0,10.0,10.0,10.0,10.0,0
1995-07-18,10.0,10.0,10.0,10.0,10.0,0
1995-07-19,10.0,10.0,10.0,10.0,10.0,0
1995-07-20,10.0,10.0,10.0,10.0,10.0,0
1995-07-21,10.0,10.0,10.0,10.0,10.0,0
1995-07-24,10.0,10.0,10.0,10.0,10.0,0
1995-07-25,10.0,10.0,10.0,10.0,10.0,0
1995-07-26,10.0,10.0,10.0,10.0,10.0,0
1995-07-27,10.0,10.0,10.0,10.0,10.0,0
1995-07-28,10.0,10.0,10.0,10.0,10.0,0
1995-07-31,10.0,10.0,10.0,10.0,10.0,1075
1995-08-01,10.0,10.0,10.0,10.0,10.0,0
1995-08-02,10.0,10.0,10.0,10.0,10.0,0
1995-08-03,10.0,10.0,10.0,10.0,10.0,0
1995-08-04,10.0,10.0,10.0,10.0,10.0,0
1995-08-07,10.0,10.0,10.0,10.0,10.0,0
1995-08-08,10.0,10.0,10.0,10.0,10.0,0
1995-08-09,10.0,10.0,10.0,10.0,10.0,0
1995-08-10,10.0,10.0,10.0,10.0,10.0,0
1995-08-11,10.0,10.0,10.0,10.0,10.0,0
1995-08-14,10.0,10.0,10.0,10.0,10.0,0
1995-08-15,10.0,10.0,10.0,10.0,10.0,0
1995-08-16,10.0,10.0,10.0,10.0,10.0,0
1995-08-17,10.0,10.0,10.0,10.0,10.0,0
1995-08-18,10.0,10.0,10.0,10.0,10.0,0
1995-08-21,10.0,10.0,10.0,10.0,10.0,0
1995-08-22,10.0,10.0,10.0,10.0,10.0,0
1995-08-23,10.5,10.5,10.5,10.5,10.5,750
1995-08-24,10.5,10.5,10.5,10.5,10.5,0
1995-08-25,10.5,10.5,10.5,10.5,10.5,0
1995-08-28,10.5,10.5,10.5,10.5,10.5,0
1995-08-29,10.5,10.5,10.5,10.5,10.5,850
1995-08-30,10.5,10.5,10.5,10.5,10.5,0
1995-08-31,10.5,10.5,10.5,10.5,10.5,0
1995-09-01,10.5,10.5,10.5,10.5,10.5,0
1995-09-05,10.5,10.5,10.5,10.5,10.5,0
1995-09-06,10.0,10.0,10.0,10.0,10.0,50
1995-09-07,10.0,10.0,10.0,10.0,10.0,0
1995-09-08,10.0,10.0,10.0,10.0,10.0,0
1995-09-11,10.0,10.0,10.0,10.0,10.0,300
1995-09-12,10.0,10.0,10.0,10.0,10.0,0
1995-09-13,10.0,10.0,10.0,10.0,10.0,0
1995-09-14,10.0,10.0,10.0,10.0,10.0,0
1995-09-15,10.0,10.0,10.0,10.0,10.0,0
1995-09-18,10.0,10.0,10.0,10.0,10.0,0
1995-09-19,10.0,10.0,10.0,10.0,10.0,0
1995-09-20,10.0,10.0,10.0,10.0,10.0,0
1995-09-21,10.0,10.0,10.0,10.0,10.0,0
1995-09-22,10.0,10.0,10.0,10.0,10.0,0
1995-09-25,10.0,10.0,10.0,10.0,10.0,0
1995-09-26,10.0,10.0,10.0,10.0,10.0,0
1995-09-27,10.0,10.0,10.0,10.0,10.0,0
1995-09-28,10.0,10.0,10.0,10.0,10.0,0
1995-09-29,10.0,10.0,10.0,10.0,10.0,0
1995-10-02,10.0,10.0,10.0,10.0,10.0,0
1995-10-03,10.0,10.0,10.0,10.0,10.0,0
1995-10-04,10.0,10.0,10.0,10.0,10.0,0
1995-10-05,10.0,10.0,10.0,10.0,10.0,0
1995-10-06,10.0,10.0,10.0,10.0,10.0,0
1995-10-09,10.0,10.0,10.0,10.0,10.0,0
1995-10-10,10.0,10.0,10.0,10.0,10.0,0
1995-10-11,10.0,10.0,10.0,10.0,10.0,0
1995-10-12,10.0,10.0,10.0,10.0,10.0,0
1995-10-13,10.0,10.0,10.0,10.0,10.0,0
1995-10-16,10.0,10.0,10.0,10.0,10.0,0
1995-10-17,10.0,10.0,10.0,10.0,10.0,0
1995-10-18,10.0,10.0,10.0,10.0,10.0,0
1995-10-19,10.0,10.0,10.0,10.0,10.0,0
1995-10-20,10.0,10.0,10.0,10.0,10.0,0
1995-10-23,10.0,10.0,10.0,10.0,10.0,0
1995-10-24,10.0,10.0,10.0,10.0,10.0,0
1995-10-25,10.0,10.0,10.0,10.0,10.0,0
1995-10-26,10.0,10.0,10.0,10.0,10.0,0
1995-10-27,10.0,10.0,10.0,10.0,10.0,0
1995-10-30,10.0,10.0,10.0,10.0,10.0,0
1995-10-31,10.0,10.0,10.0,10.0,10.0,0
1995-11-01,10.5,10.5,10.5,10.5,10.5,625
1995-11-02,10.5,10.5,10.5,10.5,10.5,0
1995-11-03,10.5,10.5,10.5,10.5,10.5,0
1995-11-06,10.5,10.5,10.5,10.5,10.5,550
1995-11-07,10.5,10.5,10.5,10.5,10.5,0
1995-11-08,10.5,10.5,10.5,10.5,10.5,0
1995-11-09,10.5,10.5,10.5,10.5,10.5,0
1995-11-10,10.5,10.5,10.5,10.5,10.5,0
1995-11-13,10.5,10.5,10.5,10.5,10.5,0
1995-11-14,10.5,10.5,10.5,10.5,10.5,0
1995-11-15,10.5,10.5,10.5,10.5,10.5,0
1995-11-16,10.5,10.5,10.5,10.5,10.5,0
1995-11-17,10.5,10.5,10.5,10.5,10.5,0
1995-11-20,10.5,10.5,10.5,10.5,10.5,0
1995-11-21,10.5,10.5,10.5,10.5,10.5,0
1995-11-22,10.5,10.5,10.5,10.5,10.5,0
1995-11-24,10.5,10.5,10.5,10.5,10.5,0
1995-11-27,10.5,10.5,10.5,10.5,10.5,0
1995-11-28,10.5,10.5,10.5,10.5,10.5,0
1995-11-29,10.5,10.5,10.5,10.5,10.5,0
1995-11-30,12.251999855041504,12.251999855041504,12.251999855041504,12.251999855041504,12.251999855041504,800
1995-12-01,12.251999855041504,12.251999855041504,12.251999855041504,12.251999855041504,12.251999855041504,0
1995-12-04,12.251999855041504,12.251999855041504,12.251999855041504,12.251999855041504,12.251999855041504,0
1995-12-05,12.251999855041504,12.251999855041504,12.251999855041504,12.251999855041504,12.251999855041504,0
1995-12-06,12.251999855041504,12.251999855041504,12.251999855041504,12.251999855041504,12.251999855041504,0
1995-12-07,12.251999855041504,12.251999855041504,12.251999855041504,12.251999855041504,12.251999855041504,0
1995-12-08,12.251999855041504,12.251999855041504,12.251999855041504,12.251999855041504,12.251999855041504,0
1995-12-11,12.251999855041504,12.251999855041504,12.251999855041504,12.251999855041504,12.251999855041504,0
1995-12-12,12.251999855041504,12.251999855041504,12.251999855041504,12.251999855041504,12.251999855041504,0
1995-12-13,12.251999855041504,12.251999855041504,12.251999855041504,12.251999855041504,12.251999855041504,0
1995-12-14,11.251999855041504,11.251999855041504,11.251999855041504,11.251999855041504,11.251999855041504,10675
1995-12-15,11.251999855041504,11.251999855041504,11.251999855041504,11.251999855041504,11.251999855041504,0
1995-12-18,11.251999855041504,11.251999855041504,11.251999855041504,11.251999855041504,11.251999855041504,0
1995-12-19,11.251999855041504,11.251999855041504,11.251999855041504,11.251999855041504,11.251999855041504,0
1995-12-20,11.251999855041504,11.251999855041504,11.251999855041504,11.251999855041504,11.251999855041504,0
1995-12-21,11.251999855041504,11.251999855041504,11.251999855041504,11.251999855041504,11.251999855041504,0
1995-12-22,11.251999855041504,11.251999855041504,11.251999855041504,11.251999855041504,11.251999855041504,0
1995-12-26,11.251999855041504,11.251999855041504,11.251999855041504,11.251999855041504,11.251999855041504,0
1995-12-27,11.251999855041504,11.251999855041504,11.251999855041504,11.251999855041504,11.251999855041504,0
1995-12-28,11.251999855041504,11.251999855041504,11.251999855041504,11.251999855041504,11.251999855041504,0
1995-12-29,11.251999855041504,11.251999855041504,11.251999855041504,11.251999855041504,11.251999855041504,0
1996-01-02,11.251999855041504,11.251999855041504,11.251999855041504,11.251999855041504,11.251999855041504,0
1996-01-03,11.251999855041504,11.251999855041504,11.251999855041504,11.251999855041504,11.251999855041504,0
1996-01-04,11.251999855041504,11.251999855041504,11.251999855041504,11.251999855041504,11.251999855041504,0
1996-01-05,11.251999855041504,11.251999855041504,11.251999855041504,11.251999855041504,11.251999855041504,0
1996-01-08,11.251999855041504,11.251999855041504,11.251999855041504,11.251999855041504,11.251999855041504,0
1996-01-09,11.251999855041504,11.251999855041504,11.251999855041504,11.251999855041504,11.251999855041504,0
1996-01-10,11.251999855041504,11.251999855041504,11.251999855041504,11.251999855041504,11.251999855041504,0
1996-01-11,11.251999855041504,11.251999855041504,11.251999855041504,11.251999855041504,11.251999855041504,0
