Date,Open,High,Low,Close,Adj Close,Volume
1995-02-01,30.375,30.375,29.75,30.25,8.194019317626953,281200
1995-02-02,30.25,30.375,30.25,30.375,8.227879524230957,175800
1995-02-03,30.5,31.625,30.375,31.375,8.543758392333984,475500
1995-02-06,31.25,32.25,31.125,32.0,8.713957786560059,362900
1995-02-07,32.0,32.0,31.75,31.75,8.645874977111816,404400
1995-02-08,31.75,31.875,31.625,31.625,8.61184024810791,297900
1995-02-09,31.625,32.0,31.625,32.0,8.713957786560059,226600
1995-02-10,32.125,32.25,32.0,32.25,8.782033920288086,193400
1995-02-13,32.25,32.375,32.125,32.375,8.816071510314941,188200
1995-02-14,32.375,32.625,32.125,32.625,8.884149551391602,315300
1995-02-15,32.625,33.5,32.25,33.375,9.08837890625,685700
1995-02-16,33.5,34.0,33.25,34.0,9.258569717407227,270900
1995-02-17,33.875,34.25,33.625,34.0,9.258569717407227,409700
1995-02-21,34.0,34.125,33.75,34.0,9.258569717407227,229900
1995-02-22,34.0,34.125,33.5,34.0,9.258569717407227,282400
1995-02-23,34.0,34.0,33.375,33.5,9.122421264648438,438900
1995-02-24,33.5,33.625,33.375,33.625,9.15645980834961,176300
1995-02-27,33.5,33.625,33.125,33.5,9.122421264648438,264700
1995-02-28,33.625,34.375,33.625,34.25,9.32666015625,433000
1995-03-01,34.125,34.375,33.875,34.375,9.360688209533691,328300
1995-03-02,34.375,34.625,34.25,34.625,9.4287748336792,275900
1995-03-03,34.5,34.5,34.0,34.125,9.292609214782715,331800
1995-03-06,34.0,34.125,33.875,34.125,9.292609214782715,186400
1995-03-07,34.25,34.5,34.0,34.25,9.32666015625,242500
1995-03-08,34.25,34.5,33.875,33.875,9.224536895751953,402700
1995-03-09,34.0,34.125,33.375,33.5,9.122421264648438,100500
1995-03-10,33.75,34.75,33.5,34.75,9.462806701660156,170100
1995-03-13,34.75,34.75,34.125,34.375,9.360688209533691,170900
1995-03-14,34.375,34.5,34.25,34.25,9.32666015625,182800
1995-03-15,34.25,34.875,34.25,34.75,9.462806701660156,152000
1995-03-16,34.75,35.125,34.5,34.625,9.4287748336792,166100
1995-03-17,35.0,35.375,34.75,35.25,9.598963737487793,286600
1995-03-20,35.5,35.625,34.875,34.875,9.49685287475586,217000
1995-03-21,34.875,35.875,34.875,35.625,9.701080322265625,263900
1995-03-22,35.625,35.75,35.25,35.5,9.667045593261719,152100
1995-03-23,35.25,35.875,35.0,35.375,9.633002281188965,284600
1995-03-24,35.25,35.5,35.0,35.5,9.667045593261719,153300
1995-03-27,35.5,35.625,35.0,35.25,9.598963737487793,152100
1995-03-28,35.25,35.25,34.375,35.0,9.530884742736816,232600
1995-03-29,34.875,35.375,34.375,34.875,9.49685287475586,421500
1995-03-30,35.125,35.75,35.125,35.375,9.633002281188965,251300
1995-03-31,35.125,35.125,34.0,34.375,9.360688209533691,354100
1995-04-03,34.625,35.0,34.375,35.0,9.530884742736816,178400
1995-04-04,34.75,34.875,34.625,34.75,9.462806701660156,89000
1995-04-05,34.875,34.875,33.875,34.25,9.32666015625,131900
1995-04-06,34.375,34.625,34.25,34.625,9.4287748336792,46800
1995-04-07,34.75,34.875,33.75,34.0,9.258569717407227,305900
1995-04-10,34.0,34.5,33.75,34.375,9.360688209533691,234500
1995-04-11,34.5,34.5,33.875,34.25,9.32666015625,75300
1995-04-12,34.0,34.625,34.0,34.625,9.4287748336792,93300
1995-04-13,34.625,35.0,34.625,35.0,9.530884742736816,212400
1995-04-17,35.0,35.125,34.5,34.75,9.462806701660156,433100
1995-04-18,34.75,34.875,33.375,33.625,9.15645980834961,334000
1995-04-19,33.5,34.125,33.25,34.0,9.258569717407227,234500
1995-04-20,34.0,34.0,33.375,33.375,9.08837890625,178800
1995-04-21,33.75,33.75,33.0,33.125,9.020307540893555,351500
1995-04-24,33.25,33.375,33.0,33.25,9.054343223571777,126800
1995-04-25,33.375,33.5,32.875,33.125,9.020307540893555,212800
1995-04-26,33.125,33.125,32.75,32.75,8.918188095092773,117400
1995-04-27,32.875,34.5,32.625,34.125,9.292609214782715,373400
1995-04-28,34.25,34.25,33.75,34.0,9.258569717407227,118500
1995-05-01,33.875,33.875,32.875,33.0,8.986262321472168,190800
1995-05-02,33.25,34.0,33.125,33.875,9.269478797912598,227100
1995-05-03,34.0,34.5,34.0,34.5,9.440505981445312,223800
1995-05-04,34.75,34.75,34.0,34.375,9.406294822692871,245600
1995-05-05,34.5,34.75,34.125,34.75,9.5089111328125,172600
1995-05-08,34.5,34.5,34.0,34.5,9.477324485778809,184700
1995-05-09,34.625,35.25,34.625,35.125,9.649015426635742,347900
1995-05-10,35.125,35.375,35.0,35.125,9.649015426635742,206000
1995-05-11,35.25,35.25,34.625,34.625,9.511663436889648,127900
1995-05-12,34.75,35.5,34.625,35.5,9.752028465270996,183100
1995-05-15,35.5,35.875,35.375,35.75,9.820706367492676,394200
1995-05-16,35.875,36.25,35.875,36.125,9.923721313476562,233600
1995-05-17,36.125,36.125,35.75,36.125,9.923721313476562,250900
1995-05-18,36.0,36.125,35.625,35.75,9.820706367492676,221500
1995-05-19,35.5,35.875,35.25,35.5,9.752028465270996,216900
1995-05-22,35.5,35.625,35.125,35.125,9.649015426635742,161800
1995-05-23,35.375,36.25,35.125,36.25,9.958057403564453,211300
1995-05-24,36.375,36.5,36.0,36.25,9.958057403564453,164200
1995-05-25,36.125,36.25,35.5,35.875,9.855040550231934,213000
1995-05-26,35.625,35.625,34.625,34.875,9.580342292785645,165500
1995-05-30,34.875,35.0,34.75,35.0,9.614670753479004,137600
1995-05-31,35.0,36.5,34.875,36.5,10.026734352111816,189500
1995-06-01,36.375,36.625,35.875,36.125,9.923721313476562,207900
1995-06-02,35.875,36.25,35.625,36.25,9.958057403564453,121900
1995-06-05,36.25,36.75,36.25,36.625,10.061068534851074,92300
1995-06-06,36.625,37.375,36.625,36.875,10.129749298095703,270100
1995-06-07,36.75,36.75,35.875,36.0,9.889378547668457,169100
1995-06-08,36.0,36.125,35.875,36.0,9.889378547668457,60600
1995-06-09,36.0,36.0,35.25,35.75,9.820706367492676,193700
1995-06-12,35.625,36.625,35.625,36.25,9.958057403564453,163600
1995-06-13,36.375,36.75,36.25,36.5,10.026734352111816,136900
1995-06-14,36.375,36.375,36.0,36.25,9.958057403564453,277300
