Date,Open,High,Low,Close,Adj Close,Volume
1999-10-28,260.625,293.75,260.0,277.5,277.5,1946700
1999-10-29,279.375,280.0,263.75,266.25,266.25,455130
1999-11-01,269.375,271.25,267.5,270.0,270.0,146030
1999-11-02,270.0,291.25,268.125,269.375,269.375,154370
1999-11-03,276.25,297.5,275.0,295.0,295.0,141610
1999-11-04,300.0,305.0,286.25,292.5,292.5,122940
1999-11-05,296.875,298.75,290.0,290.0,290.0,48400
1999-11-08,287.5,287.5,276.25,278.125,278.125,68130
1999-11-09,279.6875,280.0,275.0,276.25,276.25,29160
1999-11-10,257.5,275.0,256.25,273.125,273.125,67440
1999-11-11,275.0,277.5,271.25,275.625,275.625,43700
1999-11-12,272.5,274.375,252.5,265.0,265.0,79740
1999-11-15,265.0,266.25,259.375,263.75,263.75,229430
1999-11-16,265.0,265.625,261.25,263.75,263.75,55190
1999-11-17,262.5,272.5,260.0,271.875,271.875,96400
1999-11-18,275.0,281.25,271.25,280.625,280.625,43360
1999-11-19,280.9375,293.75,280.625,292.5,292.5,40850
1999-11-22,291.875,297.5,291.25,295.0,295.0,80910
1999-11-23,298.125,306.875,296.25,305.625,305.625,63560
1999-11-24,306.25,309.375,303.75,309.375,309.375,58130
1999-11-26,306.25,311.875,306.25,311.25,311.25,9830
1999-11-29,312.5,333.75,311.25,324.375,324.375,82120
1999-11-30,323.125,327.5,316.25,317.5,317.5,127860
1999-12-01,314.6875,328.75,312.5,325.0,325.0,21110
1999-12-02,327.1875,346.25,323.75,342.5,342.5,98590
1999-12-03,342.5,352.5,340.0,348.75,348.75,24670
1999-12-06,349.375,351.25,342.5,345.0,345.0,30050
1999-12-07,348.75,348.75,336.25,340.0,340.0,40230
1999-12-08,341.25,342.5,331.25,335.46875,335.46875,56500
1999-12-09,331.875,341.875,311.25,311.25,311.25,22100
1999-12-10,309.0625,326.25,306.25,326.09375,326.09375,26450
1999-12-13,323.75,327.5,322.5,325.0,325.0,18370
