Date,Open,High,Low,Close,Adj Close,Volume
1995-02-01,23.125,23.125,22.75,22.875,10.483630180358887,10800
1995-02-02,22.875,23.0,22.625,23.0,10.540922164916992,3800
1995-02-03,22.875,22.875,22.625,22.875,10.483630180358887,9400
1995-02-06,22.875,23.25,22.875,23.125,10.598204612731934,8400
1995-02-07,23.0,23.0,22.75,23.0,10.540922164916992,2600
1995-02-08,23.0,23.0,22.25,22.25,10.197196006774902,15600
1995-02-09,22.375,22.75,22.375,22.75,10.485260963439941,2800
1995-02-10,22.875,23.375,22.875,23.375,10.773314476013184,9400
1995-02-13,23.375,23.625,23.375,23.5,10.830924987792969,6400
1995-02-14,23.5,23.75,23.375,23.75,10.946147918701172,10400
1995-02-15,23.75,23.875,23.0,23.375,10.773314476013184,20000
1995-02-16,23.375,23.375,23.0,23.0,10.600488662719727,10600
1995-02-17,23.0,23.25,22.5,23.25,10.71570873260498,16400
1995-02-21,23.25,23.375,22.625,23.0,10.600488662719727,16800
1995-02-22,23.0,23.25,22.875,22.875,10.542868614196777,4200
1995-02-23,22.875,23.0,22.625,22.75,10.485260963439941,4000
1995-02-24,22.75,23.0,22.75,22.875,10.542868614196777,3600
1995-02-27,22.875,23.5,22.625,23.25,10.71570873260498,19400
1995-02-28,23.25,23.5,23.0,23.5,10.830924987792969,20400
1995-03-01,23.25,23.25,22.75,22.875,10.542868614196777,13400
1995-03-02,22.875,23.125,22.75,23.125,10.658093452453613,5000
1995-03-03,23.125,23.5,22.875,23.125,10.658093452453613,11600
1995-03-06,23.125,23.375,22.75,23.25,10.71570873260498,9000
1995-03-07,23.25,23.375,22.75,22.75,10.485260963439941,10000
1995-03-08,22.75,23.0,22.75,22.75,10.485260963439941,3000
1995-03-09,22.875,23.125,22.875,23.125,10.658093452453613,1400
1995-03-10,23.125,23.375,23.0,23.125,10.658093452453613,9400
1995-03-13,23.125,23.5,23.125,23.25,10.71570873260498,15600
1995-03-14,23.25,23.375,22.875,22.875,10.542868614196777,6600
1995-03-15,22.875,22.875,22.375,22.75,10.485260963439941,5400
1995-03-16,22.75,22.75,22.125,22.125,10.197205543518066,18200
1995-03-17,22.125,22.125,21.75,21.75,10.024365425109863,30800
1995-03-20,21.75,21.875,21.375,21.375,9.851536750793457,18400
1995-03-21,21.375,21.375,20.875,21.0,9.678702354431152,25000
1995-03-22,21.0,21.0,20.75,20.75,9.563481330871582,19400
1995-03-23,20.75,20.875,20.75,20.75,9.563481330871582,13800
1995-03-24,20.75,21.125,20.75,21.125,9.73631477355957,26200
1995-03-27,21.125,21.25,20.875,21.25,9.793919563293457,7200
1995-03-28,21.25,21.75,21.0,21.0,9.678702354431152,8600
1995-03-29,21.0,21.75,20.75,21.625,9.966757774353027,12000
1995-03-30,21.75,22.375,21.75,22.375,10.31242561340332,8200
1995-03-31,22.375,22.375,22.125,22.125,10.197205543518066,13800
1995-04-03,22.125,23.0,22.0,23.0,10.600488662719727,18400
1995-04-04,23.0,23.0,22.125,22.125,10.197205543518066,8800
1995-04-05,22.125,22.375,22.0,22.0,10.139591217041016,5200
1995-04-06,22.0,22.0,21.625,21.75,10.024365425109863,23600
1995-04-07,21.75,22.0,21.5,21.875,10.08198070526123,7200
1995-04-10,21.875,22.375,21.75,22.25,10.254815101623535,7000
1995-04-11,22.125,22.125,21.5,21.5,9.909146308898926,14000
1995-04-12,21.5,21.75,21.25,21.75,10.024365425109863,4600
1995-04-13,21.75,21.75,21.125,21.5,9.909146308898926,21000
1995-04-17,21.5,21.875,21.375,21.625,9.966757774353027,16600
1995-04-18,21.625,21.625,21.5,21.625,9.966757774353027,13600
1995-04-19,21.625,21.625,21.25,21.25,9.793919563293457,9200
1995-04-20,21.25,21.375,21.0,21.0,9.678702354431152,13800
1995-04-21,21.0,21.375,20.875,21.375,9.851536750793457,11000
1995-04-24,21.375,21.875,21.375,21.75,10.024365425109863,4800
1995-04-25,21.75,21.875,21.5,21.5,9.909146308898926,3800
1995-04-26,21.5,21.625,21.375,21.375,9.851536750793457,4600
1995-04-27,21.375,21.5,21.25,21.5,9.909146308898926,8000
1995-04-28,21.5,21.5,21.25,21.5,9.909146308898926,7000
1995-05-01,21.5,21.875,21.375,21.5,9.909146308898926,8800
1995-05-02,21.5,21.75,21.375,21.5,9.909146308898926,6800
1995-05-03,21.5,21.5,20.875,21.375,9.851536750793457,10200
1995-05-04,21.375,21.625,21.25,21.5,9.909146308898926,6800
1995-05-05,21.5,22.0,21.0,21.875,10.08198070526123,8400
1995-05-08,21.875,22.0,21.375,21.625,9.966757774353027,10600
1995-05-09,21.625,22.0,21.5,21.625,9.966757774353027,6000
1995-05-10,21.625,21.875,21.375,21.375,9.851536750793457,11800
1995-05-11,21.375,21.5,21.0,21.25,9.793919563293457,16800
1995-05-12,21.25,21.5,21.0,21.5,9.9701566696167,7600
1995-05-15,21.5,21.875,21.375,21.5,9.9701566696167,5800
1995-05-16,21.5,21.625,21.25,21.625,10.028121948242188,9400
1995-05-17,21.625,21.875,21.5,21.75,10.08608341217041,8200
1995-05-18,21.875,22.25,21.875,22.25,10.317954063415527,25800
1995-05-19,22.125,22.125,21.875,22.0,10.20201301574707,5400
1995-05-22,22.0,22.0,21.625,21.625,10.028121948242188,8400
1995-05-23,21.625,22.5,21.625,22.375,10.3759183883667,16000
1995-05-24,22.375,22.375,22.0,22.125,10.259984016418457,9000
1995-05-25,22.125,22.125,21.75,22.125,10.259984016418457,10600
1995-05-26,22.125,22.375,22.0,22.0,10.20201301574707,9800
1995-05-30,22.25,22.5,22.25,22.5,10.433880805969238,14800
1995-05-31,22.5,22.625,22.25,22.5,10.433880805969238,17200
1995-06-01,22.5,22.75,22.5,22.625,10.491850852966309,25600
1995-06-02,22.75,23.625,22.75,23.5,10.897613525390625,12800
1995-06-05,23.5,23.875,23.25,23.625,10.95557689666748,21800
1995-06-06,23.625,23.75,23.375,23.625,10.95557689666748,15800
1995-06-07,23.5,23.5,22.875,23.5,10.897613525390625,15600
1995-06-08,23.5,23.5,23.125,23.25,10.781682014465332,5600
1995-06-09,23.25,23.625,23.0,23.5,10.897613525390625,3600
1995-06-12,23.125,23.125,22.25,22.5,10.433880805969238,31800
1995-06-13,22.25,22.25,21.75,22.0,10.20201301574707,18600
1995-06-14,22.0,22.5,21.625,22.5,10.433880805969238,24000
1995-06-15,22.25,22.25,21.625,22.125,10.259984016418457,17000
1995-06-16,22.125,22.375,21.75,22.0,10.20201301574707,16800
1995-06-19,22.0,22.25,21.5,21.875,10.144052505493164,28800
1995-06-20,21.875,22.0,21.5,22.0,10.20201301574707,18200
1995-06-21,22.0,22.25,21.625,22.25,10.317954063415527,24200
1995-06-22,22.25,22.25,21.75,22.125,10.259984016418457,10600
1995-06-23,22.125,22.125,21.625,21.75,10.08608341217041,17200
1995-06-26,21.75,22.0,21.5,21.75,10.08608341217041,27600
1995-06-27,21.75,22.0,21.125,21.375,9.912190437316895,20800
1995-06-28,21.375,21.5,21.125,21.375,9.912190437316895,11400
1995-06-29,21.375,21.625,21.375,21.625,10.028121948242188,9400
1995-06-30,21.625,22.125,21.25,22.125,10.259984016418457,32400
1995-07-03,22.125,22.25,21.875,21.875,10.144052505493164,4200
1995-07-05,21.875,22.0,21.75,21.875,10.144052505493164,9800
1995-07-06,21.875,22.5,21.75,22.5,10.433880805969238,46600
1995-07-07,22.5,23.0,22.125,22.125,10.259984016418457,23800
1995-07-10,22.125,22.125,21.625,21.75,10.08608341217041,16800
1995-07-11,21.75,22.375,21.75,22.125,10.259984016418457,13200
1995-07-12,22.125,22.25,21.875,22.0,10.20201301574707,7800
1995-07-13,22.0,22.25,21.75,22.25,10.317954063415527,5800
1995-07-14,22.25,22.25,21.75,22.0,10.20201301574707,8600
1995-07-17,22.0,22.0,21.625,21.875,10.144052505493164,11400
1995-07-18,21.75,21.75,20.75,20.875,9.680323600769043,39400
1995-07-19,20.875,21.0,20.75,20.75,9.622359275817871,13200
1995-07-20,20.75,21.0,20.375,20.875,9.680323600769043,30000
1995-07-21,20.875,21.25,20.75,21.125,9.796258926391602,8200
1995-07-24,21.125,21.25,20.625,20.75,9.622359275817871,21000
1995-07-25,20.75,21.125,20.75,21.0,9.738293647766113,7600
1995-07-26,21.0,21.5,21.0,21.375,9.912190437316895,12000
1995-07-27,21.375,21.75,21.25,21.625,10.028121948242188,10800
1995-07-28,21.625,21.875,21.375,21.375,9.912190437316895,16000
1995-07-31,21.375,21.875,21.125,21.875,10.144052505493164,10400
1995-08-01,21.875,22.125,21.5,22.0,10.20201301574707,9000
1995-08-02,22.0,22.375,21.75,22.375,10.3759183883667,13800
1995-08-03,22.375,22.375,22.0,22.25,10.317954063415527,6800
1995-08-04,22.25,22.375,22.125,22.375,10.3759183883667,10000
1995-08-07,22.375,22.5,22.25,22.5,10.433880805969238,9200
1995-08-08,22.5,22.5,22.25,22.5,10.433880805969238,28800
1995-08-09,22.5,22.5,21.875,21.875,10.144052505493164,4000
1995-08-10,21.875,21.875,21.5,21.625,10.028121948242188,14800
1995-08-11,21.625,21.75,21.25,21.625,10.028121948242188,3400
1995-08-14,21.625,22.0,21.625,21.875,10.144052505493164,13800
1995-08-15,21.875,22.0,21.5,21.5,9.9701566696167,7400
1995-08-16,21.5,21.625,21.375,21.625,10.089139938354492,20600
1995-08-17,21.625,21.75,21.5,21.75,10.147455215454102,18600
1995-08-18,21.75,21.75,21.5,21.5,10.030823707580566,10800
1995-08-21,21.5,21.75,21.375,21.75,10.147455215454102,10800
1995-08-22,21.75,21.75,21.0,21.375,9.972501754760742,25000
1995-08-23,21.375,21.625,21.25,21.5,10.030823707580566,8200
1995-08-24,21.5,21.625,21.0,21.5,10.030823707580566,18600
1995-08-25,21.5,21.5,21.0,21.5,10.030823707580566,6400
1995-08-28,21.375,21.375,20.75,21.375,9.972501754760742,15200
1995-08-29,21.375,21.625,20.5,20.75,9.680910110473633,9600
1995-08-30,20.75,20.875,20.375,20.875,9.73922348022461,12000
1995-08-31,20.875,21.125,20.75,21.0,9.7975492477417,8800
1995-09-01,21.0,21.125,20.75,20.875,9.73922348022461,16400
1995-09-05,20.875,20.875,20.25,20.625,9.622586250305176,20000
1995-09-06,20.625,21.125,20.375,20.875,9.73922348022461,11200
1995-09-07,20.875,21.25,20.75,21.125,9.855862617492676,15000
1995-09-08,21.125,21.125,20.875,21.125,9.855862617492676,14800
1995-09-11,21.125,21.25,21.0,21.0,9.7975492477417,13200
1995-09-12,21.125,21.25,21.125,21.125,9.855862617492676,10000
1995-09-13,21.125,21.25,20.875,21.25,9.914182662963867,9200
1995-09-14,21.25,21.375,21.125,21.125,9.855862617492676,14400
1995-09-15,21.125,21.25,21.0,21.25,9.914182662963867,31000
1995-09-18,21.25,21.25,21.0,21.25,9.914182662963867,11600
1995-09-19,21.25,21.25,21.0,21.125,9.855862617492676,7600
1995-09-20,21.125,21.125,21.0,21.125,9.855862617492676,6000
1995-09-21,21.125,21.125,20.625,20.75,9.680910110473633,14800
1995-09-22,20.75,20.875,20.5,20.625,9.622586250305176,5400
1995-09-25,20.75,21.125,20.75,20.875,9.73922348022461,8200
1995-09-26,20.875,21.25,20.5,21.0,9.7975492477417,6400
1995-09-27,21.0,21.0,20.75,20.875,9.73922348022461,4600
1995-09-28,20.875,20.875,20.625,20.625,9.622586250305176,2800
1995-09-29,20.625,20.875,20.625,20.875,9.73922348022461,11200
1995-10-02,20.875,20.875,20.5,20.75,9.680910110473633,10400
1995-10-03,20.75,20.875,20.25,20.75,9.680910110473633,9200
1995-10-04,20.75,20.75,20.5,20.75,9.680910110473633,3800
1995-10-05,20.75,20.875,20.375,20.375,9.505953788757324,6600
1995-10-06,20.375,20.875,20.25,20.875,9.73922348022461,9200
1995-10-09,20.875,20.875,20.625,20.75,9.680910110473633,5200
1995-10-10,20.75,20.75,20.5,20.75,9.680910110473633,5600
1995-10-11,20.75,20.75,20.5,20.625,9.622586250305176,5400
1995-10-12,20.625,20.875,20.625,20.625,9.622586250305176,8600
1995-10-13,20.625,20.875,20.625,20.75,9.680910110473633,6800
1995-10-16,20.75,20.875,20.625,20.625,9.622586250305176,3800
1995-10-17,20.625,20.875,20.625,20.75,9.680910110473633,4400
1995-10-18,20.75,20.75,20.625,20.75,9.680910110473633,5200
1995-10-19,20.625,20.625,20.375,20.625,9.622586250305176,8200
1995-10-20,20.625,20.75,20.5,20.625,9.622586250305176,6200
1995-10-23,20.5,20.5,20.0,20.125,9.389312744140625,13400
1995-10-24,20.25,20.75,20.25,20.75,9.680910110473633,10400
1995-10-25,20.75,20.75,20.5,20.5,9.564269065856934,19200
1995-10-26,20.5,20.75,20.375,20.5,9.564269065856934,6800
1995-10-27,20.5,20.5,20.25,20.375,9.505953788757324,5200
1995-10-30,20.375,20.625,20.125,20.25,9.447632789611816,13000
1995-10-31,20.25,20.5,19.625,19.625,9.156041145324707,53600
1995-11-01,19.625,19.75,19.375,19.5,9.097724914550781,37400
1995-11-02,19.5,19.75,19.375,19.5,9.097724914550781,35200
1995-11-03,19.5,20.0,19.5,20.0,9.3309965133667,10400
1995-11-06,20.0,20.25,19.875,19.875,9.272674560546875,8600
1995-11-07,19.125,19.125,18.0,18.375,8.572850227355957,78000
1995-11-08,18.375,18.5,17.875,18.0,8.397894859313965,36800
1995-11-09,18.0,18.625,18.0,18.25,8.514533996582031,16800
1995-11-10,18.25,18.375,18.125,18.25,8.514533996582031,22400
1995-11-13,18.25,18.25,17.75,17.75,8.281258583068848,32200
1995-11-14,17.75,18.0,17.625,18.0,8.397894859313965,32000
1995-11-15,18.0,18.125,17.75,18.0,8.459002494812012,13200
1995-11-16,18.0,18.5,17.75,18.5,8.6939697265625,21600
1995-11-17,18.5,18.625,18.125,18.625,8.752718925476074,17600
1995-11-20,18.625,18.625,18.375,18.375,8.635231971740723,15400
1995-11-21,18.375,18.5,18.25,18.5,8.6939697265625,17400
1995-11-22,18.5,19.375,18.5,19.25,9.046432495117188,44200
1995-11-24,19.75,20.25,19.75,20.25,9.516377449035645,29800
1995-11-27,20.375,21.0,20.375,20.5,9.633864402770996,87400
1995-11-28,20.5,20.75,20.25,20.5,9.633864402770996,37800
1995-11-29,20.5,20.875,20.5,20.5,9.633864402770996,37400
1995-11-30,20.5,20.875,20.5,20.875,9.810091972351074,16800
1995-12-01,20.875,20.875,20.625,20.875,9.810091972351074,26800
1995-12-04,20.875,21.0,20.625,20.625,9.692605018615723,39800
