Date,Open,High,Low,Close,Adj Close,Volume
1995-02-01,6.0,6.1875,6.0,6.0625,1.246755599975586,100400
1995-02-02,6.0,6.0,5.96875,6.0,1.2339025735855103,38400
1995-02-03,6.0,6.0,5.9375,5.9375,1.2210490703582764,14400
1995-02-06,5.96875,6.125,5.96875,6.09375,1.2531821727752686,119200
1995-02-07,6.1875,6.53125,6.1875,6.375,1.3110206127166748,209600
1995-02-08,6.4375,6.4375,6.34375,6.40625,1.3174476623535156,182000
1995-02-09,6.40625,6.5,6.40625,6.46875,1.3303018808364868,110000
1995-02-10,6.5,6.59375,6.46875,6.59375,1.3560075759887695,62400
1995-02-13,6.5625,6.8125,6.53125,6.78125,1.3945667743682861,80400
1995-02-14,6.78125,6.8125,6.65625,6.65625,1.3688607215881348,152400
1995-02-15,6.65625,6.6875,6.65625,6.6875,1.3752871751785278,44000
1995-02-16,6.71875,6.71875,6.59375,6.59375,1.3560075759887695,30800
1995-02-17,6.5625,6.59375,6.5625,6.5625,1.3495806455612183,37200
1995-02-21,6.59375,6.59375,6.5625,6.5625,1.3495806455612183,6800
1995-02-22,6.59375,6.625,6.5,6.5,1.3367276191711426,51200
1995-02-23,6.53125,6.53125,6.4375,6.4375,1.323874592781067,20000
1995-02-24,6.4375,6.4375,6.34375,6.375,1.3110206127166748,27600
1995-02-27,6.375,6.375,6.25,6.34375,1.3045947551727295,77600
1995-02-28,6.375,6.375,6.3125,6.34375,1.3045947551727295,101200
1995-03-01,6.34375,6.375,6.34375,6.34375,1.3045947551727295,12000
1995-03-02,6.375,6.40625,6.21875,6.25,1.285314917564392,72800
1995-03-03,6.21875,6.25,6.1875,6.25,1.285314917564392,42800
1995-03-06,6.1875,6.25,6.15625,6.1875,1.2724616527557373,22400
1995-03-07,6.1875,6.1875,6.0625,6.0625,1.246755599975586,32400
1995-03-08,6.0625,6.0625,5.96875,5.96875,1.2274754047393799,63600
1995-03-09,6.0,6.0,5.75,5.8125,1.1953434944152832,74800
1995-03-10,5.8125,5.90625,5.78125,5.90625,1.2146227359771729,52800
1995-03-13,5.84375,5.875,5.8125,5.8125,1.1953434944152832,46400
1995-03-14,5.84375,6.03125,5.84375,6.0,1.2339025735855103,34400
1995-03-15,6.0,6.03125,5.9375,6.03125,1.2403285503387451,156400
1995-03-16,6.0625,6.0625,5.9375,5.96875,1.2274754047393799,32400
1995-03-17,6.0,6.03125,5.9375,5.96875,1.2274754047393799,14400
1995-03-20,5.90625,6.0,5.90625,6.0,1.2339025735855103,21200
1995-03-21,6.03125,6.03125,5.90625,5.90625,1.2146227359771729,72400
1995-03-22,5.84375,5.875,5.8125,5.8125,1.1953434944152832,39600
1995-03-23,5.78125,5.8125,5.75,5.78125,1.1889164447784424,102800
1995-03-24,5.75,5.84375,5.75,5.78125,1.1889164447784424,59200
1995-03-27,5.78125,5.8125,5.6875,5.75,1.1824897527694702,58000
1995-03-28,5.8125,5.84375,5.78125,5.78125,1.1889164447784424,43600
1995-03-29,5.84375,5.90625,5.8125,5.90625,1.2146227359771729,18800
1995-03-30,5.9375,5.9375,5.90625,5.90625,1.2146227359771729,9600
1995-03-31,5.90625,5.9375,5.875,5.9375,1.2210490703582764,22800
1995-04-03,5.90625,5.90625,5.78125,5.84375,1.2017697095870972,61600
1995-04-04,5.90625,5.9375,5.84375,5.84375,1.2017697095870972,30000
1995-04-05,5.84375,5.875,5.84375,5.875,1.2081962823867798,9200
1995-04-06,5.84375,5.9375,5.8125,5.90625,1.2146227359771729,36000
1995-04-07,5.9375,5.9375,5.8125,5.8125,1.1953434944152832,36400
1995-04-10,5.8125,5.90625,5.8125,5.875,1.2081962823867798,46400
1995-04-11,5.84375,5.84375,5.8125,5.84375,1.2017697095870972,32400
1995-04-12,5.84375,5.84375,5.78125,5.78125,1.1889164447784424,40000
1995-04-13,5.8125,5.90625,5.8125,5.8125,1.1953434944152832,76400
1995-04-17,5.84375,5.875,5.8125,5.84375,1.2017697095870972,48000
1995-04-18,5.90625,5.96875,5.875,5.96875,1.2274754047393799,50400
1995-04-19,6.0,6.03125,5.875,5.875,1.2081962823867798,65200
1995-04-20,5.8125,5.875,5.8125,5.84375,1.2017697095870972,18800
1995-04-21,5.875,6.0,5.8125,6.0,1.2339025735855103,65600
1995-04-24,5.875,5.875,5.75,5.75,1.2076493501663208,23600
1995-04-25,5.75,5.78125,5.71875,5.75,1.2076493501663208,64400
1995-04-26,5.71875,5.84375,5.6875,5.78125,1.2142126560211182,18000
1995-04-27,5.8125,5.90625,5.78125,5.8125,1.2207762002944946,27600
1995-04-28,5.84375,5.84375,5.78125,5.84375,1.2273390293121338,28400
1995-05-01,5.84375,5.84375,5.78125,5.84375,1.2273390293121338,62800
1995-05-02,5.84375,5.84375,5.78125,5.78125,1.2142126560211182,29600
1995-05-03,5.84375,5.84375,5.8125,5.84375,1.2273390293121338,27600
1995-05-04,5.84375,5.875,5.8125,5.8125,1.2207762002944946,59600
1995-05-05,5.84375,5.9375,5.84375,5.90625,1.240465760231018,38400
1995-05-08,5.9375,6.15625,5.9375,6.15625,1.2929718494415283,103200
1995-05-09,6.1875,6.34375,6.1875,6.34375,1.3323516845703125,50800
1995-05-10,6.40625,6.53125,6.40625,6.5,1.3651686906814575,218400
1995-05-11,6.5,6.5,6.40625,6.46875,1.3586064577102661,50400
1995-05-12,6.46875,6.46875,6.28125,6.28125,1.3192253112792969,44000
1995-05-15,6.3125,6.3125,6.25,6.25,1.31266188621521,16000
1995-05-16,6.3125,6.375,6.25,6.28125,1.3192253112792969,49200
1995-05-17,6.28125,6.28125,6.21875,6.25,1.31266188621521,26000
1995-05-18,6.28125,6.28125,6.125,6.125,1.2864084243774414,32800
1995-05-19,6.03125,6.0625,6.0,6.0,1.260155439376831,87600
1995-05-22,6.03125,6.125,6.03125,6.125,1.2864084243774414,17200
1995-05-23,6.125,6.125,6.0625,6.125,1.2864084243774414,20800
1995-05-24,6.125,6.1875,6.125,6.15625,1.2929718494415283,29600
1995-05-25,6.09375,6.1875,6.0625,6.1875,1.2995355129241943,40800
1995-05-26,6.15625,6.15625,6.09375,6.125,1.2864084243774414,28800
1995-05-30,6.125,6.15625,6.125,6.125,1.2864084243774414,26800
1995-05-31,6.09375,6.25,6.09375,6.25,1.31266188621521,34400
1995-06-01,6.25,6.5,6.1875,6.46875,1.3586064577102661,74000
1995-06-02,6.5,6.6875,6.5,6.59375,1.3848583698272705,190800
1995-06-05,6.59375,6.625,6.375,6.46875,1.3586064577102661,56400
1995-06-06,6.5,6.53125,6.375,6.4375,1.3520424365997314,29200
1995-06-07,6.5,6.5,6.34375,6.375,1.3389153480529785,48400
1995-06-08,6.375,6.375,6.34375,6.375,1.3389153480529785,10000
1995-06-09,6.375,6.375,6.25,6.3125,1.325788140296936,42000
1995-06-12,6.3125,6.3125,6.28125,6.3125,1.325788140296936,7600
1995-06-13,6.28125,6.40625,6.25,6.40625,1.3454779386520386,26000
1995-06-14,6.4375,6.5,6.40625,6.4375,1.3520424365997314,97600
1995-06-15,6.46875,6.53125,6.375,6.53125,1.3717319965362549,91200
1995-06-16,6.53125,6.53125,6.4375,6.4375,1.3520424365997314,8800
1995-06-19,6.46875,6.5,6.375,6.40625,1.3454779386520386,86400
1995-06-20,6.375,6.40625,6.34375,6.34375,1.3323516845703125,33200
1995-06-21,6.375,6.40625,6.34375,6.40625,1.3454779386520386,45200
1995-06-22,6.375,6.5,6.375,6.5,1.3651686906814575,32000
1995-06-23,6.4375,6.46875,6.375,6.4375,1.3520424365997314,47600
1995-06-26,6.40625,6.40625,6.375,6.40625,1.3454779386520386,16000
1995-06-27,6.40625,6.40625,6.375,6.375,1.3389153480529785,17200
1995-06-28,6.375,6.40625,6.34375,6.40625,1.3454779386520386,121600
1995-06-29,6.40625,6.46875,6.3125,6.34375,1.3323516845703125,132400
1995-06-30,6.34375,6.375,6.34375,6.34375,1.3323516845703125,79200
1995-07-03,6.34375,6.375,6.34375,6.375,1.3389153480529785,8800
1995-07-05,6.34375,6.5625,6.34375,6.53125,1.3717319965362549,64400
1995-07-06,6.5,6.5625,6.5,6.53125,1.3717319965362549,47200
1995-07-07,6.5625,6.5625,6.53125,6.53125,1.3717319965362549,16000
1995-07-10,6.53125,6.65625,6.53125,6.625,1.3914225101470947,68000
1995-07-11,6.65625,6.875,6.65625,6.84375,1.4373652935028076,145600
1995-07-12,6.84375,6.9375,6.84375,6.875,1.4439283609390259,78800
1995-07-13,6.90625,6.9375,6.875,6.9375,1.457054853439331,20000
1995-07-14,6.9375,6.9375,6.78125,6.78125,1.4242380857467651,37200
1995-07-17,6.75,6.9375,6.75,6.875,1.4439283609390259,50400
1995-07-18,6.90625,6.9375,6.875,6.875,1.4439283609390259,122000
1995-07-19,6.875,6.90625,6.6875,6.6875,1.4045482873916626,52800
1995-07-20,6.6875,6.71875,6.6875,6.71875,1.411111831665039,9600
1995-07-21,6.6875,6.875,6.6875,6.875,1.4439283609390259,21600
1995-07-24,6.875,6.90625,6.84375,6.875,1.4439283609390259,116800
1995-07-25,6.875,6.875,6.84375,6.875,1.4439283609390259,16400
1995-07-26,6.78125,6.78125,6.75,6.75,1.4439280033111572,26000
1995-07-27,6.75,6.75,6.65625,6.65625,1.4238735437393188,57600
1995-07-28,6.65625,6.75,6.625,6.6875,1.430558443069458,37200
1995-07-31,6.6875,6.75,6.6875,6.75,1.4439280033111572,27600
1995-08-01,6.75,6.84375,6.75,6.78125,1.450613260269165,76400
1995-08-02,6.8125,6.84375,6.78125,6.78125,1.450613260269165,23200
1995-08-03,6.78125,6.875,6.78125,6.875,1.470668077468872,30400
1995-08-04,6.8125,6.8125,6.78125,6.78125,1.450613260269165,10000
1995-08-07,6.78125,6.8125,6.6875,6.6875,1.430558443069458,41600
1995-08-08,6.6875,6.75,6.625,6.75,1.4439280033111572,15200
1995-08-09,6.75,6.75,6.625,6.6875,1.430558443069458,44800
1995-08-10,6.75,6.75,6.65625,6.65625,1.4238735437393188,43200
1995-08-11,6.65625,6.65625,6.5,6.59375,1.4105041027069092,1178000
1995-08-14,6.625,6.65625,6.4375,6.4375,1.3770800828933716,54000
1995-08-15,6.4375,6.46875,6.4375,6.4375,1.3770800828933716,52400
1995-08-16,6.40625,6.46875,6.34375,6.34375,1.3570246696472168,176800
1995-08-17,6.40625,6.40625,6.3125,6.3125,1.3503403663635254,38000
1995-08-18,6.375,6.40625,6.34375,6.34375,1.3570246696472168,25200
1995-08-21,6.40625,6.4375,6.375,6.4375,1.3770800828933716,42800
1995-08-22,6.46875,6.5,6.4375,6.46875,1.3837649822235107,67600
1995-08-23,6.5,6.53125,6.46875,6.53125,1.3971344232559204,92800
1995-08-24,6.5625,6.59375,6.5,6.5625,1.4038194417953491,42400
1995-08-25,6.59375,6.59375,6.53125,6.53125,1.3971344232559204,71200
1995-08-28,6.59375,6.59375,6.53125,6.53125,1.3971344232559204,40800
1995-08-29,6.53125,6.5625,6.46875,6.5,1.3904496431350708,208000
1995-08-30,6.5,6.5,6.46875,6.46875,1.3837649822235107,20000
1995-08-31,6.5,6.5,6.46875,6.5,1.3904496431350708,18000
1995-09-01,6.5,6.5,6.46875,6.46875,1.3837649822235107,62000
1995-09-05,6.5,6.53125,6.5,6.53125,1.3971344232559204,42000
1995-09-06,6.53125,6.53125,6.5,6.53125,1.3971344232559204,124000
1995-09-07,6.5,6.53125,6.46875,6.5,1.3904496431350708,21600
1995-09-08,6.53125,6.53125,6.46875,6.5,1.3904496431350708,16800
1995-09-11,6.5,6.5,6.34375,6.40625,1.370394229888916,111200
1995-09-12,6.4375,6.53125,6.4375,6.53125,1.3971344232559204,48800
1995-09-13,6.5,6.5625,6.5,6.5625,1.4038194417953491,27200
1995-09-14,6.5625,6.5625,6.40625,6.40625,1.370394229888916,43600
1995-09-15,6.4375,6.4375,6.3125,6.375,1.3637096881866455,54000
