Date,Open,High,Low,Close,Adj Close,Volume
1995-02-01,7.75,7.75,7.75,7.75,5.440488338470459,3600
1995-02-02,7.75,7.75,7.6875,7.6875,5.3966145515441895,1400
1995-02-03,7.8125,8.125,7.8125,8.125,5.703737258911133,23200
1995-02-06,8.125,8.125,8.125,8.125,5.703737258911133,1000
1995-02-07,8.0,8.375,8.0,8.375,5.879240036010742,18800
1995-02-08,8.3125,8.3125,8.25,8.25,5.791488170623779,2800
1995-02-09,8.25,8.25,8.25,8.25,5.791488170623779,2600
1995-02-10,8.25,8.3125,8.25,8.25,5.791488170623779,3400
1995-02-13,8.3125,8.3125,8.25,8.25,5.791488170623779,2600
1995-02-14,8.25,8.25,8.25,8.25,5.791488170623779,1600
1995-02-15,8.1875,8.1875,8.0625,8.0625,5.659862995147705,38400
1995-02-16,8.125,8.125,8.0625,8.0625,5.659862995147705,2600
1995-02-17,8.0625,8.125,8.0625,8.125,5.703737258911133,4200
1995-02-21,8.1875,8.1875,8.125,8.125,5.703737258911133,2800
1995-02-22,8.125,8.125,8.0,8.0,5.615987777709961,12000
1995-02-23,8.0625,8.25,8.0625,8.25,5.791488170623779,28800
1995-02-24,8.375,8.375,8.375,8.375,5.879240036010742,12200
1995-02-27,8.25,8.3125,8.25,8.3125,5.835364818572998,4000
1995-02-28,8.25,8.5,8.25,8.5,5.966989040374756,4400
1995-03-01,8.5,8.5625,8.5,8.5,5.966989040374756,2600
1995-03-02,8.5625,8.5625,8.5,8.5,5.966989040374756,2200
1995-03-03,8.5625,8.5625,8.5625,8.5625,6.010859966278076,7800
1995-03-06,8.5625,8.5625,8.5,8.5625,6.010859966278076,17200
1995-03-07,8.5,8.5,8.5,8.5,5.966989040374756,600
1995-03-08,8.5,8.5625,8.5,8.5625,6.010859966278076,5600
1995-03-09,8.5,8.5,8.375,8.375,5.879240036010742,21600
1995-03-10,8.375,8.375,8.375,8.375,5.879240036010742,14600
1995-03-13,8.375,8.375,8.3125,8.3125,5.835364818572998,20200
1995-03-14,8.3125,8.3125,8.3125,8.3125,5.835364818572998,2600
1995-03-15,8.3125,8.3125,8.25,8.3125,5.835364818572998,13600
1995-03-16,8.4375,8.5,8.4375,8.5,5.966989040374756,30000
1995-03-17,8.4375,8.5,8.4375,8.4375,5.923113822937012,3800
1995-03-20,8.4375,8.5,8.4375,8.4375,5.923113822937012,15200
1995-03-21,8.4375,8.5,8.4375,8.5,5.966989040374756,66000
1995-03-22,8.4375,8.5625,8.4375,8.5,5.966989040374756,27400
1995-03-23,8.5625,8.5625,8.5625,8.5625,6.010859966278076,26200
1995-03-24,8.5625,8.5625,8.5625,8.5625,6.010859966278076,200
1995-03-27,8.5,8.625,8.5,8.5625,6.028461933135986,23400
1995-03-28,8.625,8.8125,8.625,8.8125,6.2044806480407715,22000
1995-03-29,8.75,8.8125,8.6875,8.6875,6.116471290588379,67000
1995-03-30,8.6875,8.75,8.625,8.6875,6.116471290588379,5600
1995-03-31,8.75,8.75,8.5625,8.5625,6.028461933135986,11800
1995-04-03,8.5625,8.6875,8.5625,8.6875,6.116471290588379,3200
1995-04-04,8.6875,9.1875,8.6875,9.125,6.424495697021484,52000
1995-04-05,9.125,9.3125,9.125,9.25,6.512499809265137,25200
1995-04-06,9.25,9.375,9.1875,9.375,6.60050630569458,4800
1995-04-07,9.375,9.4375,9.375,9.4375,6.64451265335083,9600
1995-04-10,9.4375,9.5625,9.4375,9.5,6.688516616821289,40800
1995-04-11,9.4375,9.4375,9.375,9.375,6.60050630569458,5600
1995-04-12,9.375,9.4375,9.3125,9.4375,6.64451265335083,12400
1995-04-13,9.5,9.5625,9.375,9.4375,6.64451265335083,53000
1995-04-17,9.375,9.375,9.375,9.375,6.60050630569458,800
1995-04-18,9.4375,9.4375,9.375,9.375,6.60050630569458,21200
1995-04-19,9.375,9.375,9.375,9.375,6.60050630569458,600
1995-04-20,9.375,9.5,9.375,9.5,6.688516616821289,22200
1995-04-21,9.4375,9.5,9.4375,9.5,6.688516616821289,13800
1995-04-24,9.4375,9.5,9.4375,9.5,6.688516616821289,27800
1995-04-25,9.375,9.375,9.0625,9.0625,6.380490303039551,52600
1995-04-26,9.0,9.3125,9.0,9.3125,6.556504249572754,108000
1995-04-27,9.25,9.3125,9.25,9.3125,6.556504249572754,7600
1995-04-28,9.25,9.25,9.25,9.25,6.512499809265137,3800
1995-05-01,9.3125,9.3125,9.25,9.25,6.512499809265137,12200
1995-05-02,9.25,9.25,9.25,9.25,6.512499809265137,14800
1995-05-03,9.25,9.3125,9.25,9.25,6.512499809265137,44600
1995-05-04,9.25,9.3125,9.25,9.3125,6.556504249572754,16000
1995-05-05,9.125,9.4375,9.0625,9.4375,6.64451265335083,46000
1995-05-08,9.375,9.875,9.375,9.875,6.952536582946777,36600
1995-05-09,9.875,9.875,9.75,9.75,6.864529609680176,26000
1995-05-10,9.875,9.875,9.8125,9.8125,6.908529758453369,46000
1995-05-11,9.75,9.75,9.75,9.75,6.864529609680176,26800
1995-05-12,9.875,10.0,9.875,9.875,6.952536582946777,11400
1995-05-15,9.8125,9.8125,9.6875,9.6875,6.820522308349609,11600
1995-05-16,9.6875,9.6875,9.625,9.625,6.776522636413574,18400
1995-05-17,9.625,9.625,9.4375,9.4375,6.64451265335083,10600
1995-05-18,9.4375,9.4375,9.375,9.375,6.60050630569458,1600
1995-05-19,9.3125,9.375,9.25,9.375,6.60050630569458,9000
1995-05-22,9.4375,9.4375,9.375,9.375,6.60050630569458,4200
1995-05-23,9.25,9.25,9.25,9.25,6.512499809265137,4600
1995-05-24,9.3125,9.375,9.25,9.25,6.512499809265137,11800
1995-05-25,9.1875,9.3125,9.1875,9.25,6.512499809265137,11800
1995-05-26,9.25,9.25,9.1875,9.1875,6.468497276306152,6600
