Date,Open,High,Low,Close,Adj Close,Volume
1995-02-01,26.5,26.5,25.0,25.0,20.402212142944336,15175
1995-02-02,25.0,27.0,25.0,27.0,22.034393310546875,12575
1995-02-03,27.0,27.0,26.0,26.0,21.218299865722656,50
1995-02-06,25.0,25.5,24.5,24.5,19.994173049926758,3175
1995-02-07,24.0,26.0,24.0,24.0,19.58612632751465,1450
1995-02-08,24.0,26.0,24.0,24.75,20.19818687438965,2500
1995-02-09,24.75,24.75,24.75,24.75,20.19818687438965,0
1995-02-10,24.0,24.0,24.0,24.0,19.58612632751465,75
1995-02-13,26.0,26.0,24.0,25.0,20.402212142944336,825
1995-02-14,26.0,26.0,24.0,24.0,19.58612632751465,14325
1995-02-15,24.0,25.5,24.0,25.5,20.81026268005371,3650
1995-02-16,24.0,27.0,24.0,24.5,19.994173049926758,1250
1995-02-17,24.5,26.5,24.5,26.5,21.6263427734375,400
1995-02-21,24.0,24.5,24.0,24.0,19.58612632751465,275
1995-02-22,24.0,24.0,24.0,24.0,19.58612632751465,25
1995-02-23,24.0,26.5,24.0,24.0,19.58612632751465,625
1995-02-24,24.0,24.0,24.0,24.0,19.58612632751465,600
1995-02-27,24.0,24.5,23.0,24.5,19.994173049926758,2250
1995-02-28,24.5,24.5,20.0,20.0,16.32177734375,8225
1995-03-01,20.0,23.0,20.0,22.0,17.953950881958008,2050
1995-03-02,22.0,22.0,21.0,21.0,17.137853622436523,1475
1995-03-03,21.0,22.0,21.0,21.0,17.137853622436523,2500
1995-03-06,21.0,21.0,19.0,19.5,15.913731575012207,4525
1995-03-07,19.0,21.5,19.0,19.0,15.505683898925781,4225
1995-03-08,19.0,21.0,19.0,21.0,17.137853622436523,375
1995-03-09,21.0,21.0,21.0,21.0,17.137853622436523,0
1995-03-10,19.0,19.0,19.0,19.0,15.505683898925781,250
1995-03-13,19.0,19.0,19.0,19.0,15.505683898925781,3250
1995-03-14,19.0,21.0,18.0,19.0,15.505683898925781,14750
1995-03-15,21.0,21.0,19.0,19.5,15.913731575012207,3725
1995-03-16,19.0,20.0,19.0,20.0,16.32177734375,1425
1995-03-17,20.0,24.0,20.0,22.5,18.361995697021484,11875
1995-03-20,24.0,24.0,22.0,22.0,17.953950881958008,2875
1995-03-21,23.0,24.0,23.0,24.0,19.58612632751465,1800
1995-03-22,24.0,24.5,23.0,24.0,19.58612632751465,8400
1995-03-23,26.0,26.0,24.0,24.0,19.58612632751465,1450
1995-03-24,24.0,26.0,23.0,23.5,19.178083419799805,2700
1995-03-27,25.0,25.0,24.0,24.0,19.58612632751465,1200
1995-03-28,25.0,25.0,23.5,24.0,19.58612632751465,2150
1995-03-29,23.0,24.0,23.0,23.0,18.770042419433594,900
1995-03-30,21.0,24.0,21.0,24.0,19.58612632751465,575
1995-03-31,21.0,21.0,21.0,21.0,17.137853622436523,250
1995-04-03,24.0,24.0,21.0,22.0,17.953950881958008,425
1995-04-04,24.0,24.0,24.0,24.0,19.58612632751465,125
1995-04-05,24.0,24.0,22.5,22.5,18.361995697021484,625
1995-04-06,24.0,24.0,22.5,22.5,18.361995697021484,1000
1995-04-07,21.0,23.5,21.0,21.0,17.137853622436523,1250
1995-04-10,23.5,23.5,23.5,23.5,19.178083419799805,50
1995-04-11,24.0,24.0,24.0,24.0,19.58612632751465,50
1995-04-12,23.0,23.0,21.0,21.75,17.74991798400879,475
1995-04-13,21.0,21.0,21.0,21.0,17.137853622436523,25
1995-04-17,21.0,21.0,21.0,21.0,17.137853622436523,250
1995-04-18,24.0,24.0,21.0,21.0,17.137853622436523,500
1995-04-19,21.0,22.0,20.0,20.0,16.32177734375,2950
1995-04-20,20.0,20.0,20.0,20.0,16.32177734375,0
1995-04-21,22.0,23.0,22.0,23.0,18.770042419433594,3425
1995-04-24,22.0,24.0,22.0,22.0,17.953950881958008,5275
1995-04-25,23.0,23.0,22.0,22.0,17.953950881958008,1325
1995-04-26,22.0,22.0,22.0,22.0,17.953950881958008,0
1995-04-27,24.0,24.0,22.0,22.0,17.953950881958008,775
1995-04-28,22.0,22.0,22.0,22.0,17.953950881958008,475
1995-05-01,22.0,22.25,22.0,22.25,18.15796661376953,2025
1995-05-02,22.0,23.0,22.0,22.0,17.953950881958008,1350
1995-05-03,22.0,22.5,21.0,22.0,17.953950881958008,4300
1995-05-04,21.0,22.0,21.0,21.0,17.137853622436523,1625
1995-05-05,21.0,22.0,21.0,21.0,17.137853622436523,3050
1995-05-08,21.0,21.0,21.0,21.0,17.137853622436523,1625
1995-05-09,21.0,21.0,21.0,21.0,17.137853622436523,25
1995-05-10,21.0,21.0,19.0,20.5,16.729812622070312,4650
1995-05-11,22.0,22.0,22.0,22.0,17.953950881958008,50
1995-05-12,22.0,22.0,21.0,21.0,17.137853622436523,300
1995-05-15,21.0,21.0,21.0,21.0,17.137853622436523,200
1995-05-16,21.0,21.0,21.0,21.0,17.137853622436523,250
1995-05-17,21.0,22.0,21.0,21.0,17.137853622436523,1950
1995-05-18,21.0,21.0,21.0,21.0,17.137853622436523,25
1995-05-19,21.0,22.0,19.0,21.5,17.545907974243164,2775
1995-05-22,22.0,22.0,21.0,21.0,17.137853622436523,1075
1995-05-23,22.0,22.0,21.0,21.0,17.137853622436523,2175
1995-05-24,22.0,22.0,22.0,22.0,17.953950881958008,1000
1995-05-25,21.0,22.0,21.0,22.0,17.953950881958008,275
1995-05-26,20.0,21.0,20.0,21.0,17.137853622436523,2275
1995-05-30,21.0,21.0,18.75,18.75,15.30165958404541,37000
1995-05-31,19.0,21.0,19.0,19.0,15.505683898925781,700
1995-06-01,19.0,19.0,19.0,19.0,15.505683898925781,400
1995-06-02,19.0,20.0,18.0,18.0,14.689591407775879,3950
1995-06-05,18.0,18.0,18.0,18.0,14.689591407775879,0
1995-06-06,18.0,19.0,18.0,18.5,15.09763240814209,2950
1995-06-07,18.0,20.0,18.0,18.0,14.689591407775879,3025
1995-06-08,18.0,18.0,18.0,18.0,14.689591407775879,250
1995-06-09,18.0,20.0,18.0,18.0,14.689591407775879,900
1995-06-12,20.0,20.0,18.0,18.0,14.689591407775879,325
1995-06-13,18.0,18.0,18.0,18.0,14.689591407775879,1250
1995-06-14,20.0,20.0,18.0,18.0,14.689591407775879,150
1995-06-15,18.0,18.0,18.0,18.0,14.689591407775879,75
1995-06-16,18.0,18.0,18.0,18.0,14.689591407775879,0
1995-06-19,18.0,20.0,18.0,20.0,16.32177734375,275
1995-06-20,20.0,20.0,18.0,19.0,15.505683898925781,15625
1995-06-21,18.0,20.0,18.0,20.0,16.32177734375,2125
1995-06-22,20.0,20.0,18.0,20.0,16.32177734375,2750
1995-06-23,18.0,20.0,18.0,18.5,15.09763240814209,2675
1995-06-26,20.0,20.0,20.0,20.0,16.32177734375,375
1995-06-27,20.0,20.0,18.0,20.0,16.32177734375,325
1995-06-28,20.0,20.0,18.0,18.0,14.689591407775879,250
1995-06-29,18.0,18.0,18.0,18.0,14.689591407775879,0
1995-06-30,20.0,20.0,18.5,18.5,15.09763240814209,400
1995-07-03,18.5,18.5,18.5,18.5,15.09763240814209,0
1995-07-05,20.0,20.0,20.0,20.0,16.32177734375,250
1995-07-06,18.0,18.0,18.0,18.0,14.689591407775879,175
1995-07-07,20.0,26.0,19.0,25.25,20.606237411499023,45475
1995-07-10,32.0,32.0,28.0,29.0,23.666566848754883,57800
1995-07-11,29.0,29.0,27.0,29.0,23.666566848754883,11150
