Date,Open,High,Low,Close,Adj Close,Volume
1998-06-03,13.5,14.0,13.5,13.5,7.063109397888184,4800
1998-06-04,13.25,14.0,13.25,14.0,7.324706077575684,7800
1998-06-05,14.40625,14.40625,14.0,14.0,7.324706077575684,4600
1998-06-08,14.0,14.875,14.0,14.125,7.3901047706604,13100
1998-06-09,15.0,15.0,14.125,15.0,7.847901821136475,8700
1998-06-10,15.0,15.0,14.625,14.625,7.651702404022217,3100
1998-06-11,14.75,14.75,14.75,14.75,7.717103004455566,1000
1998-06-12,14.75,14.75,14.75,14.75,7.717103004455566,900
1998-06-15,14.75,14.75,14.25,14.25,7.455502986907959,1700
1998-06-16,14.75,14.75,13.5,13.5,7.063109397888184,3600
1998-06-17,14.375,14.375,14.375,14.375,7.520904064178467,300
1998-06-18,14.375,14.375,14.375,14.375,7.520904064178467,7500
1998-06-19,14.375,14.375,14.375,14.375,7.520904064178467,0
1998-06-22,14.375,14.375,14.375,14.375,7.520904064178467,0
1998-06-23,14.0,14.25,14.0,14.25,7.455502986907959,2900
1998-06-24,14.375,14.375,13.375,14.0,7.324706077575684,1700
1998-06-25,14.25,14.25,14.25,14.25,7.455502986907959,500
1998-06-26,14.25,14.375,14.25,14.375,7.53412389755249,1700
1998-06-29,14.375,14.375,14.375,14.375,7.53412389755249,0
1998-06-30,14.0,14.25,14.0,14.0,7.3375773429870605,2700
1998-07-01,14.0,14.375,13.75,14.375,7.53412389755249,6600
1998-07-02,13.75,14.25,13.5,13.5,7.0755228996276855,2800
1998-07-06,13.875,13.875,13.375,13.375,7.010007381439209,2300
1998-07-07,14.375,14.375,13.375,14.0,7.3375773429870605,3800
1998-07-08,14.0,14.0,14.0,14.0,7.3375773429870605,200
1998-07-09,14.0,14.0,12.875,12.875,6.747952461242676,5500
1998-07-10,12.75,13.125,12.75,12.75,6.68243932723999,5100
1998-07-13,13.0,13.0,12.75,12.75,6.68243932723999,900
1998-07-14,13.125,13.125,12.75,12.75,6.68243932723999,5700
1998-07-15,13.125,13.5,12.75,13.25,6.944491386413574,4300
1998-07-16,14.125,14.125,13.375,13.5,7.0755228996276855,1000
1998-07-17,14.25,14.375,13.75,13.75,7.206552982330322,2700
1998-07-20,14.375,14.375,13.75,14.0,7.3375773429870605,2800
1998-07-21,14.0,14.0,13.75,13.75,7.206552982330322,6500
1998-07-22,13.75,13.75,13.75,13.75,7.206552982330322,600
1998-07-23,13.75,14.0,13.5,13.5,7.0755228996276855,4100
1998-07-24,13.375,13.375,13.375,13.375,7.010007381439209,2000
1998-07-27,13.5,13.5625,13.5,13.5625,7.108280658721924,1700
1998-07-28,13.875,13.875,13.875,13.875,7.272063732147217,500
1998-07-29,13.75,14.0,13.25,14.0,7.3375773429870605,14400
1998-07-30,13.5,13.75,13.25,13.3125,6.977254867553711,5500
1998-07-31,13.375,13.5,13.375,13.5,7.0755228996276855,800
1998-08-03,13.5,13.5,13.5,13.5,7.0755228996276855,0
1998-08-04,13.125,13.125,12.5,12.5625,6.584169387817383,4200
1998-08-05,12.25,12.5,12.0,12.375,6.48589563369751,2300
1998-08-06,12.0,12.0,12.0,12.0,6.2893548011779785,2000
1998-08-07,12.0625,12.25,12.0,12.0,6.2893548011779785,2000
1998-08-10,12.1875,12.25,12.0,12.0625,6.322115421295166,15100
1998-08-11,12.0,12.0,12.0,12.0,6.2893548011779785,1000
1998-08-12,12.25,12.25,12.0,12.0,6.2893548011779785,1500
1998-08-13,12.0,12.125,11.875,11.875,6.223837852478027,12000
1998-08-14,11.875,11.875,11.875,11.875,6.223837852478027,2300
1998-08-17,12.125,12.125,11.75,11.875,6.223837852478027,50700
1998-08-18,12.0625,12.125,11.75,11.75,6.158325672149658,1700
1998-08-19,11.9375,11.9375,11.75,11.75,6.158325672149658,4700
1998-08-20,11.625,11.625,11.0,11.0,5.7652411460876465,12300
1998-08-21,11.75,12.0,10.25,10.625,5.568698883056641,9900
1998-08-24,11.0,11.375,10.625,11.0,5.7652411460876465,4600
1998-08-25,10.9375,11.125,10.625,10.625,5.568698883056641,1400
1998-08-26,11.25,11.25,10.625,10.75,5.634212493896484,7700
1998-08-27,10.5,10.5,9.875,10.375,5.437671661376953,20600
1998-08-28,9.5,10.5,9.5,10.5,5.503185749053955,400
1998-08-31,9.5,9.625,7.75,7.75,4.061875820159912,17100
1998-09-01,8.75,10.0,7.75,9.75,5.110098838806152,24500
1998-09-02,10.0,10.5,9.75,9.75,5.110098838806152,16100
1998-09-03,9.5,9.75,9.5,9.5,4.979072093963623,6000
1998-09-04,9.875,10.0,9.375,9.375,4.913559436798096,11600
1998-09-08,9.5,10.0,9.125,9.625,5.044583320617676,77400
