Date,Open,High,Low,Close,Adj Close,Volume
1995-02-01,16.625,16.75,16.625,16.75,4.4629926681518555,1700
1995-02-02,16.625,16.75,16.625,16.625,4.429688930511475,2400
1995-02-03,16.5,16.75,16.5,16.75,4.4629926681518555,6900
1995-02-06,16.75,16.75,16.75,16.75,4.4629926681518555,600
1995-02-07,16.75,17.125,16.75,17.125,4.562912940979004,5200
1995-02-08,17.25,17.375,17.25,17.375,4.629524230957031,600
1995-02-09,17.125,17.25,17.0,17.25,4.596214294433594,2000
1995-02-10,17.125,17.125,17.125,17.125,4.562912940979004,200
1995-02-13,17.125,17.125,16.875,17.0,4.529604911804199,2300
1995-02-14,17.125,17.25,17.125,17.25,4.596214294433594,1100
1995-02-15,17.25,17.375,17.25,17.375,4.629524230957031,1500
1995-02-16,17.5,17.5,17.125,17.375,4.629524230957031,2600
1995-02-17,17.5,17.625,17.5,17.625,4.696134090423584,3900
1995-02-21,17.625,17.625,17.375,17.375,4.629524230957031,700
1995-02-22,17.5,17.625,17.5,17.625,4.696134090423584,500
1995-02-23,17.625,17.625,17.25,17.5,4.662827491760254,7200
1995-02-24,17.25,17.25,16.875,16.875,4.4962992668151855,1600
1995-02-27,17.0,17.0,16.75,16.875,4.4962992668151855,900
1995-02-28,16.875,17.0,16.75,16.75,4.4629926681518555,4800
1995-03-01,16.875,16.875,16.5,16.5,4.396379470825195,2900
1995-03-02,16.5,16.5,16.25,16.5,4.396379470825195,2400
1995-03-03,16.625,16.625,16.25,16.375,4.36307430267334,1300
1995-03-06,16.5,16.5,16.5,16.5,4.396379470825195,600
1995-03-07,16.5,16.5,16.25,16.25,4.329767227172852,3800
1995-03-08,16.375,16.5,16.375,16.375,4.36307430267334,1500
1995-03-09,16.25,16.25,16.125,16.125,4.296462535858154,2200
1995-03-10,16.25,16.25,16.25,16.25,4.329767227172852,100
1995-03-13,16.375,16.375,16.125,16.125,4.296462535858154,500
1995-03-14,16.125,16.5,16.125,16.5,4.396379470825195,2500
1995-03-15,16.5,16.5,16.375,16.5,4.396379470825195,500
1995-03-16,16.5,16.5,16.25,16.375,4.36307430267334,2500
1995-03-17,16.375,16.375,16.375,16.375,4.36307430267334,400
1995-03-20,16.375,16.375,16.25,16.25,4.329767227172852,1000
1995-03-21,16.375,16.375,16.25,16.375,4.36307430267334,2600
1995-03-22,16.5,16.5,16.125,16.125,4.296462535858154,1600
1995-03-23,16.125,16.375,16.125,16.375,4.36307430267334,2400
1995-03-24,16.375,16.375,16.0,16.0,4.263157367706299,13000
1995-03-27,16.125,16.375,16.125,16.375,4.36307430267334,2200
1995-03-28,16.125,16.125,16.0,16.125,4.296462535858154,700
1995-03-29,16.125,16.125,16.125,16.125,4.296462535858154,700
1995-03-30,16.125,16.375,16.125,16.375,4.36307430267334,1500
1995-03-31,16.375,16.375,16.375,16.375,4.36307430267334,100
1995-04-03,16.5,16.625,16.375,16.5,4.396379470825195,3900
1995-04-04,16.75,16.75,16.5,16.5,4.396379470825195,900
1995-04-05,16.5,16.75,16.5,16.75,4.4629926681518555,3400
1995-04-06,16.5,16.5,16.375,16.375,4.36307430267334,2800
1995-04-07,16.5,16.5,16.25,16.25,4.329767227172852,4000
1995-04-10,16.25,16.375,16.125,16.375,4.36307430267334,800
1995-04-11,16.375,16.375,16.25,16.25,4.329767227172852,1500
1995-04-12,16.375,16.5,16.25,16.25,4.329767227172852,3100
1995-04-13,16.5,16.75,16.5,16.5,4.396379470825195,2200
1995-04-17,16.75,16.75,16.625,16.625,4.429688930511475,3900
1995-04-18,16.5,16.75,16.5,16.75,4.4629926681518555,900
1995-04-19,16.875,16.875,16.875,16.875,4.4962992668151855,900
1995-04-20,16.875,16.875,16.625,16.625,4.429688930511475,500
1995-04-21,16.75,17.0,16.75,17.0,4.529604911804199,4200
1995-04-24,16.875,16.875,16.875,16.875,4.4962992668151855,500
1995-04-25,16.625,16.625,16.625,16.625,4.515310764312744,100
1995-04-26,16.625,16.875,16.625,16.875,4.583211898803711,600
1995-04-27,17.0,17.0,16.625,16.625,4.515310764312744,5200
1995-04-28,16.75,16.75,16.5,16.5,4.481361389160156,600
1995-05-01,16.5,16.75,16.5,16.75,4.549259662628174,500
1995-05-02,16.75,16.75,16.625,16.75,4.549259662628174,1800
1995-05-03,16.75,16.75,16.625,16.625,4.515310764312744,3000
1995-05-04,16.625,16.625,16.625,16.625,4.515310764312744,1000
1995-05-05,16.75,16.75,16.625,16.625,4.515310764312744,2700
1995-05-08,16.75,16.75,16.625,16.75,4.549259662628174,2400
1995-05-09,16.75,16.75,16.625,16.625,4.515310764312744,2400
1995-05-10,16.625,16.75,16.625,16.625,4.515310764312744,1200
1995-05-11,16.75,16.75,16.75,16.75,4.549259662628174,3600
1995-05-12,16.75,16.75,16.625,16.625,4.515310764312744,800
1995-05-15,16.75,16.75,16.625,16.625,4.515310764312744,1100
1995-05-16,16.75,16.75,16.75,16.75,4.549259662628174,900
1995-05-17,16.75,16.875,16.75,16.75,4.549259662628174,3900
1995-05-18,16.875,16.875,16.75,16.75,4.549259662628174,2500
1995-05-19,16.75,16.75,16.75,16.75,4.549259662628174,0
1995-05-22,16.75,16.75,16.75,16.75,4.549259662628174,300
1995-05-23,16.75,16.875,16.75,16.75,4.549259662628174,1100
1995-05-24,16.625,17.0,16.625,17.0,4.61715841293335,2300
1995-05-25,17.0,17.0,17.0,17.0,4.61715841293335,6000
1995-05-26,17.0,17.0,17.0,17.0,4.61715841293335,2100
1995-05-30,17.0,17.0,17.0,17.0,4.61715841293335,400
1995-05-31,17.0,17.0,16.625,16.875,4.583211898803711,5100
1995-06-01,17.0,17.0,17.0,17.0,4.61715841293335,3100
1995-06-02,17.125,17.25,17.125,17.25,4.685060977935791,5700
1995-06-05,17.125,17.625,17.125,17.375,4.719007968902588,10500
1995-06-06,17.375,17.625,17.375,17.375,4.719007968902588,700
1995-06-07,17.5,17.5,17.375,17.375,4.719007968902588,1000
1995-06-08,17.5,17.5,17.375,17.375,4.719007968902588,600
1995-06-09,17.375,17.375,17.0,17.0,4.61715841293335,2000
1995-06-12,17.0,17.125,17.0,17.125,4.651108741760254,800
1995-06-13,17.25,17.25,17.25,17.25,4.685060977935791,1500
1995-06-14,17.125,17.125,17.125,17.125,4.651108741760254,800
1995-06-15,17.25,17.25,17.125,17.125,4.651108741760254,1400
1995-06-16,17.125,17.125,17.125,17.125,4.651108741760254,1800
1995-06-19,17.0,17.0,16.875,17.0,4.61715841293335,1800
1995-06-20,17.125,17.125,17.125,17.125,4.651108741760254,900
1995-06-21,17.0,17.0,17.0,17.0,4.61715841293335,3600
1995-06-22,17.0,17.125,17.0,17.0,4.61715841293335,4700
1995-06-23,17.125,17.125,16.875,17.0,4.61715841293335,1100
1995-06-26,17.125,17.125,17.125,17.125,4.651108741760254,500
1995-06-27,17.125,17.125,17.0,17.0,4.61715841293335,800
1995-06-28,16.875,16.875,16.875,16.875,4.583211898803711,200
1995-06-29,17.125,17.125,16.875,16.875,4.583211898803711,1200
1995-06-30,16.75,17.0,16.75,17.0,4.61715841293335,1400
1995-07-03,17.0,17.0,17.0,17.0,4.61715841293335,0
1995-07-05,16.875,16.875,16.875,16.875,4.583211898803711,900
