Date,Open,High,Low,Close,Adj Close,Volume
1995-02-01,91.875,93.75,90.625,90.625,90.625,850
1995-02-02,92.5,92.5,90.0,90.0,90.0,1290
1995-02-03,90.0,92.5,90.0,90.0,90.0,1180
1995-02-06,91.25,92.5,87.5,87.5,87.5,1420
1995-02-07,88.75,88.75,87.5,87.5,87.5,210
1995-02-08,92.5,92.5,86.25,86.25,86.25,670
1995-02-09,92.5,92.5,90.0,90.0,90.0,90
1995-02-10,90.0,90.0,90.0,90.0,90.0,0
1995-02-13,91.25,92.5,85.0,88.75,88.75,1620
1995-02-14,85.0,90.0,85.0,90.0,90.0,230
1995-02-15,87.5,90.0,87.5,88.75,88.75,540
1995-02-16,87.5,92.5,87.5,87.5,87.5,2430
1995-02-17,92.5,92.5,87.5,88.75,88.75,170
1995-02-21,92.5,92.5,87.5,92.5,92.5,250
1995-02-22,90.0,90.0,87.5,87.5,87.5,630
1995-02-23,92.5,92.5,87.5,87.5,87.5,1100
1995-02-24,92.5,92.5,87.5,91.25,91.25,140
1995-02-27,88.75,92.5,88.75,92.5,92.5,310
1995-02-28,92.5,92.5,87.5,90.0,90.0,330
1995-03-01,83.75,92.5,83.75,92.5,92.5,2140
1995-03-02,82.5,92.5,82.5,92.5,92.5,330
1995-03-03,83.75,88.75,82.5,82.5,82.5,3650
1995-03-06,82.5,82.5,82.5,82.5,82.5,510
1995-03-07,82.5,82.5,80.0,82.5,82.5,520
1995-03-08,82.5,87.5,82.5,85.0,85.0,3100
1995-03-09,80.0,85.0,80.0,85.0,85.0,2200
1995-03-10,82.5,85.0,82.5,85.0,85.0,180
1995-03-13,90.0,90.0,86.25,86.25,86.25,110
1995-03-14,90.0,90.0,85.0,87.5,87.5,720
1995-03-15,90.0,95.0,88.75,93.75,93.75,4420
1995-03-16,92.5,96.25,92.5,92.5,92.5,1140
1995-03-17,93.75,93.75,91.25,91.25,91.25,660
1995-03-20,90.0,90.0,88.75,88.75,88.75,450
1995-03-21,87.5,87.5,87.5,87.5,87.5,20
1995-03-22,87.5,87.5,86.25,86.25,86.25,300
1995-03-23,83.75,83.75,80.0,80.0,80.0,400
1995-03-24,78.75,80.0,78.75,78.75,78.75,1570
1995-03-27,80.0,83.75,80.0,82.5,82.5,8730
1995-03-28,82.5,83.75,81.25,83.75,83.75,9080
1995-03-29,82.5,82.5,81.25,81.25,81.25,290
1995-03-30,82.5,83.75,82.5,82.5,82.5,580
1995-03-31,82.5,83.75,82.5,83.75,83.75,3540
1995-04-03,82.5,82.5,82.5,82.5,82.5,200
1995-04-04,82.5,83.75,82.5,82.5,82.5,500
1995-04-05,83.75,83.75,82.5,83.75,83.75,330
1995-04-06,83.75,83.75,82.5,82.5,82.5,200
1995-04-07,83.75,85.0,82.5,85.0,85.0,320
1995-04-10,85.0,85.0,85.0,85.0,85.0,300
1995-04-11,83.75,85.0,83.75,83.75,83.75,160
1995-04-12,85.0,85.0,85.0,85.0,85.0,160
1995-04-13,85.0,85.0,82.5,85.0,85.0,2360
1995-04-17,82.5,82.5,82.5,82.5,82.5,380
1995-04-18,81.25,81.25,81.25,81.25,81.25,100
1995-04-19,80.625,83.75,80.0,82.5,82.5,1890
1995-04-20,81.25,82.5,81.25,82.5,82.5,1500
1995-04-21,82.5,82.5,80.625,80.625,80.625,560
1995-04-24,82.5,83.125,81.25,82.5,82.5,2150
1995-04-25,82.5,82.5,81.25,81.25,81.25,690
1995-04-26,82.5,83.125,81.875,83.125,83.125,140
1995-04-27,83.125,83.125,77.5,77.5,77.5,1850
1995-04-28,76.25,80.0,76.25,80.0,80.0,1020
1995-05-01,80.0,80.0,68.75,70.625,70.625,3260
1995-05-02,71.25,71.25,67.5,68.125,68.125,2160
1995-05-03,68.75,70.0,61.875,62.5,62.5,4070
1995-05-04,63.75,63.75,58.75,61.875,61.875,6410
1995-05-05,63.125,63.125,60.0,60.0,60.0,4240
1995-05-08,58.75,60.0,58.125,60.0,60.0,900
1995-05-09,60.0,62.5,60.0,62.5,62.5,390
1995-05-10,61.25,64.375,61.25,64.375,64.375,1600
1995-05-11,64.375,64.375,62.5,62.5,62.5,290
1995-05-12,63.75,65.0,63.75,65.0,65.0,80
1995-05-15,65.0,67.5,65.0,67.5,67.5,1090
1995-05-16,67.5,67.5,63.75,63.75,63.75,880
1995-05-17,64.375,64.375,63.125,64.375,64.375,400
1995-05-18,63.75,64.375,63.125,64.375,64.375,380
1995-05-19,64.375,64.375,59.375,59.375,59.375,3710
1995-05-22,59.375,62.5,59.375,62.5,62.5,1200
