Date,Open,High,Low,Close,Adj Close,Volume
1999-10-19,30.5,34.0,24.125,25.25,11.241451263427734,22356000
1999-10-20,26.75,27.8125,22.5625,23.9375,10.657113075256348,5330900
1999-10-21,23.1875,23.1875,21.0,21.5,9.57192611694336,2329900
1999-10-22,21.5,24.5,20.3125,24.0,10.684938430786133,1627400
1999-10-25,24.5,25.125,23.25,23.875,10.629288673400879,583700
1999-10-26,23.5,24.25,23.5,24.125,10.740589141845703,645900
1999-10-27,24.1875,24.25,23.6875,24.0,10.684938430786133,587100
1999-10-28,23.875,25.8125,23.875,25.1875,11.21362018585205,532500
1999-10-29,25.75,26.0,23.5625,24.125,10.740589141845703,540700
1999-11-01,24.4375,25.671875,24.125,25.0,11.130139350891113,362000
1999-11-02,25.4375,25.8125,23.4375,23.875,10.629288673400879,705400
1999-11-03,24.6875,25.0,22.875,23.0625,10.267553329467773,756200
1999-11-04,23.4375,23.4375,22.625,22.6875,10.100610733032227,370800
1999-11-05,22.6875,23.125,20.0625,20.75,9.238017082214355,877000
1999-11-08,20.75,23.125,20.5,23.0,10.23973560333252,696900
1999-11-09,22.9375,23.75,22.375,23.375,10.406685829162598,236700
1999-11-10,22.9375,24.625,22.4375,24.0625,10.712760925292969,371400
1999-11-11,23.3125,24.875,22.875,23.0625,10.267553329467773,305400
1999-11-12,22.9375,24.4375,22.9375,24.4375,10.87971305847168,263800
1999-11-15,24.5,24.875,22.4375,23.0625,10.267553329467773,325200
1999-11-16,23.1875,23.375,22.375,22.5,10.017131805419922,350500
1999-11-17,22.5,22.5,21.5,22.375,9.961485862731934,229500
1999-11-18,22.375,22.5,20.625,21.3125,9.488449096679688,553900
1999-11-19,21.375,21.4375,20.5,21.375,9.51627254486084,283100
1999-11-22,21.3125,22.875,21.3125,22.8125,10.15626049041748,264800
1999-11-23,22.9375,23.25,22.4375,22.875,10.184081077575684,223300
1999-11-24,22.8125,22.9375,21.625,22.125,9.850179672241211,236100
1999-11-26,21.3125,21.8125,20.5,20.5625,9.154541015625,356700
1999-11-29,20.625,21.25,20.5,20.9375,9.321496963500977,551600
1999-11-30,20.625,20.6875,19.4375,20.125,8.95976448059082,487000
1999-12-01,20.5,20.625,19.4375,19.9375,8.876293182373047,528600
1999-12-02,19.8125,20.0,18.125,18.5,8.236308097839355,527600
1999-12-03,18.375,18.625,16.25,17.125,7.624151229858398,1442600
1999-12-06,17.125,17.625,16.625,16.625,7.401546955108643,320000
1999-12-07,16.625,19.5,14.8125,19.5,8.681510925292969,1158200
1999-12-08,18.8125,18.9375,16.625,17.5625,7.81892728805542,767800
1999-12-09,17.75,17.875,16.75,16.9375,7.54067325592041,177900
1999-12-10,16.875,17.25,16.8125,17.125,7.624151229858398,321700
1999-12-13,17.25,17.3125,16.25,16.5,7.345892906188965,160100
1999-12-14,16.5,16.75,15.875,16.625,7.401546955108643,173300
